AUSTRALIAN_CAPITALS_0001,"Australian State & Territory Capitals
Western Australia (WA) [State]",Perth
AUSTRALIAN_CAPITALS_0002,"Australian State & Territory Capitals
Perth",Western Australia (WA) [State]
AUSTRALIAN_CAPITALS_0003,"Australian State & Territory Capitals
Australian Capital Territory (ACT) [Territory]",Canberra
AUSTRALIAN_CAPITALS_0004,"Australian State & Territory Capitals
Canberra",Australian Capital Territory (ACT) [Territory]
AUSTRALIAN_CAPITALS_0005,"Australian State & Territory Capitals
New South Wales (NSW) [State]",Sydney
AUSTRALIAN_CAPITALS_0006,"Australian State & Territory Capitals
Sydney",New South Wales (NSW) [State]
AUSTRALIAN_CAPITALS_0007,"Australian State & Territory Capitals
South Australia (SA) [State]",Adelaide
AUSTRALIAN_CAPITALS_0008,"Australian State & Territory Capitals
Adelaide",South Australia (SA) [State]
AUSTRALIAN_CAPITALS_0009,"Australian State & Territory Capitals
Queensland (QLD) [State]",Brisbane
AUSTRALIAN_CAPITALS_0010,"Australian State & Territory Capitals
Brisbane",Queensland (QLD) [State]
AUSTRALIAN_CAPITALS_0011,"Australian State & Territory Capitals
Victoria (VIC) [State]",Melbourne
AUSTRALIAN_CAPITALS_0012,"Australian State & Territory Capitals
Melbourne",Victoria (VIC) [State]
AUSTRALIAN_CAPITALS_0013,"Australian State & Territory Capitals
Tasmania (TAS) [State]",Hobart
AUSTRALIAN_CAPITALS_0014,"Australian State & Territory Capitals
Hobart",Tasmania (TAS) [State]
AUSTRALIAN_CAPITALS_0015,"Australian State & Territory Capitals
Northern Territory (NT) [Territory]",Darwin
AUSTRALIAN_CAPITALS_0016,"Australian State & Territory Capitals
Darwin",Northern Territory (NT) [Territory]
