BILLBOARD_YEAR_END_POP_0001,"Billboard Year End: 2024
Release Year: 2023","Lose Control
Teddy Swims"
BILLBOARD_YEAR_END_POP_0002,"Lose Control
Teddy Swims","Billboard Year End: 2024
Release Year: 2023"
BILLBOARD_YEAR_END_POP_0003,"Billboard Year End: 2023
Release Year: 2023","Last Night
Morgan Wallen"
BILLBOARD_YEAR_END_POP_0004,"Last Night
Morgan Wallen","Billboard Year End: 2023
Release Year: 2023"
BILLBOARD_YEAR_END_POP_0005,"Billboard Year End: 2022
Release Year: 2020","Heat Waves
Glass Animals"
BILLBOARD_YEAR_END_POP_0006,"Heat Waves
Glass Animals","Billboard Year End: 2022
Release Year: 2020"
BILLBOARD_YEAR_END_POP_0007,"Billboard Year End: 2021
Release Year: 2020","Levitating
Dua Lipa"
BILLBOARD_YEAR_END_POP_0008,"Levitating
Dua Lipa","Billboard Year End: 2021
Release Year: 2020"
BILLBOARD_YEAR_END_POP_0009,"Billboard Year End: 2020
Release Year: 2019","Blinding Lights
The Weeknd"
BILLBOARD_YEAR_END_POP_0010,"Blinding Lights
The Weeknd","Billboard Year End: 2020
Release Year: 2019"
BILLBOARD_YEAR_END_POP_0011,"Billboard Year End: 2019
Release Year: 2018","Old Town Road
Lil Nas X (feat. Billy Ray Cyrus)"
BILLBOARD_YEAR_END_POP_0012,"Old Town Road
Lil Nas X (feat. Billy Ray Cyrus)","Billboard Year End: 2019
Release Year: 2018"
BILLBOARD_YEAR_END_POP_0013,"Billboard Year End: 2018
Release Year: 2018","God's Plan
Drake"
BILLBOARD_YEAR_END_POP_0014,"God's Plan
Drake","Billboard Year End: 2018
Release Year: 2018"
BILLBOARD_YEAR_END_POP_0015,"Billboard Year End: 2017
Release Year: 2017","Shape of You
Ed Sheeran"
BILLBOARD_YEAR_END_POP_0016,"Shape of You
Ed Sheeran","Billboard Year End: 2017
Release Year: 2017"
BILLBOARD_YEAR_END_POP_0017,"Billboard Year End: 2016
Release Year: 2015","Love Yourself
Justin Bieber"
BILLBOARD_YEAR_END_POP_0018,"Love Yourself
Justin Bieber","Billboard Year End: 2016
Release Year: 2015"
BILLBOARD_YEAR_END_POP_0019,"Billboard Year End: 2015
Release Year: 2014","Uptown Funk
Mark Ronson (feat. Bruno Mars)"
BILLBOARD_YEAR_END_POP_0020,"Uptown Funk
Mark Ronson (feat. Bruno Mars)","Billboard Year End: 2015
Release Year: 2014"
BILLBOARD_YEAR_END_POP_0021,"Billboard Year End: 2014
Release Year: 2013","Happy
Pharrell Williams"
BILLBOARD_YEAR_END_POP_0022,"Happy
Pharrell Williams","Billboard Year End: 2014
Release Year: 2013"
BILLBOARD_YEAR_END_POP_0023,"Billboard Year End: 2013
Release Year: 2012","Thrift Shop
Macklemore & Ryan Lewis (feat. Wanz)"
BILLBOARD_YEAR_END_POP_0024,"Thrift Shop
Macklemore & Ryan Lewis (feat. Wanz)","Billboard Year End: 2013
Release Year: 2012"
BILLBOARD_YEAR_END_POP_0025,"Billboard Year End: 2012
Release Year: 2011","Somebody That I Used To Know
Gotye (feat. Kimbra)"
