CHEMICAL_ELEMENTS_REDUX_0001,"Chemical Elements
Hydrogen","H
1"
CHEMICAL_ELEMENTS_REDUX_0002,"Chemical Elements
H
1",Hydrogen
CHEMICAL_ELEMENTS_REDUX_0003,"Chemical Elements
Helium","He
2"
CHEMICAL_ELEMENTS_REDUX_0004,"Chemical Elements
He
2",Helium
CHEMICAL_ELEMENTS_REDUX_0005,"Chemical Elements
Lithium","Li
3"
CHEMICAL_ELEMENTS_REDUX_0006,"Chemical Elements
Li
3",Lithium
CHEMICAL_ELEMENTS_REDUX_0007,"Chemical Elements
Beryllium","Be
4"
CHEMICAL_ELEMENTS_REDUX_0008,"Chemical Elements
Be
4",Beryllium
CHEMICAL_ELEMENTS_REDUX_0009,"Chemical Elements
Boron","B
5"
CHEMICAL_ELEMENTS_REDUX_0010,"Chemical Elements
B
5",Boron
CHEMICAL_ELEMENTS_REDUX_0011,"Chemical Elements
Carbon","C
6"
CHEMICAL_ELEMENTS_REDUX_0012,"Chemical Elements
C
6",Carbon
CHEMICAL_ELEMENTS_REDUX_0013,"Chemical Elements
Nitrogen","N
7"
CHEMICAL_ELEMENTS_REDUX_0014,"Chemical Elements
N
7",Nitrogen
CHEMICAL_ELEMENTS_REDUX_0015,"Chemical Elements
Oxygen","O
8"
CHEMICAL_ELEMENTS_REDUX_0016,"Chemical Elements
O
8",Oxygen
CHEMICAL_ELEMENTS_REDUX_0017,"Chemical Elements
Fluorine","F
9"
CHEMICAL_ELEMENTS_REDUX_0018,"Chemical Elements
F
9",Fluorine
CHEMICAL_ELEMENTS_REDUX_0019,"Chemical Elements
Neon","Ne
10"
CHEMICAL_ELEMENTS_REDUX_0020,"Chemical Elements
Ne
10",Neon
CHEMICAL_ELEMENTS_REDUX_0021,"Chemical Elements
Sodium","Na
11"
CHEMICAL_ELEMENTS_REDUX_0022,"Chemical Elements
Na
11",Sodium
CHEMICAL_ELEMENTS_REDUX_0023,"Chemical Elements
Magnesium","Mg
12"
CHEMICAL_ELEMENTS_REDUX_0024,"Chemical Elements
Mg
12",Magnesium
CHEMICAL_ELEMENTS_REDUX_0025,"Chemical Elements
Aluminum","Al
13"
CHEMICAL_ELEMENTS_REDUX_0026,"Chemical Elements
Al
13",Aluminum
CHEMICAL_ELEMENTS_REDUX_0027,"Chemical Elements
Silicon","Si
14"
CHEMICAL_ELEMENTS_REDUX_0028,"Chemical Elements
Si
14",Silicon
CHEMICAL_ELEMENTS_REDUX_0029,"Chemical Elements
Phosphorus","P
15"
CHEMICAL_ELEMENTS_REDUX_0030,"Chemical Elements
P
15",Phosphorus
CHEMICAL_ELEMENTS_REDUX_0031,"Chemical Elements
Sulfur","S
16"
CHEMICAL_ELEMENTS_REDUX_0032,"Chemical Elements
S
16",Sulfur
CHEMICAL_ELEMENTS_REDUX_0033,"Chemical Elements
Chlorine","Cl
17"
CHEMICAL_ELEMENTS_REDUX_0034,"Chemical Elements
Cl
17",Chlorine
CHEMICAL_ELEMENTS_REDUX_0035,"Chemical Elements
Argon","Ar
18"
CHEMICAL_ELEMENTS_REDUX_0036,"Chemical Elements
Ar
18",Argon
CHEMICAL_ELEMENTS_REDUX_0037,"Chemical Elements
Potassium","K
19"
CHEMICAL_ELEMENTS_REDUX_0038,"Chemical Elements
K
19",Potassium
CHEMICAL_ELEMENTS_REDUX_0039,"Chemical Elements
Calcium","Ca
20"
CHEMICAL_ELEMENTS_REDUX_0040,"Chemical Elements
Ca
20",Calcium
CHEMICAL_ELEMENTS_REDUX_0041,"Chemical Elements
Scandium","Sc
21"
CHEMICAL_ELEMENTS_REDUX_0042,"Chemical Elements
Sc
21",Scandium
CHEMICAL_ELEMENTS_REDUX_0043,"Chemical Elements
Titanium","Ti
22"
CHEMICAL_ELEMENTS_REDUX_0044,"Chemical Elements
Ti
22",Titanium
CHEMICAL_ELEMENTS_REDUX_0045,"Chemical Elements
Vanadium","V
23"
CHEMICAL_ELEMENTS_REDUX_0046,"Chemical Elements
V
23",Vanadium
CHEMICAL_ELEMENTS_REDUX_0047,"Chemical Elements
Chromium","Cr
24"
CHEMICAL_ELEMENTS_REDUX_0048,"Chemical Elements
Cr
24",Chromium
CHEMICAL_ELEMENTS_REDUX_0049,"Chemical Elements
Manganese","Mn
25"
CHEMICAL_ELEMENTS_REDUX_0050,"Chemical Elements
Mn
25",Manganese
CHEMICAL_ELEMENTS_REDUX_0051,"Chemical Elements
Iron","Fe
26"
CHEMICAL_ELEMENTS_REDUX_0052,"Chemical Elements
Fe
26",Iron
CHEMICAL_ELEMENTS_REDUX_0053,"Chemical Elements
Cobalt","Co
27"
