CONSTITUTIONAL_AMENDMENTS_0001,"US Constitutional Amendments
Freedom of religion, speech, press, assembly, and petition ","1
Ratified: 1791"
CONSTITUTIONAL_AMENDMENTS_0002,"US Constitutional Amendments
1
Ratified: 1791","Freedom of religion, speech, press, assembly, and petition "
CONSTITUTIONAL_AMENDMENTS_0003,"US Constitutional Amendments
Right to keep and bear arms","2
Ratified: 1791"
CONSTITUTIONAL_AMENDMENTS_0004,"US Constitutional Amendments
2
Ratified: 1791",Right to keep and bear arms
CONSTITUTIONAL_AMENDMENTS_0005,"US Constitutional Amendments
Restricts quartering of soldiers in private homes","3
Ratified: 1791"
CONSTITUTIONAL_AMENDMENTS_0006,"US Constitutional Amendments
3
Ratified: 1791",Restricts quartering of soldiers in private homes
CONSTITUTIONAL_AMENDMENTS_0007,"US Constitutional Amendments
Prohibits unreasonable searches and seizures, search warrants based on probable cause","4
Ratified: 1791"
CONSTITUTIONAL_AMENDMENTS_0008,"US Constitutional Amendments
4
Ratified: 1791","Prohibits unreasonable searches and seizures, search warrants based on probable cause"
CONSTITUTIONAL_AMENDMENTS_0009,"US Constitutional Amendments
Indictment by grand jury, eminent domain, due process, double jeopardy, self-incrimination","5
Ratified: 1791"
CONSTITUTIONAL_AMENDMENTS_0010,"US Constitutional Amendments
5
Ratified: 1791","Indictment by grand jury, eminent domain, due process, double jeopardy, self-incrimination"
CONSTITUTIONAL_AMENDMENTS_0011,"US Constitutional Amendments
Right to speedy trial by jury, witnesses, counsel","6
Ratified: 1791"
CONSTITUTIONAL_AMENDMENTS_0012,"US Constitutional Amendments
6
Ratified: 1791","Right to speedy trial by jury, witnesses, counsel"
CONSTITUTIONAL_AMENDMENTS_0013,"US Constitutional Amendments
Jury trial in civil lawsuits","7
Ratified: 1791"
CONSTITUTIONAL_AMENDMENTS_0014,"US Constitutional Amendments
7
Ratified: 1791",Jury trial in civil lawsuits
CONSTITUTIONAL_AMENDMENTS_0015,"US Constitutional Amendments
Excessive fines, cruel and unusual punishment","8
Ratified: 1791"
CONSTITUTIONAL_AMENDMENTS_0016,"US Constitutional Amendments
8
Ratified: 1791","Excessive fines, cruel and unusual punishment"
CONSTITUTIONAL_AMENDMENTS_0017,"US Constitutional Amendments
Non-enumerated rights retained by people","9
Ratified: 1791"
CONSTITUTIONAL_AMENDMENTS_0018,"US Constitutional Amendments
9
Ratified: 1791",Non-enumerated rights retained by people
CONSTITUTIONAL_AMENDMENTS_0019,"US Constitutional Amendments
Rights reserved to states or people","10
Ratified: 1791"
CONSTITUTIONAL_AMENDMENTS_0020,"US Constitutional Amendments
10
Ratified: 1791",Rights reserved to states or people
CONSTITUTIONAL_AMENDMENTS_0021,"US Constitutional Amendments
States immunized against suits, state sovereign immunity","11
Ratified: 1795"
CONSTITUTIONAL_AMENDMENTS_0022,"US Constitutional Amendments
11
Ratified: 1795","States immunized against suits, state sovereign immunity"
CONSTITUTIONAL_AMENDMENTS_0023,"US Constitutional Amendments
Vice President elected with President, not election runner-up","12
Ratified: 1804"
CONSTITUTIONAL_AMENDMENTS_0024,"US Constitutional Amendments
12
Ratified: 1804","Vice President elected with President, not election runner-up"
CONSTITUTIONAL_AMENDMENTS_0025,"US Constitutional Amendments
Abolition of slavery and involuntary servitude","13
Ratified: 1865"
CONSTITUTIONAL_AMENDMENTS_0026,"US Constitutional Amendments
13
Ratified: 1865",Abolition of slavery and involuntary servitude
CONSTITUTIONAL_AMENDMENTS_0027,"US Constitutional Amendments
Defines citizenship, Privileges or Immunities Clause, Due Process Clause, Equal Protection Clause, post–Civil War issues","14
Ratified: 1868"
CONSTITUTIONAL_AMENDMENTS_0028,"US Constitutional Amendments
14
Ratified: 1868","Defines citizenship, Privileges or Immunities Clause, Due Process Clause, Equal Protection Clause, post–Civil War issues"
CONSTITUTIONAL_AMENDMENTS_0029,"US Constitutional Amendments
Right to vote not denied by race, color, or previous condition of servitude","15
Ratified: 1870"
CONSTITUTIONAL_AMENDMENTS_0030,"US Constitutional Amendments
15
Ratified: 1870","Right to vote not denied by race, color, or previous condition of servitude"
CONSTITUTIONAL_AMENDMENTS_0031,"US Constitutional Amendments
Congress can levy income tax","16
Ratified: 1913"
CONSTITUTIONAL_AMENDMENTS_0032,"US Constitutional Amendments
16
Ratified: 1913",Congress can levy income tax
CONSTITUTIONAL_AMENDMENTS_0033,"US Constitutional Amendments
Direct election of Senators by popular vote","17
Ratified: 1913"
CONSTITUTIONAL_AMENDMENTS_0034,"US Constitutional Amendments
17
Ratified: 1913",Direct election of Senators by popular vote
