EMMY_BEST_DRAMAS_0001,"Emmy Best Dramas
2023","Succession (3/3)
Season 4
HBO"
EMMY_BEST_DRAMAS_0002,"Emmy Best Dramas
Succession (3/3)
Season 4
HBO",2023
EMMY_BEST_DRAMAS_0003,"Emmy Best Dramas
2022","Succession (2/3)
Season 3
HBO"
EMMY_BEST_DRAMAS_0004,"Emmy Best Dramas
Succession (2/3)
Season 3
HBO",2022
EMMY_BEST_DRAMAS_0005,"Emmy Best Dramas
2021","The Crown
Season 4
Netflix"
EMMY_BEST_DRAMAS_0006,"Emmy Best Dramas
The Crown
Season 4
Netflix",2021
EMMY_BEST_DRAMAS_0007,"Emmy Best Dramas
2020","Succession (1/3)
Season 2
HBO"
EMMY_BEST_DRAMAS_0008,"Emmy Best Dramas
Succession (1/3)
Season 2
HBO",2020
EMMY_BEST_DRAMAS_0009,"Emmy Best Dramas
2019","Game of Thrones (4/4)
Season 8
HBO"
EMMY_BEST_DRAMAS_0010,"Emmy Best Dramas
Game of Thrones (4/4)
Season 8
HBO",2019
EMMY_BEST_DRAMAS_0011,"Emmy Best Dramas
2018","Game of Thrones (3/4)
Season 7
HBO"
EMMY_BEST_DRAMAS_0012,"Emmy Best Dramas
Game of Thrones (3/4)
Season 7
HBO",2018
EMMY_BEST_DRAMAS_0013,"Emmy Best Dramas
2017","The Handmaid's Tale
Season 1
Hulu"
EMMY_BEST_DRAMAS_0014,"Emmy Best Dramas
The Handmaid's Tale
Season 1
Hulu",2017
EMMY_BEST_DRAMAS_0015,"Emmy Best Dramas
2016","Game of Thrones (2/4)
Season 6
HBO"
EMMY_BEST_DRAMAS_0016,"Emmy Best Dramas
Game of Thrones (2/4)
Season 6
HBO",2016
EMMY_BEST_DRAMAS_0017,"Emmy Best Dramas
2015","Game of Thrones (1/4)
Season 5
HBO"
EMMY_BEST_DRAMAS_0018,"Emmy Best Dramas
Game of Thrones (1/4)
Season 5
HBO",2015
