EU_NATIONS_0001,"EU Nations
1981",Greece
EU_NATIONS_0002,"EU Nations
Greece",1981
EU_NATIONS_0003,"EU Nations
2004 (10/10)",Slovenia
EU_NATIONS_0004,"EU Nations
Slovenia",2004 (10/10)
EU_NATIONS_0005,"EU Nations
2007 (1/2)",Bulgaria
EU_NATIONS_0006,"EU Nations
Bulgaria",2007 (1/2)
EU_NATIONS_0007,"EU Nations
1952 - Founder (1/6)",Belgium
EU_NATIONS_0008,"EU Nations
Belgium",1952 - Founder (1/6)
EU_NATIONS_0009,"EU Nations
1952 - Founder (6/6)",Netherlands
EU_NATIONS_0010,"EU Nations
Netherlands",1952 - Founder (6/6)
EU_NATIONS_0011,"EU Nations
2004 (1/10)",Cyprus
EU_NATIONS_0012,"EU Nations
Cyprus",2004 (1/10)
EU_NATIONS_0013,"EU Nations
2004 (5/10)",Latvia
EU_NATIONS_0014,"EU Nations
Latvia",2004 (5/10)
EU_NATIONS_0015,"EU Nations
2004 (9/10)",Slovakia
EU_NATIONS_0016,"EU Nations
Slovakia",2004 (9/10)
EU_NATIONS_0017,"EU Nations
1952 - Founder (2/6)",France
EU_NATIONS_0018,"EU Nations
France",1952 - Founder (2/6)
EU_NATIONS_0019,"EU Nations
1952 - Founder (3/6)",(West) Germany
EU_NATIONS_0020,"EU Nations
(West) Germany",1952 - Founder (3/6)
EU_NATIONS_0021,"EU Nations
1973 (2/3)",Ireland
EU_NATIONS_0022,"EU Nations
Ireland",1973 (2/3)
EU_NATIONS_0023,"EU Nations
1995 (2/3)",Finland
EU_NATIONS_0024,"EU Nations
Finland",1995 (2/3)
EU_NATIONS_0025,"EU Nations
2004 (3/10)",Estonia
EU_NATIONS_0026,"EU Nations
Estonia",2004 (3/10)
EU_NATIONS_0027,"EU Nations
1973 (3/3)
Left - 2020",United Kingdom
EU_NATIONS_0028,"EU Nations
United Kingdom","1973 (3/3)
Left - 2020"
EU_NATIONS_0029,"EU Nations
2004 (7/10)",Malta
EU_NATIONS_0030,"EU Nations
Malta",2004 (7/10)
EU_NATIONS_0031,"EU Nations
1952 - Founder (4/6)",Italy
EU_NATIONS_0032,"EU Nations
Italy",1952 - Founder (4/6)
EU_NATIONS_0033,"EU Nations
1986 (1/2)",Portugal
EU_NATIONS_0034,"EU Nations
Portugal",1986 (1/2)
EU_NATIONS_0035,"EU Nations
1952 - Founder (5/6)",Luxembourg
EU_NATIONS_0036,"EU Nations
Luxembourg",1952 - Founder (5/6)
EU_NATIONS_0037,"EU Nations
1986 (2/2)",Spain
EU_NATIONS_0038,"EU Nations
Spain",1986 (2/2)
EU_NATIONS_0039,"EU Nations
2004 (4/10)",Hungary
EU_NATIONS_0040,"EU Nations
Hungary",2004 (4/10)
EU_NATIONS_0041,"EU Nations
1973 (1/3)",Denmark
EU_NATIONS_0042,"EU Nations
Denmark",1973 (1/3)
EU_NATIONS_0043,"EU Nations
1995 (1/3)",Austria
EU_NATIONS_0044,"EU Nations
Austria",1995 (1/3)
EU_NATIONS_0045,"EU Nations
2004 (2/10)",Czechia
EU_NATIONS_0046,"EU Nations
Czechia",2004 (2/10)
EU_NATIONS_0047,"EU Nations
2013",Croatia
EU_NATIONS_0048,"EU Nations
Croatia",2013
EU_NATIONS_0049,"EU Nations
1995 (3/3)",Sweden
EU_NATIONS_0050,"EU Nations
Sweden",1995 (3/3)
EU_NATIONS_0051,"EU Nations
2007 (2/2)",Romania
EU_NATIONS_0052,"EU Nations
Romania",2007 (2/2)
EU_NATIONS_0053,"EU Nations
2004 (6/10)",Lithuania
EU_NATIONS_0054,"EU Nations
Lithuania",2004 (6/10)
EU_NATIONS_0055,"EU Nations
2004 (8/10)",Poland
EU_NATIONS_0056,"EU Nations
Poland",2004 (8/10)
