FRANCHISE_MOVIES_0001,"Franchise Movies
Harry Potter - 1/8 (2001)",Harry Potter and the Philosopher's/Sorcerer's Stone
FRANCHISE_MOVIES_0002,"Franchise Movies
Harry Potter and the Philosopher's/Sorcerer's Stone",Harry Potter - 1/8 (2001)
FRANCHISE_MOVIES_0003,"Franchise Movies
Harry Potter - 2/8 (2002)",Harry Potter and the Chamber of Secrets
FRANCHISE_MOVIES_0004,"Franchise Movies
Harry Potter and the Chamber of Secrets",Harry Potter - 2/8 (2002)
FRANCHISE_MOVIES_0005,"Franchise Movies
Harry Potter - 3/8 (2004)",Harry Potter and the Prisoner of Azkaban
FRANCHISE_MOVIES_0006,"Franchise Movies
Harry Potter and the Prisoner of Azkaban",Harry Potter - 3/8 (2004)
FRANCHISE_MOVIES_0007,"Franchise Movies
Harry Potter - 4/8 (2005)",Harry Potter and the Goblet of Fire
FRANCHISE_MOVIES_0008,"Franchise Movies
Harry Potter and the Goblet of Fire",Harry Potter - 4/8 (2005)
FRANCHISE_MOVIES_0009,"Franchise Movies
Harry Potter - 5/8 (2007)",Harry Potter and the Order of the Phoenix
FRANCHISE_MOVIES_0010,"Franchise Movies
Harry Potter and the Order of the Phoenix",Harry Potter - 5/8 (2007)
FRANCHISE_MOVIES_0011,"Franchise Movies
Harry Potter - 6/8 (2009)",Harry Potter and the Half-Blood Prince
FRANCHISE_MOVIES_0012,"Franchise Movies
Harry Potter and the Half-Blood Prince",Harry Potter - 6/8 (2009)
FRANCHISE_MOVIES_0013,"Franchise Movies
Harry Potter - 7/8 (2010)",Harry Potter and the Deathly Hallows – Part 1
FRANCHISE_MOVIES_0014,"Franchise Movies
Harry Potter and the Deathly Hallows – Part 1",Harry Potter - 7/8 (2010)
FRANCHISE_MOVIES_0015,"Franchise Movies
Harry Potter - 8/8 (2011)",Harry Potter and the Deathly Hallows – Part 2
FRANCHISE_MOVIES_0016,"Franchise Movies
Harry Potter and the Deathly Hallows – Part 2",Harry Potter - 8/8 (2011)
FRANCHISE_MOVIES_0017,"Franchise Movies
Fast & Furious - 1/10 (2001)",The Fast and the Furious
FRANCHISE_MOVIES_0018,"Franchise Movies
The Fast and the Furious",Fast & Furious - 1/10 (2001)
FRANCHISE_MOVIES_0019,"Franchise Movies
Fast & Furious - 2/10 (2003)",2 Fast 2 Furious
FRANCHISE_MOVIES_0020,"Franchise Movies
2 Fast 2 Furious",Fast & Furious - 2/10 (2003)
FRANCHISE_MOVIES_0021,"Franchise Movies
Fast & Furious - 3/10 (2006)",The Fast and the Furious: Tokyo Drift
FRANCHISE_MOVIES_0022,"Franchise Movies
The Fast and the Furious: Tokyo Drift",Fast & Furious - 3/10 (2006)
FRANCHISE_MOVIES_0023,"Franchise Movies
Fast & Furious - 4/10 (2009)",Fast & Furious
FRANCHISE_MOVIES_0024,"Franchise Movies
Fast & Furious",Fast & Furious - 4/10 (2009)
FRANCHISE_MOVIES_0025,"Franchise Movies
Fast & Furious - 5/10 (2011)",Fast Five
FRANCHISE_MOVIES_0026,"Franchise Movies
Fast Five",Fast & Furious - 5/10 (2011)
FRANCHISE_MOVIES_0027,"Franchise Movies
Fast & Furious - 6/10 (2013)",Fast & Furious 6
FRANCHISE_MOVIES_0028,"Franchise Movies
Fast & Furious 6",Fast & Furious - 6/10 (2013)
FRANCHISE_MOVIES_0029,"Franchise Movies
Fast & Furious - 7/10 (2015)",Furious 7
FRANCHISE_MOVIES_0030,"Franchise Movies
Furious 7",Fast & Furious - 7/10 (2015)
FRANCHISE_MOVIES_0031,"Franchise Movies
Fast & Furious - 8/10 (2017)",The Fate of the Furious
FRANCHISE_MOVIES_0032,"Franchise Movies
The Fate of the Furious",Fast & Furious - 8/10 (2017)
FRANCHISE_MOVIES_0033,"Franchise Movies
Fast & Furious - 9/10 (2021)",F9
FRANCHISE_MOVIES_0034,"Franchise Movies
F9",Fast & Furious - 9/10 (2021)
FRANCHISE_MOVIES_0035,"Franchise Movies
Fast & Furious - 10/10 (2023)",Fast X
FRANCHISE_MOVIES_0036,"Franchise Movies
Fast X",Fast & Furious - 10/10 (2023)
FRANCHISE_MOVIES_0037,"Franchise Movies
The Lord of the Rings - 1/6 (2001)",The Lord of the Rings: The Fellowship of the Ring
FRANCHISE_MOVIES_0038,"Franchise Movies
The Lord of the Rings: The Fellowship of the Ring",The Lord of the Rings - 1/6 (2001)
FRANCHISE_MOVIES_0039,"Franchise Movies
The Lord of the Rings - 2/6 (2002)",The Lord of the Rings: The Two Towers
FRANCHISE_MOVIES_0040,"Franchise Movies
The Lord of the Rings: The Two Towers",The Lord of the Rings - 2/6 (2002)
FRANCHISE_MOVIES_0041,"Franchise Movies
The Lord of the Rings - 3/6 (2003)",The Lord of the Rings: The Return of the King
FRANCHISE_MOVIES_0042,"Franchise Movies
The Lord of the Rings: The Return of the King",The Lord of the Rings - 3/6 (2003)
