GRAMMY_BEST_ROCK_ALBUMS_0001,"Grammy Best Rock Albums
2025 (2023 Album)","Hackney Diamonds
The Rolling Stones (2/2)"
GRAMMY_BEST_ROCK_ALBUMS_0002,"Grammy Best Rock Albums
Hackney Diamonds
The Rolling Stones (2/2)",2025 (2023 Album)
GRAMMY_BEST_ROCK_ALBUMS_0003,"Grammy Best Rock Albums
2024 (2023 Album)","This Is Why
Paramore"
GRAMMY_BEST_ROCK_ALBUMS_0004,"Grammy Best Rock Albums
This Is Why
Paramore",2024 (2023 Album)
GRAMMY_BEST_ROCK_ALBUMS_0005,"Grammy Best Rock Albums
2023 (2022 Album)","Patient Number 9
Ozzy Osbourne"
GRAMMY_BEST_ROCK_ALBUMS_0006,"Grammy Best Rock Albums
Patient Number 9
Ozzy Osbourne",2023 (2022 Album)
GRAMMY_BEST_ROCK_ALBUMS_0007,"Grammy Best Rock Albums
2022 (2021 Album)","Medicine at Midnight
Foo Fighters (5/5)"
GRAMMY_BEST_ROCK_ALBUMS_0008,"Grammy Best Rock Albums
Medicine at Midnight
Foo Fighters (5/5)",2022 (2021 Album)
GRAMMY_BEST_ROCK_ALBUMS_0009,"Grammy Best Rock Albums
2021 (2020 Album)","The New Abnormal
The Strokes"
GRAMMY_BEST_ROCK_ALBUMS_0010,"Grammy Best Rock Albums
The New Abnormal
The Strokes",2021 (2020 Album)
GRAMMY_BEST_ROCK_ALBUMS_0011,"Grammy Best Rock Albums
2020 (2019 Album)","Social Cues
Cage the Elephant (2/2)"
GRAMMY_BEST_ROCK_ALBUMS_0012,"Grammy Best Rock Albums
Social Cues
Cage the Elephant (2/2)",2020 (2019 Album)
GRAMMY_BEST_ROCK_ALBUMS_0013,"Grammy Best Rock Albums
2019 (2017 Album)","From the Fires
Gretta Van Fleet"
GRAMMY_BEST_ROCK_ALBUMS_0014,"Grammy Best Rock Albums
From the Fires
Gretta Van Fleet",2019 (2017 Album)
GRAMMY_BEST_ROCK_ALBUMS_0015,"Grammy Best Rock Albums
2018 (2017 Album)","A Deeper Understanding
The War on Drugs"
GRAMMY_BEST_ROCK_ALBUMS_0016,"Grammy Best Rock Albums
A Deeper Understanding
The War on Drugs",2018 (2017 Album)
GRAMMY_BEST_ROCK_ALBUMS_0017,"Grammy Best Rock Albums
2017 (2015 Album)","Tell Me I'm Pretty
Cage the Elephant (1/2)"
