HEISMAN_WINNERS_0001,Heisman: 2024,"Travis Hunter (CB/WR)
Colorado (2/2)"
HEISMAN_WINNERS_0002,"Travis Hunter (CB/WR)
Colorado (2/2)",2024
HEISMAN_WINNERS_0003,Heisman: 2023,"Jayden Daniels (QB)
LSU (3/3)"
HEISMAN_WINNERS_0004,"Jayden Daniels (QB)
LSU (3/3)",2023
HEISMAN_WINNERS_0005,Heisman: 2022,"Caleb Williams (QB)
USC (8/8)"
HEISMAN_WINNERS_0006,"Caleb Williams (QB)
USC (8/8)",2022
HEISMAN_WINNERS_0007,Heisman: 2021,"Bryce Young (QB)
Alabama (4/4)"
HEISMAN_WINNERS_0008,"Bryce Young (QB)
Alabama (4/4)",2021
HEISMAN_WINNERS_0009,Heisman: 2020,"DeVonta Smith (WR)
Alabama (3/4)"
HEISMAN_WINNERS_0010,"DeVonta Smith (WR)
Alabama (3/4)",2020
HEISMAN_WINNERS_0011,Heisman: 2019,"Joe Burrow (QB)
LSU (2/3)"
HEISMAN_WINNERS_0012,"Joe Burrow (QB)
LSU (2/3)",2019
HEISMAN_WINNERS_0013,Heisman: 2018,"Kyler Murray (QB)
Oklahoma (7/7)"
HEISMAN_WINNERS_0014,"Kyler Murray (QB)
Oklahoma (7/7)",2018
HEISMAN_WINNERS_0015,Heisman: 2017,"Baker Mayfield (QB)
Oklahoma (6/7)"
HEISMAN_WINNERS_0016,"Baker Mayfield (QB)
Oklahoma (6/7)",2017
HEISMAN_WINNERS_0017,Heisman: 2016,"Lamar Jackson (QB)
Louisville (1/1)"
HEISMAN_WINNERS_0018,"Lamar Jackson (QB)
Louisville (1/1)",2016
HEISMAN_WINNERS_0019,Heisman: 2015,"Derrick Henry (RB)
Alabama (2/4)"
HEISMAN_WINNERS_0020,"Derrick Henry (RB)
Alabama (2/4)",2015
HEISMAN_WINNERS_0021,Heisman: 2014,"Marcus Mariota (QB)
Oregon (1/1)"
HEISMAN_WINNERS_0022,"Marcus Mariota (QB)
Oregon (1/1)",2014
HEISMAN_WINNERS_0023,Heisman: 2013,"Jameis Winston (QB)
Florida State (3/3)"
HEISMAN_WINNERS_0024,"Jameis Winston (QB)
Florida State (3/3)",2013
HEISMAN_WINNERS_0025,Heisman: 2012,"Johnny Manziel (QB)
Texas A&M (2/2)"
HEISMAN_WINNERS_0026,"Johnny Manziel (QB)
Texas A&M (2/2)",2012
HEISMAN_WINNERS_0027,Heisman: 2011,"Robert Griffin III (QB)
Baylor (1/1)"
HEISMAN_WINNERS_0028,"Robert Griffin III (QB)
Baylor (1/1)",2011
HEISMAN_WINNERS_0029,Heisman: 2010,"Cam Newton (QB)
Auburn (3/3)"
HEISMAN_WINNERS_0030,"Cam Newton (QB)
Auburn (3/3)",2010
HEISMAN_WINNERS_0031,Heisman: 2009,"Mark Ingram II (RB)
Alabama (1/4)"
HEISMAN_WINNERS_0032,"Mark Ingram II (RB)
Alabama (1/4)",2009
HEISMAN_WINNERS_0033,Heisman: 2008,"Sam Bradford (QB)
Oklahoma (5/7)"
HEISMAN_WINNERS_0034,"Sam Bradford (QB)
Oklahoma (5/7)",2008
HEISMAN_WINNERS_0035,Heisman: 2007,"Tim Tebow (QB)
Florida (3/3)"
HEISMAN_WINNERS_0036,"Tim Tebow (QB)
Florida (3/3)",2007
HEISMAN_WINNERS_0037,Heisman: 2006,"Troy Smith (QB)
Ohio State (7/7)"
HEISMAN_WINNERS_0038,"Troy Smith (QB)
Ohio State (7/7)",2006
HEISMAN_WINNERS_0039,Heisman: 2005,"Reggie Bush (RB)
USC (7/8)"
HEISMAN_WINNERS_0040,"Reggie Bush (RB)
USC (7/8)",2005
HEISMAN_WINNERS_0041,Heisman: 2004,"Matt Leinart (QB)
USC (6/8)"
HEISMAN_WINNERS_0042,"Matt Leinart (QB)
USC (6/8)",2004
HEISMAN_WINNERS_0043,Heisman: 2003,"Jason White (QB)
Oklahoma (4/7)"
HEISMAN_WINNERS_0044,"Jason White (QB)
Oklahoma (4/7)",2003
HEISMAN_WINNERS_0045,Heisman: 2002,"Carson Palmer (QB)
USC (5/8)"
HEISMAN_WINNERS_0046,"Carson Palmer (QB)
USC (5/8)",2002
HEISMAN_WINNERS_0047,Heisman: 2001,"Eric Crouch (QB/WR)
Nebraska (3/3)"
HEISMAN_WINNERS_0048,"Eric Crouch (QB/WR)
Nebraska (3/3)",2001
HEISMAN_WINNERS_0049,Heisman: 2000,"Chris Weinke (QB)
Florida State (2/3)"
HEISMAN_WINNERS_0050,"Chris Weinke (QB)
Florida State (2/3)",2000
HEISMAN_WINNERS_0051,Heisman: 2025,"Fernando Mendoza (QB)
Indiana (1/1)"
HEISMAN_WINNERS_0052,"Fernando Mendoza (QB)
Indiana (1/1)",2025
