HIGHEST_GROSSING_MOVIES_0001,Highest Grossing Movie: 2000,How the Grinch Stole Christmas
HIGHEST_GROSSING_MOVIES_0002,How the Grinch Stole Christmas [Highest Grossing],2000
HIGHEST_GROSSING_MOVIES_0003,Highest Grossing Movie: 2001,Harry Potter and the Sorcerer's Stone
HIGHEST_GROSSING_MOVIES_0004,Harry Potter and the Sorcerer's Stone [Highest Grossing],2001
HIGHEST_GROSSING_MOVIES_0005,Highest Grossing Movie: 2002,Spider-Man
HIGHEST_GROSSING_MOVIES_0006,Spider-Man [Highest Grossing],2002
HIGHEST_GROSSING_MOVIES_0007,Highest Grossing Movie: 2003,The Lord of the Rings: The Return of the King
HIGHEST_GROSSING_MOVIES_0008,The Lord of the Rings: The Return of the King [Highest Grossing],2003
HIGHEST_GROSSING_MOVIES_0009,Highest Grossing Movie: 2004,Shrek 2
HIGHEST_GROSSING_MOVIES_0010,Shrek 2 [Highest Grossing],2004
HIGHEST_GROSSING_MOVIES_0011,Highest Grossing Movie: 2005,Star Wars: Episode III – Revenge of the Sith
HIGHEST_GROSSING_MOVIES_0012,Star Wars: Episode III – Revenge of the Sith [Highest Grossing],2005
HIGHEST_GROSSING_MOVIES_0013,Highest Grossing Movie: 2006,Pirates of the Caribbean: Dead Man's Chest
HIGHEST_GROSSING_MOVIES_0014,Pirates of the Caribbean: Dead Man's Chest [Highest Grossing],2006
HIGHEST_GROSSING_MOVIES_0015,Highest Grossing Movie: 2007,Spider-Man 3
HIGHEST_GROSSING_MOVIES_0016,Spider-Man 3 [Highest Grossing],2007
HIGHEST_GROSSING_MOVIES_0017,Highest Grossing Movie: 2008,The Dark Knight
HIGHEST_GROSSING_MOVIES_0018,The Dark Knight [Highest Grossing],2008
HIGHEST_GROSSING_MOVIES_0019,Highest Grossing Movie: 2009,Avatar
HIGHEST_GROSSING_MOVIES_0020,Avatar [Highest Grossing],2009
HIGHEST_GROSSING_MOVIES_0021,Highest Grossing Movie: 2010,Toy Story 3
HIGHEST_GROSSING_MOVIES_0022,Toy Story 3 [Highest Grossing],2010
HIGHEST_GROSSING_MOVIES_0023,Highest Grossing Movie: 2011,Harry Potter and the Deathly Hallows – Part 2
HIGHEST_GROSSING_MOVIES_0024,Harry Potter and the Deathly Hallows – Part 2 [Highest Grossing],2011
HIGHEST_GROSSING_MOVIES_0025,Highest Grossing Movie: 2012,The Avengers
HIGHEST_GROSSING_MOVIES_0026,The Avengers [Highest Grossing],2012
HIGHEST_GROSSING_MOVIES_0027,Highest Grossing Movie: 2013,The Hunger Games: Catching Fire
HIGHEST_GROSSING_MOVIES_0028,The Hunger Games: Catching Fire [Highest Grossing],2013
HIGHEST_GROSSING_MOVIES_0029,Highest Grossing Movie: 2014,American Sniper
HIGHEST_GROSSING_MOVIES_0030,American Sniper [Highest Grossing],2014
HIGHEST_GROSSING_MOVIES_0031,Highest Grossing Movie: 2015,Star Wars: Episode VII – The Force Awakens
HIGHEST_GROSSING_MOVIES_0032,Star Wars: Episode VII – The Force Awakens [Highest Grossing],2015
HIGHEST_GROSSING_MOVIES_0033,Highest Grossing Movie: 2016,Rogue One: A Star Wars Story
HIGHEST_GROSSING_MOVIES_0034,Rogue One: A Star Wars Story [Highest Grossing],2016
HIGHEST_GROSSING_MOVIES_0035,Highest Grossing Movie: 2017,Star Wars: Episode VIII – The Last Jedi
HIGHEST_GROSSING_MOVIES_0036,Star Wars: Episode VIII – The Last Jedi [Highest Grossing],2017
HIGHEST_GROSSING_MOVIES_0037,Highest Grossing Movie: 2018,Black Panther
HIGHEST_GROSSING_MOVIES_0038,Black Panther [Highest Grossing],2018
HIGHEST_GROSSING_MOVIES_0039,Highest Grossing Movie: 2019,Avengers: Endgame
HIGHEST_GROSSING_MOVIES_0040,Avengers: Endgame [Highest Grossing],2019
HIGHEST_GROSSING_MOVIES_0041,Highest Grossing Movie: 2020,Bad Boys For Life
HIGHEST_GROSSING_MOVIES_0042,Bad Boys For Life [Highest Grossing],2020
HIGHEST_GROSSING_MOVIES_0043,Highest Grossing Movie: 2021,Spider-Man: No Way Home
HIGHEST_GROSSING_MOVIES_0044,Spider-Man: No Way Home [Highest Grossing],2021
HIGHEST_GROSSING_MOVIES_0045,Highest Grossing Movie: 2022,Top Gun: Maverick
HIGHEST_GROSSING_MOVIES_0046,Top Gun: Maverick [Highest Grossing],2022
HIGHEST_GROSSING_MOVIES_0047,Highest Grossing Movie: 2023,Barbie
HIGHEST_GROSSING_MOVIES_0048,Barbie [Highest Grossing],2023
HIGHEST_GROSSING_MOVIES_0049,Highest Grossing Movie: 2024,Inside Out 2
HIGHEST_GROSSING_MOVIES_0050,Inside Out 2 [Highest Grossing],2024
HIGHEST_GROSSING_MOVIES_0051,Highest Grossing Movie: 1999,Star Wars: Episode I - The Phantom Menace
HIGHEST_GROSSING_MOVIES_0052,Star Wars: Episode I - The Phantom Menace [Highest Grossing],1999
HIGHEST_GROSSING_MOVIES_0053,Highest Grossing Movie: 1998,Saving Private Ryan
HIGHEST_GROSSING_MOVIES_0054,Saving Private Ryan [Highest Grossing],1998
HIGHEST_GROSSING_MOVIES_0055,Highest Grossing Movie: 1997,Titanic
HIGHEST_GROSSING_MOVIES_0056,Titanic [Highest Grossing],1997
HIGHEST_GROSSING_MOVIES_0057,Highest Grossing Movie: 1996,Independence Day
HIGHEST_GROSSING_MOVIES_0058,Independence Day [Highest Grossing],1996
HIGHEST_GROSSING_MOVIES_0059,Highest Grossing Movie: 1995,Toy Story
HIGHEST_GROSSING_MOVIES_0060,Toy Story [Highest Grossing],1995
HIGHEST_GROSSING_MOVIES_0061,Highest Grossing Movie: 1994,Forrest Gump
HIGHEST_GROSSING_MOVIES_0062,Forrest Gump [Highest Grossing],1994
HIGHEST_GROSSING_MOVIES_0063,Highest Grossing Movie: 1993,Jurassic Park
HIGHEST_GROSSING_MOVIES_0064,Jurassic Park [Highest Grossing],1993
HIGHEST_GROSSING_MOVIES_0065,Highest Grossing Movie: 1992,Aladdin
HIGHEST_GROSSING_MOVIES_0066,Aladdin [Highest Grossing],1992
HIGHEST_GROSSING_MOVIES_0067,Highest Grossing Movie: 1991,Terminator 2: Judgement Day
HIGHEST_GROSSING_MOVIES_0068,Terminator 2: Judgement Day [Highest Grossing],1991
HIGHEST_GROSSING_MOVIES_0069,Highest Grossing Movie: 1990,Home Alone
HIGHEST_GROSSING_MOVIES_0070,Home Alone [Highest Grossing],1990
HIGHEST_GROSSING_MOVIES_0071,Highest Grossing Movie: 1989,Batman
HIGHEST_GROSSING_MOVIES_0072,Batman [Highest Grossing],1989
HIGHEST_GROSSING_MOVIES_0073,Highest Grossing Movie: 1988,Rain Man
HIGHEST_GROSSING_MOVIES_0074,Rain Man [Highest Grossing],1988
HIGHEST_GROSSING_MOVIES_0075,Highest Grossing Movie: 1987,Three Men and a Baby
HIGHEST_GROSSING_MOVIES_0076,Three Men and a Baby [Highest Grossing],1987
HIGHEST_GROSSING_MOVIES_0077,Highest Grossing Movie: 1986,Top Gun
HIGHEST_GROSSING_MOVIES_0078,Top Gun [Highest Grossing],1986
HIGHEST_GROSSING_MOVIES_0079,Highest Grossing Movie: 1985,Back to the Future
HIGHEST_GROSSING_MOVIES_0080,Back to the Future [Highest Grossing],1985
HIGHEST_GROSSING_MOVIES_0081,Highest Grossing Movie: 1984,Beverly Hills Cop
HIGHEST_GROSSING_MOVIES_0082,Beverly Hills Cop [Highest Grossing],1984
HIGHEST_GROSSING_MOVIES_0083,Highest Grossing Movie: 1983,(Star Wars: Episode VI - ) Return of the Jedi
HIGHEST_GROSSING_MOVIES_0084,(Star Wars: Episode VI - ) Return of the Jedi [Highest Grossing],1983
HIGHEST_GROSSING_MOVIES_0085,Highest Grossing Movie: 1982,E.T. the Extra-Terrestrial
HIGHEST_GROSSING_MOVIES_0086,E.T. the Extra-Terrestrial [Highest Grossing],1982
HIGHEST_GROSSING_MOVIES_0087,Highest Grossing Movie: 1981,(Indiana Jones and the) Raiders of the Lost Ark
HIGHEST_GROSSING_MOVIES_0088,(Indiana Jones and the) Raiders of the Lost Ark [Highest Grossing],1981
HIGHEST_GROSSING_MOVIES_0089,Highest Grossing Movie: 1980,(Star Wars: Episode V - ) The Empire Strikes Back
HIGHEST_GROSSING_MOVIES_0090,(Star Wars: Episode V - ) The Empire Strikes Back [Highest Grossing],1980
HIGHEST_GROSSING_MOVIES_0091,Highest Grossing Movie: 1979,Kramer vs. Kramer
HIGHEST_GROSSING_MOVIES_0092,Kramer vs. Kramer [Highest Grossing],1979
HIGHEST_GROSSING_MOVIES_0093,Highest Grossing Movie: 1978,Grease
HIGHEST_GROSSING_MOVIES_0094,Grease [Highest Grossing],1978
HIGHEST_GROSSING_MOVIES_0095,Highest Grossing Movie: 1977,Star Wars (Episode IV - A New Hope)
HIGHEST_GROSSING_MOVIES_0096,Star Wars (Episode IV - A New Hope) [Highest Grossing],1977
HIGHEST_GROSSING_MOVIES_0097,Highest Grossing Movie: 2025,A Minecraft Movie
HIGHEST_GROSSING_MOVIES_0098,A Minecraft Movie [Highest Grossing],2025
