LARGEST_COUNTRIES_0001,Russia [Area],#1 · 6.6m sq mi
LARGEST_COUNTRIES_0002,#1,Russia · 6.6m sq mi
LARGEST_COUNTRIES_0003,Canada [Area],#2 · 3.9m sq mi
LARGEST_COUNTRIES_0004,#2,Canada · 3.9m sq mi
LARGEST_COUNTRIES_0005,China [Area],#3 · 3.7m sq mi
LARGEST_COUNTRIES_0006,#3,China · 3.7m sq mi
LARGEST_COUNTRIES_0007,United States [Area],#4 · 3.6m sq mi
LARGEST_COUNTRIES_0008,#4,United States · 3.6m sq mi
LARGEST_COUNTRIES_0009,Brazil [Area],#5 · 3.3m sq mi
LARGEST_COUNTRIES_0010,#5,Brazil · 3.3m sq mi
LARGEST_COUNTRIES_0011,Australia [Area],#6 · 3.0m sq mi
LARGEST_COUNTRIES_0012,#6,Australia · 3.0m sq mi
LARGEST_COUNTRIES_0013,India [Area],#7 · 1.3m sq mi
LARGEST_COUNTRIES_0014,#7,India · 1.3m sq mi
LARGEST_COUNTRIES_0015,Argentina [Area],#8 · 1.1m sq mi
LARGEST_COUNTRIES_0016,#8,Argentina · 1.1m sq mi
LARGEST_COUNTRIES_0017,Kazakhstan [Area],#9 · 1.1m sq mi
LARGEST_COUNTRIES_0018,#9,Kazakhstan · 1.1m sq mi
LARGEST_COUNTRIES_0019,Algeria [Area],#10 · 920k sq mi
LARGEST_COUNTRIES_0020,#10,Algeria · 920k sq mi
LARGEST_COUNTRIES_0021,Democratic Republic of the Congo [Area],#11 · 910k sq mi
LARGEST_COUNTRIES_0022,#11,Democratic Republic of the Congo · 910k sq mi
LARGEST_COUNTRIES_0023,Greenland [Area],#12 · 840k sq mi
LARGEST_COUNTRIES_0024,#12,Greenland · 840k sq mi
LARGEST_COUNTRIES_0025,Saudi Arabia [Area],#13 · 830k sq mi
LARGEST_COUNTRIES_0026,#13,Saudi Arabia · 830k sq mi
LARGEST_COUNTRIES_0027,Mexico [Area],#14 · 760k sq mi
LARGEST_COUNTRIES_0028,#14,Mexico · 760k sq mi
LARGEST_COUNTRIES_0029,Indonesia [Area],#15 · 740k sq mi
LARGEST_COUNTRIES_0030,#15,Indonesia · 740k sq mi
LARGEST_COUNTRIES_0031,Sudan [Area],#16 · 730k sq mi
LARGEST_COUNTRIES_0032,#16,Sudan · 730k sq mi
LARGEST_COUNTRIES_0033,Libya [Area],#17 · 680k sq mi
LARGEST_COUNTRIES_0034,#17,Libya · 680k sq mi
LARGEST_COUNTRIES_0035,Iran [Area],#18 · 640k sq mi
LARGEST_COUNTRIES_0036,#18,Iran · 640k sq mi
LARGEST_COUNTRIES_0037,Mongolia [Area],#19 · 600k sq mi
LARGEST_COUNTRIES_0038,#19,Mongolia · 600k sq mi
LARGEST_COUNTRIES_0039,Peru [Area],#20 · 500k sq mi
LARGEST_COUNTRIES_0040,#20,Peru · 500k sq mi
