LARGEST_COUNTRIES_BY_AREA_0001,"Largest Countries by Area
Russia",#1 · 6.6m sq mi
LARGEST_COUNTRIES_BY_AREA_0002,"Largest Countries by Area
#1",Russia · 6.6m sq mi
LARGEST_COUNTRIES_BY_AREA_0003,"Largest Countries by Area
Canada",#2 · 3.9m sq mi
LARGEST_COUNTRIES_BY_AREA_0004,"Largest Countries by Area
#2",Canada · 3.9m sq mi
LARGEST_COUNTRIES_BY_AREA_0005,"Largest Countries by Area
China",#3 · 3.7m sq mi
LARGEST_COUNTRIES_BY_AREA_0006,"Largest Countries by Area
#3",China · 3.7m sq mi
LARGEST_COUNTRIES_BY_AREA_0007,"Largest Countries by Area
United States",#4 · 3.6m sq mi
LARGEST_COUNTRIES_BY_AREA_0008,"Largest Countries by Area
#4",United States · 3.6m sq mi
LARGEST_COUNTRIES_BY_AREA_0009,"Largest Countries by Area
Brazil",#5 · 3.3m sq mi
LARGEST_COUNTRIES_BY_AREA_0010,"Largest Countries by Area
#5",Brazil · 3.3m sq mi
LARGEST_COUNTRIES_BY_AREA_0011,"Largest Countries by Area
Australia",#6 · 3.0m sq mi
LARGEST_COUNTRIES_BY_AREA_0012,"Largest Countries by Area
#6",Australia · 3.0m sq mi
LARGEST_COUNTRIES_BY_AREA_0013,"Largest Countries by Area
India",#7 · 1.3m sq mi
LARGEST_COUNTRIES_BY_AREA_0014,"Largest Countries by Area
#7",India · 1.3m sq mi
LARGEST_COUNTRIES_BY_AREA_0015,"Largest Countries by Area
Argentina",#8 · 1.1m sq mi
LARGEST_COUNTRIES_BY_AREA_0016,"Largest Countries by Area
#8",Argentina · 1.1m sq mi
LARGEST_COUNTRIES_BY_AREA_0017,"Largest Countries by Area
Kazakhstan",#9 · 1.1m sq mi
LARGEST_COUNTRIES_BY_AREA_0018,"Largest Countries by Area
#9",Kazakhstan · 1.1m sq mi
LARGEST_COUNTRIES_BY_AREA_0019,"Largest Countries by Area
Algeria",#10 · 920k sq mi
LARGEST_COUNTRIES_BY_AREA_0020,"Largest Countries by Area
#10",Algeria · 920k sq mi
LARGEST_COUNTRIES_BY_AREA_0021,"Largest Countries by Area
Democratic Republic of the Congo",#11 · 910k sq mi
LARGEST_COUNTRIES_BY_AREA_0022,"Largest Countries by Area
#11",Democratic Republic of the Congo · 910k sq mi
LARGEST_COUNTRIES_BY_AREA_0023,"Largest Countries by Area
Greenland",#12 · 840k sq mi
LARGEST_COUNTRIES_BY_AREA_0024,"Largest Countries by Area
#12",Greenland · 840k sq mi
LARGEST_COUNTRIES_BY_AREA_0025,"Largest Countries by Area
Saudi Arabia",#13 · 830k sq mi
LARGEST_COUNTRIES_BY_AREA_0026,"Largest Countries by Area
#13",Saudi Arabia · 830k sq mi
LARGEST_COUNTRIES_BY_AREA_0027,"Largest Countries by Area
Mexico",#14 · 760k sq mi
LARGEST_COUNTRIES_BY_AREA_0028,"Largest Countries by Area
#14",Mexico · 760k sq mi
LARGEST_COUNTRIES_BY_AREA_0029,"Largest Countries by Area
Indonesia",#15 · 740k sq mi
LARGEST_COUNTRIES_BY_AREA_0030,"Largest Countries by Area
#15",Indonesia · 740k sq mi
LARGEST_COUNTRIES_BY_AREA_0031,"Largest Countries by Area
Sudan",#16 · 730k sq mi
LARGEST_COUNTRIES_BY_AREA_0032,"Largest Countries by Area
#16",Sudan · 730k sq mi
LARGEST_COUNTRIES_BY_AREA_0033,"Largest Countries by Area
Libya",#17 · 680k sq mi
LARGEST_COUNTRIES_BY_AREA_0034,"Largest Countries by Area
#17",Libya · 680k sq mi
LARGEST_COUNTRIES_BY_AREA_0035,"Largest Countries by Area
Iran",#18 · 640k sq mi
LARGEST_COUNTRIES_BY_AREA_0036,"Largest Countries by Area
#18",Iran · 640k sq mi
LARGEST_COUNTRIES_BY_AREA_0037,"Largest Countries by Area
Mongolia",#19 · 600k sq mi
LARGEST_COUNTRIES_BY_AREA_0038,"Largest Countries by Area
#19",Mongolia · 600k sq mi
LARGEST_COUNTRIES_BY_AREA_0039,"Largest Countries by Area
Peru",#20 · 500k sq mi
LARGEST_COUNTRIES_BY_AREA_0040,"Largest Countries by Area
#20",Peru · 500k sq mi
