LATITUDE_AND_LONGITUDE_0001,"Latitude & Longitude
0 Degrees Latitude - Equator (1/13)",Ecuador (Latitude)
LATITUDE_AND_LONGITUDE_0002,"Latitude & Longitude
Ecuador (Latitude)",0 Degrees Latitude - Equator (1/13)
LATITUDE_AND_LONGITUDE_0003,"Latitude & Longitude
0 Degrees Latitude - Equator (2/13)",Colombia (Latitude)
LATITUDE_AND_LONGITUDE_0004,"Latitude & Longitude
Colombia (Latitude)",0 Degrees Latitude - Equator (2/13)
LATITUDE_AND_LONGITUDE_0005,"Latitude & Longitude
0 Degrees Latitude - Equator (3/13)",Brazil (Latitude) (1/2)
LATITUDE_AND_LONGITUDE_0006,"Latitude & Longitude
Brazil (Latitude) (1/2)",0 Degrees Latitude - Equator (3/13)
LATITUDE_AND_LONGITUDE_0007,"Latitude & Longitude
0 Degrees Latitude - Equator (4/13)",Sao Tome and Principe (Latitude)
LATITUDE_AND_LONGITUDE_0008,"Latitude & Longitude
Sao Tome and Principe (Latitude)",0 Degrees Latitude - Equator (4/13)
LATITUDE_AND_LONGITUDE_0009,"Latitude & Longitude
0 Degrees Latitude - Equator (5/13)",Gabon (Latitude)
LATITUDE_AND_LONGITUDE_0010,"Latitude & Longitude
Gabon (Latitude)",0 Degrees Latitude - Equator (5/13)
LATITUDE_AND_LONGITUDE_0011,"Latitude & Longitude
0 Degrees Latitude - Equator (6/13)",Republic of the Congo (Latitude)
LATITUDE_AND_LONGITUDE_0012,"Latitude & Longitude
Republic of the Congo (Latitude)",0 Degrees Latitude - Equator (6/13)
LATITUDE_AND_LONGITUDE_0013,"Latitude & Longitude
0 Degrees Latitude - Equator (7/13)",Democratic Republic of the Congo (Latitude)
LATITUDE_AND_LONGITUDE_0014,"Latitude & Longitude
Democratic Republic of the Congo (Latitude)",0 Degrees Latitude - Equator (7/13)
LATITUDE_AND_LONGITUDE_0015,"Latitude & Longitude
0 Degrees Latitude - Equator (8/13)",Uganda (Latitude)
LATITUDE_AND_LONGITUDE_0016,"Latitude & Longitude
Uganda (Latitude)",0 Degrees Latitude - Equator (8/13)
LATITUDE_AND_LONGITUDE_0017,"Latitude & Longitude
0 Degrees Latitude - Equator (9/13)",Kenya (Latitude)
LATITUDE_AND_LONGITUDE_0018,"Latitude & Longitude
Kenya (Latitude)",0 Degrees Latitude - Equator (9/13)
LATITUDE_AND_LONGITUDE_0019,"Latitude & Longitude
0 Degrees Latitude - Equator (10/13)",Somalia (Latitude)
LATITUDE_AND_LONGITUDE_0020,"Latitude & Longitude
Somalia (Latitude)",0 Degrees Latitude - Equator (10/13)
LATITUDE_AND_LONGITUDE_0021,"Latitude & Longitude
0 Degrees Latitude - Equator (11/13)",Maldives (Latitude)
LATITUDE_AND_LONGITUDE_0022,"Latitude & Longitude
Maldives (Latitude)",0 Degrees Latitude - Equator (11/13)
LATITUDE_AND_LONGITUDE_0023,"Latitude & Longitude
0 Degrees Latitude - Equator (12/13)",Indonesia (Latitude)
LATITUDE_AND_LONGITUDE_0024,"Latitude & Longitude
Indonesia (Latitude)",0 Degrees Latitude - Equator (12/13)
LATITUDE_AND_LONGITUDE_0025,"Latitude & Longitude
0 Degrees Latitude - Equator (13/13)",Kiribati (Latitude)
LATITUDE_AND_LONGITUDE_0026,"Latitude & Longitude
Kiribati (Latitude)",0 Degrees Latitude - Equator (13/13)
LATITUDE_AND_LONGITUDE_0027,"Latitude & Longitude
0 Degrees Longitude - Prime Meridian (1/8)",United Kingdom (Longitude)
LATITUDE_AND_LONGITUDE_0028,"Latitude & Longitude
United Kingdom (Longitude)",0 Degrees Longitude - Prime Meridian (1/8)
LATITUDE_AND_LONGITUDE_0029,"Latitude & Longitude
0 Degrees Longitude - Prime Meridian (2/8)",France (Longitude)
LATITUDE_AND_LONGITUDE_0030,"Latitude & Longitude
France (Longitude)",0 Degrees Longitude - Prime Meridian (2/8)
LATITUDE_AND_LONGITUDE_0031,"Latitude & Longitude
0 Degrees Longitude - Prime Meridian (3/8)",Spain (Longitude)
LATITUDE_AND_LONGITUDE_0032,"Latitude & Longitude
Spain (Longitude)",0 Degrees Longitude - Prime Meridian (3/8)
LATITUDE_AND_LONGITUDE_0033,"Latitude & Longitude
0 Degrees Longitude - Prime Meridian (4/8)",Algeria (Longitude)
LATITUDE_AND_LONGITUDE_0034,"Latitude & Longitude
Algeria (Longitude)",0 Degrees Longitude - Prime Meridian (4/8)
LATITUDE_AND_LONGITUDE_0035,"Latitude & Longitude
0 Degrees Longitude - Prime Meridian (5/8)",Mali (Longitude)
LATITUDE_AND_LONGITUDE_0036,"Latitude & Longitude
Mali (Longitude)",0 Degrees Longitude - Prime Meridian (5/8)
LATITUDE_AND_LONGITUDE_0037,"Latitude & Longitude
0 Degrees Longitude - Prime Meridian (6/8)",Burkina Faso (Longitude)
LATITUDE_AND_LONGITUDE_0038,"Latitude & Longitude
Burkina Faso (Longitude)",0 Degrees Longitude - Prime Meridian (6/8)
LATITUDE_AND_LONGITUDE_0039,"Latitude & Longitude
0 Degrees Longitude - Prime Meridian (7/8)",Togo (Longitude)
LATITUDE_AND_LONGITUDE_0040,"Latitude & Longitude
Togo (Longitude)",0 Degrees Longitude - Prime Meridian (7/8)
LATITUDE_AND_LONGITUDE_0041,"Latitude & Longitude
0 Degrees Longitude - Prime Meridian (8/8)",Ghana (Longitude)
LATITUDE_AND_LONGITUDE_0042,"Latitude & Longitude
Ghana (Longitude)",0 Degrees Longitude - Prime Meridian (8/8)
LATITUDE_AND_LONGITUDE_0043,"Latitude & Longitude
180 Degrees Longitude - International Date Line (1/2)",Russia (Longitude) (4/4)
LATITUDE_AND_LONGITUDE_0044,"Latitude & Longitude
Russia (Longitude) (4/4)",180 Degrees Longitude - International Date Line (1/2)
LATITUDE_AND_LONGITUDE_0045,"Latitude & Longitude
180 Degrees Longitude - International Date Line (2/2)",Fiji
LATITUDE_AND_LONGITUDE_0046,"Latitude & Longitude
Fiji",180 Degrees Longitude - International Date Line (2/2)
LATITUDE_AND_LONGITUDE_0047,"Latitude & Longitude
23.5 Degrees N Latitude - Tropic of Cancer (1/17)",Mexico (Latitude)
LATITUDE_AND_LONGITUDE_0048,"Latitude & Longitude
Mexico (Latitude)",23.5 Degrees N Latitude - Tropic of Cancer (1/17)
LATITUDE_AND_LONGITUDE_0049,"Latitude & Longitude
23.5 Degrees N Latitude - Tropic of Cancer (2/17)",Bahamas (Latitude)
LATITUDE_AND_LONGITUDE_0050,"Latitude & Longitude
Bahamas (Latitude)",23.5 Degrees N Latitude - Tropic of Cancer (2/17)
LATITUDE_AND_LONGITUDE_0051,"Latitude & Longitude
23.5 Degrees N Latitude - Tropic of Cancer (3/17)",Western Sahara (Latitude)
LATITUDE_AND_LONGITUDE_0052,"Latitude & Longitude
Western Sahara (Latitude)",23.5 Degrees N Latitude - Tropic of Cancer (3/17)
LATITUDE_AND_LONGITUDE_0053,"Latitude & Longitude
23.5 Degrees N Latitude - Tropic of Cancer (4/17)",Mauritania (Latitude)
LATITUDE_AND_LONGITUDE_0054,"Latitude & Longitude
Mauritania (Latitude)",23.5 Degrees N Latitude - Tropic of Cancer (4/17)
LATITUDE_AND_LONGITUDE_0055,"Latitude & Longitude
23.5 Degrees N Latitude - Tropic of Cancer (5/17)",Mali (Latitude)
LATITUDE_AND_LONGITUDE_0056,"Latitude & Longitude
Mali (Latitude)",23.5 Degrees N Latitude - Tropic of Cancer (5/17)
LATITUDE_AND_LONGITUDE_0057,"Latitude & Longitude
23.5 Degrees N Latitude - Tropic of Cancer (6/17)",Algeria (Latitude)
LATITUDE_AND_LONGITUDE_0058,"Latitude & Longitude
Algeria (Latitude)",23.5 Degrees N Latitude - Tropic of Cancer (6/17)
LATITUDE_AND_LONGITUDE_0059,"Latitude & Longitude
23.5 Degrees N Latitude - Tropic of Cancer (7/17)",Niger (Latitude)
LATITUDE_AND_LONGITUDE_0060,"Latitude & Longitude
Niger (Latitude)",23.5 Degrees N Latitude - Tropic of Cancer (7/17)
LATITUDE_AND_LONGITUDE_0061,"Latitude & Longitude
23.5 Degrees N Latitude - Tropic of Cancer (8/17)",Libya (Latitude)
LATITUDE_AND_LONGITUDE_0062,"Latitude & Longitude
Libya (Latitude)",23.5 Degrees N Latitude - Tropic of Cancer (8/17)
LATITUDE_AND_LONGITUDE_0063,"Latitude & Longitude
23.5 Degrees N Latitude - Tropic of Cancer (9/17)",Egypt (Latitude)
LATITUDE_AND_LONGITUDE_0064,"Latitude & Longitude
Egypt (Latitude)",23.5 Degrees N Latitude - Tropic of Cancer (9/17)
LATITUDE_AND_LONGITUDE_0065,"Latitude & Longitude
23.5 Degrees N Latitude - Tropic of Cancer (10/17)",Saudi Arabia (Latitude)
