MONOPOLY_0001,"Monopoly
Mediterranean Avenue","Purple/Brown
$60 (1/2)"
MONOPOLY_0002,"Monopoly
Purple/Brown
$60 (1/2)",Mediterranean Avenue
MONOPOLY_0003,"Monopoly
Baltic Avenue","Purple/Brown 
$60 (2/2)"
MONOPOLY_0004,"Monopoly
Purple/Brown 
$60 (2/2)",Baltic Avenue
MONOPOLY_0005,"Monopoly
Oriental Avenue","Light Blue
$100 (1/2)"
MONOPOLY_0006,"Monopoly
Light Blue
$100 (1/2)",Oriental Avenue
MONOPOLY_0007,"Monopoly
Vermont Avenue","Light Blue
$100 (2/2)"
MONOPOLY_0008,"Monopoly
Light Blue
$100 (2/2)",Vermont Avenue
MONOPOLY_0009,"Monopoly
Connecticut Avenue","Light Blue 
$120"
MONOPOLY_0010,"Monopoly
Light Blue 
$120",Connecticut Avenue
MONOPOLY_0011,"Monopoly
St. Charles Place","Pink
$140 (1/2)"
MONOPOLY_0012,"Monopoly
Pink
$140 (1/2)",St. Charles Place
MONOPOLY_0013,"Monopoly
States Avenue","Pink
$140 (2/2)"
MONOPOLY_0014,"Monopoly
Pink
$140 (2/2)",States Avenue
MONOPOLY_0015,"Monopoly
Virginia Avenue","Pink
$160"
MONOPOLY_0016,"Monopoly
Pink
$160",Virginia Avenue
MONOPOLY_0017,"Monopoly
St. James Place","Orange
$180 (1/2)"
MONOPOLY_0018,"Monopoly
Orange
$180 (1/2)",St. James Place
MONOPOLY_0019,"Monopoly
Tennessee Avenue ","Orange
$180 (2/2)"
MONOPOLY_0020,"Monopoly
Orange
$180 (2/2)","Tennessee Avenue "
MONOPOLY_0021,"Monopoly
New York Avenue","Orange
$200"
MONOPOLY_0022,"Monopoly
Orange
$200",New York Avenue
MONOPOLY_0023,"Monopoly
Kentucky Avenue","Red
$220 (1/2)"
MONOPOLY_0024,"Monopoly
Red
$220 (1/2)",Kentucky Avenue
MONOPOLY_0025,"Monopoly
 Indiana Avenue","Red
$220 (2/2)"
MONOPOLY_0026,"Monopoly
Red
$220 (2/2)"," Indiana Avenue"
MONOPOLY_0027,"Monopoly
Illinois Avenue","Red 
$240"
MONOPOLY_0028,"Monopoly
Red 
$240",Illinois Avenue
MONOPOLY_0029,"Monopoly
Atlantic Avenue","Yellow
$260 (1/2)"
MONOPOLY_0030,"Monopoly
Yellow
$260 (1/2)",Atlantic Avenue
MONOPOLY_0031,"Monopoly
Ventnor Avenue","Yellow
$260 (2/2)"
MONOPOLY_0032,"Monopoly
Yellow
$260 (2/2)",Ventnor Avenue
MONOPOLY_0033,"Monopoly
Marvin Gardens","Yellow
$280"
MONOPOLY_0034,"Monopoly
Yellow
$280",Marvin Gardens
MONOPOLY_0035,"Monopoly
Pacific Avenue","Green
$300 (1/2)"
MONOPOLY_0036,"Monopoly
Green
$300 (1/2)",Pacific Avenue
MONOPOLY_0037,"Monopoly
North Carolina Avenue","Green
$300 (2/2)"
MONOPOLY_0038,"Monopoly
Green
$300 (2/2)",North Carolina Avenue
MONOPOLY_0039,"Monopoly
Pennsylvania Avenue","Green
$320"
MONOPOLY_0040,"Monopoly
Green
$320",Pennsylvania Avenue
MONOPOLY_0041,"Monopoly
Park Place","Blue
$350"
MONOPOLY_0042,"Monopoly
Blue
$350",Park Place
MONOPOLY_0043,"Monopoly
Boardwalk","Blue
$400"
MONOPOLY_0044,"Monopoly
Blue
$400",Boardwalk
MONOPOLY_0045,"Monopoly
Reading","Railroad (1/4)
$200"
MONOPOLY_0046,"Monopoly
Railroad (1/4)
$200",Reading
MONOPOLY_0047,"Monopoly
Pennsylvania","Railroad (2/4)
$200"
MONOPOLY_0048,"Monopoly
Railroad (2/4)
$200",Pennsylvania
MONOPOLY_0049,"Monopoly
B&O","Railroad (3/4)
$200"
MONOPOLY_0050,"Monopoly
Railroad (3/4)
$200",B&O
MONOPOLY_0051,"Monopoly
Short Line","Railroad (4/4)
$200"
MONOPOLY_0052,"Monopoly
Railroad (4/4)
$200",Short Line
MONOPOLY_0053,"Monopoly
Income Tax","Tax (1/2)
10% or $200"
MONOPOLY_0054,"Monopoly
Tax (1/2)
10% or $200",Income Tax
MONOPOLY_0055,"Monopoly
Electric Company ","Utility (1/2)
$150"
MONOPOLY_0056,"Monopoly
Utility (1/2)
$150","Electric Company "
MONOPOLY_0057,"Monopoly
Water Works","Utility (2/2)
$150"
MONOPOLY_0058,"Monopoly
Utility (2/2)
$150",Water Works
MONOPOLY_0059,"Monopoly
Luxury Tax","Tax (2/2)
$75"
MONOPOLY_0060,"Monopoly
Tax (2/2)
$75",Luxury Tax
MONOPOLY_0061,"Monopoly
Starting Amount of Money","$1500
2: $500, $100, $50
6: $20
5: $10, $5, $1"
MONOPOLY_0062,"Monopoly
$1500
2: $500, $100, $50
6: $20
5: $10, $5, $1",Starting Amount of Money
MONOPOLY_0063,"Monopoly
Roll Doubles","Roll Again
3X: Go to Jail "
MONOPOLY_0064,"Monopoly
Roll Again
3X: Go to Jail ",Roll Doubles
