NATO_NATIONS_0001,"NATO Nations
2004 (6/7)",Slovakia
NATO_NATIONS_0002,"NATO Nations
Slovakia",2004 (6/7)
NATO_NATIONS_0003,"NATO Nations
1982",Spain
NATO_NATIONS_0004,"NATO Nations
Spain",1982
NATO_NATIONS_0005,"NATO Nations
2017",Montenegro
NATO_NATIONS_0006,"NATO Nations
Montenegro",2017
NATO_NATIONS_0007,"NATO Nations
2004 (5/7)",Romania
NATO_NATIONS_0008,"NATO Nations
Romania",2004 (5/7)
NATO_NATIONS_0009,"NATO Nations
1999 (3/3)",Poland
NATO_NATIONS_0010,"NATO Nations
Poland",1999 (3/3)
NATO_NATIONS_0011,"NATO Nations
2004 (4/7)",Lithuania
NATO_NATIONS_0012,"NATO Nations
Lithuania",2004 (4/7)
NATO_NATIONS_0013,"NATO Nations
Sweden",2024
NATO_NATIONS_0014,"NATO Nations
2024",Sweden
NATO_NATIONS_0015,"NATO Nations
1999 (1/3)",Czech Republic
NATO_NATIONS_0016,"NATO Nations
Czech Republic",1999 (1/3)
NATO_NATIONS_0017,"NATO Nations
2020",North Macedonia
NATO_NATIONS_0018,"NATO Nations
North Macedonia",2020
NATO_NATIONS_0019,"NATO Nations
1949 - Founder (2/12)",Canada
NATO_NATIONS_0020,"NATO Nations
Canada",1949 - Founder (2/12)
NATO_NATIONS_0021,"NATO Nations
1949 - Founder (3/12)",Denmark
NATO_NATIONS_0022,"NATO Nations
Denmark",1949 - Founder (3/12)
NATO_NATIONS_0023,"NATO Nations
1949 - Founder (4/12)",France
NATO_NATIONS_0024,"NATO Nations
France",1949 - Founder (4/12)
NATO_NATIONS_0025,"NATO Nations
1949 - Founder (5/12)",Iceland
NATO_NATIONS_0026,"NATO Nations
Iceland",1949 - Founder (5/12)
NATO_NATIONS_0027,"NATO Nations
1949 - Founder (6/12)",Italy
NATO_NATIONS_0028,"NATO Nations
Italy",1949 - Founder (6/12)
NATO_NATIONS_0029,"NATO Nations
1949 - Founder (8/12)",Netherlands
NATO_NATIONS_0030,"NATO Nations
Netherlands",1949 - Founder (8/12)
NATO_NATIONS_0031,"NATO Nations
1949 - Founder (11/12)",United Kingdom
NATO_NATIONS_0032,"NATO Nations
United Kingdom",1949 - Founder (11/12)
NATO_NATIONS_0033,"NATO Nations
1955/1990",(West) Germany
NATO_NATIONS_0034,"NATO Nations
(West) Germany",1955/1990
NATO_NATIONS_0035,"NATO Nations
2004 (2/7)",Estonia
NATO_NATIONS_0036,"NATO Nations
Estonia",2004 (2/7)
NATO_NATIONS_0037,"NATO Nations
2004 (7/7)",Slovenia
NATO_NATIONS_0038,"NATO Nations
Slovenia",2004 (7/7)
NATO_NATIONS_0039,"NATO Nations
2023",Finland
NATO_NATIONS_0040,"NATO Nations
Finland",2023
NATO_NATIONS_0041,"NATO Nations
1949 - Founder (1/12)",Belgium
NATO_NATIONS_0042,"NATO Nations
Belgium",1949 - Founder (1/12)
NATO_NATIONS_0043,"NATO Nations
1949 - Founder (7/12)",Luxembourg
NATO_NATIONS_0044,"NATO Nations
Luxembourg",1949 - Founder (7/12)
NATO_NATIONS_0045,"NATO Nations
1949 - Founder (9/12)",Norway
NATO_NATIONS_0046,"NATO Nations
Norway",1949 - Founder (9/12)
NATO_NATIONS_0047,"NATO Nations
1949 - Founder (10/12)",Portugal
NATO_NATIONS_0048,"NATO Nations
Portugal",1949 - Founder (10/12)
NATO_NATIONS_0049,"NATO Nations
1949 - Founder (12/12)",United States
NATO_NATIONS_0050,"NATO Nations
United States",1949 - Founder (12/12)
NATO_NATIONS_0051,"NATO Nations
1952 (1/2)",Greece
NATO_NATIONS_0052,"NATO Nations
Greece",1952 (1/2)
NATO_NATIONS_0053,"NATO Nations
1952 (2/2)",Turkey
NATO_NATIONS_0054,"NATO Nations
Turkey",1952 (2/2)
NATO_NATIONS_0055,"NATO Nations
1999 (2/3)",Hungary
NATO_NATIONS_0056,"NATO Nations
Hungary",1999 (2/3)
NATO_NATIONS_0057,"NATO Nations
2004 (1/7)",Bulgaria
NATO_NATIONS_0058,"NATO Nations
Bulgaria",2004 (1/7)
NATO_NATIONS_0059,"NATO Nations
2004 (3/7)",Latvia
NATO_NATIONS_0060,"NATO Nations
Latvia",2004 (3/7)
NATO_NATIONS_0061,"NATO Nations
2009 (1/2)",Albania
NATO_NATIONS_0062,"NATO Nations
Albania",2009 (1/2)
NATO_NATIONS_0063,"NATO Nations
2009 (2/2)",Croatia
NATO_NATIONS_0064,"NATO Nations
Croatia",2009 (2/2)
