NATO_PHONETIC_ALPHABET_0001,"NATO Phonetic Alphabet
A",Alfa
NATO_PHONETIC_ALPHABET_0002,"NATO Phonetic Alphabet
B",Bravo
NATO_PHONETIC_ALPHABET_0003,"NATO Phonetic Alphabet
C",Charlie
NATO_PHONETIC_ALPHABET_0004,"NATO Phonetic Alphabet
D",Delta
NATO_PHONETIC_ALPHABET_0005,"NATO Phonetic Alphabet
E",Echo
NATO_PHONETIC_ALPHABET_0006,"NATO Phonetic Alphabet
F",Foxtrot
NATO_PHONETIC_ALPHABET_0007,"NATO Phonetic Alphabet
G",Golf
NATO_PHONETIC_ALPHABET_0008,"NATO Phonetic Alphabet
H",Hotel
NATO_PHONETIC_ALPHABET_0009,"NATO Phonetic Alphabet
I",India
NATO_PHONETIC_ALPHABET_0010,"NATO Phonetic Alphabet
J",Juliett
NATO_PHONETIC_ALPHABET_0011,"NATO Phonetic Alphabet
K",Kilo
NATO_PHONETIC_ALPHABET_0012,"NATO Phonetic Alphabet
L",Lima
NATO_PHONETIC_ALPHABET_0013,"NATO Phonetic Alphabet
M",Mike
NATO_PHONETIC_ALPHABET_0014,"NATO Phonetic Alphabet
N",November
NATO_PHONETIC_ALPHABET_0015,"NATO Phonetic Alphabet
O",Oscar
NATO_PHONETIC_ALPHABET_0016,"NATO Phonetic Alphabet
P",Papa
NATO_PHONETIC_ALPHABET_0017,"NATO Phonetic Alphabet
Q",Quebec
NATO_PHONETIC_ALPHABET_0018,"NATO Phonetic Alphabet
R",Romeo
NATO_PHONETIC_ALPHABET_0019,"NATO Phonetic Alphabet
S",Sierra
NATO_PHONETIC_ALPHABET_0020,"NATO Phonetic Alphabet
T",Tango
NATO_PHONETIC_ALPHABET_0021,"NATO Phonetic Alphabet
U",Uniform
NATO_PHONETIC_ALPHABET_0022,"NATO Phonetic Alphabet
V",Victor
NATO_PHONETIC_ALPHABET_0023,"NATO Phonetic Alphabet
W",Whiskey
NATO_PHONETIC_ALPHABET_0024,"NATO Phonetic Alphabet
X",Xray
NATO_PHONETIC_ALPHABET_0025,"NATO Phonetic Alphabet
Y",Yankee
NATO_PHONETIC_ALPHABET_0026,"NATO Phonetic Alphabet
Z",Zulu
