NBA_CHAMPIONS_0001,"2024 (2023-2024 Season)
Defeated the Dallas Mavericks","Boston Celtics (18/18)
MVP: Jaylen Brown"
NBA_CHAMPIONS_0002,"Boston Celtics (18/18)
MVP: Jaylen Brown","2024 (2023-2024 Season)
Defeated the Dallas Mavericks"
NBA_CHAMPIONS_0003,"2023 (2022-2023 Season)
Defeated the Miami Heat","Denver Nuggets (1/1)
MVP: Nikola Jokic"
NBA_CHAMPIONS_0004,"Denver Nuggets (1/1)
MVP: Nikola Jokic","2023 (2022-2023 Season)
Defeated the Miami Heat"
NBA_CHAMPIONS_0005,"2022 (2021-2022 Season)
Defeated the Boston Celtics","Golden State Warriors (7/7)
MVP: Stephen Curry"
NBA_CHAMPIONS_0006,"Golden State Warriors (7/7)
MVP: Stephen Curry","2022 (2021-2022 Season)
Defeated the Boston Celtics"
NBA_CHAMPIONS_0007,"2021 (2020-2021 Season)
Defeated the Phoenix Suns","Milwaukee Bucks (2/2)
MVP: Giannis Antetokounmpo"
NBA_CHAMPIONS_0008,"Milwaukee Bucks (2/2)
MVP: Giannis Antetokounmpo","2021 (2020-2021 Season)
Defeated the Phoenix Suns"
NBA_CHAMPIONS_0009,"2020 (2019-2020 Season)
Defeated the Miami Heat","Los Angeles Lakers (17/17)
MVP: LeBron James (4/4)"
NBA_CHAMPIONS_0010,"Los Angeles Lakers (17/17)
MVP: LeBron James (4/4)","2020 (2019-2020 Season)
Defeated the Miami Heat"
NBA_CHAMPIONS_0011,"2019 (2018-2019 Season)
Defeated the Golden State Warriors","Toronto Raptors (1/1)
MVP: Kawhi Leonard (2/2)"
NBA_CHAMPIONS_0012,"Toronto Raptors (1/1)
MVP: Kawhi Leonard (2/2)","2019 (2018-2019 Season)
Defeated the Golden State Warriors"
NBA_CHAMPIONS_0013,"2018 (2017-2018 Season)
Defeated the Cleveland Cavaliers","Golden State Warriors (6/7)
MVP: Kevin Durant (2/2)"
NBA_CHAMPIONS_0014,"Golden State Warriors (6/7)
MVP: Kevin Durant (2/2)","2018 (2017-2018 Season)
Defeated the Cleveland Cavaliers"
NBA_CHAMPIONS_0015,"2017 (2016-2017 Season)
Defeated the Cleveland Cavaliers","Golden State Warriors (5/7)
MVP: Kevin Durant (1/2)"
