OPERA_0001,"Notable Operas
Claudio Monteverdi
Italian
1607",L'Orfeo
OPERA_0002,"Notable Operas
L'Orfeo","Claudio Monteverdi
Italian
1607"
OPERA_0003,"Notable Operas
Henry Purcell
British
1689",Dido and Aeneas
OPERA_0004,"Notable Operas
Dido and Aeneas","Henry Purcell
British
1689"
OPERA_0005,"Notable Operas
George Frideric Handel
German
1724",Julius Caesar
OPERA_0006,"Notable Operas
Julius Caesar","George Frideric Handel
German
1724"
OPERA_0007,"Notable Operas
Christoph Willibald Gluck
German
1762",Orpheus and Eurydice
OPERA_0008,"Notable Operas
Orpheus and Eurydice","Christoph Willibald Gluck
German
1762"
OPERA_0009,"Notable Operas
Wolfgang Amadeus Mozart
Austrian
1786",The Marriage of Figaro
OPERA_0010,"Notable Operas
The Marriage of Figaro","Wolfgang Amadeus Mozart
Austrian
1786"
OPERA_0011,"Notable Operas
Wolfgang Amadeus Mozart
Austrian
1791",The Magic Flute
OPERA_0012,"Notable Operas
The Magic Flute","Wolfgang Amadeus Mozart
Austrian
1791"
OPERA_0013,"Notable Operas
Gioachino Rossini
Italian
1816",The Barber of Seville
OPERA_0014,"Notable Operas
The Barber of Seville","Gioachino Rossini
Italian
1816"
OPERA_0015,"Notable Operas
Gioachino Rossini
Italian
1829",William Tell
OPERA_0016,"Notable Operas
William Tell","Gioachino Rossini
Italian
1829"
OPERA_0017,"Notable Operas
Giuseppe Verdi
Italian
1851",Rigoletto
OPERA_0018,"Notable Operas
Rigoletto","Giuseppe Verdi
Italian
1851"
OPERA_0019,"Notable Operas
Giuseppe Verdi
Italian
1853",La Traviata
OPERA_0020,"Notable Operas
La Traviata","Giuseppe Verdi
Italian
1853"
OPERA_0021,"Notable Operas
Giuseppe Verdi
Italian
1867",Don Carlos
OPERA_0022,"Notable Operas
Don Carlos","Giuseppe Verdi
Italian
1867"
OPERA_0023,"Notable Operas
Giuseppe Verdi
Italian
1893",Falstaff
OPERA_0024,"Notable Operas
Falstaff","Giuseppe Verdi
Italian
1893"
OPERA_0025,"Notable Operas
Giacomo Puccini
Italian
1896",La Boheme
OPERA_0026,"Notable Operas
La Boheme","Giacomo Puccini
Italian
1896"
OPERA_0027,"Notable Operas
Giacomo Puccini
Italian
1904",Madama Butterfly
OPERA_0028,"Notable Operas
Madama Butterfly","Giacomo Puccini
Italian
1904"
OPERA_0029,"Notable Operas
Giacomo Puccini
Italian
1926",Turandot
OPERA_0030,"Notable Operas
Turandot","Giacomo Puccini
Italian
1926"
OPERA_0031,"Notable Operas
Ludwig van Beethoven
German
1805",Fidelio
OPERA_0032,"Notable Operas
Fidelio","Ludwig van Beethoven
German
1805"
OPERA_0033,"Notable Operas
Richard Wagner
German
1850",Lohengrin
OPERA_0034,"Notable Operas
Lohengrin","Richard Wagner
German
1850"
OPERA_0035,"Notable Operas
Richard Wagner
German
1865",Tristan and Isolde
OPERA_0036,"Notable Operas
Tristan and Isolde","Richard Wagner
German
1865"
OPERA_0037,"Notable Operas
Richard Wagner
German
1876",The Ring of the Nibelungen
OPERA_0038,"Notable Operas
The Ring of the Nibelungen","Richard Wagner
German
1876"
OPERA_0039,"Notable Operas
Georges Bizet
French
1875",Carmen
OPERA_0040,"Notable Operas
Carmen","Georges Bizet
French
1875"
OPERA_0041,"Notable Operas
Modest Mussorgsky
Russian
1874",Boris Godunov
OPERA_0042,"Notable Operas
Boris Godunov","Modest Mussorgsky
Russian
1874"
OPERA_0043,"Notable Operas
Pyotr Ilych Tchaikovsky
Russian
1879",Eugene Onegin
OPERA_0044,"Notable Operas
Eugene Onegin","Pyotr Ilych Tchaikovsky
Russian
1879"
OPERA_0045,"Notable Operas
Sergei Prokofiev
Russian
1944",War and Peace
OPERA_0046,"Notable Operas
War and Peace","Sergei Prokofiev
Russian
1944"
OPERA_0047,"Notable Operas
Igor Stravinsky
Russian
1951",The Rake's Progress
OPERA_0048,"Notable Operas
The Rake's Progress","Igor Stravinsky
Russian
1951"
OPERA_0049,"Notable Operas
George Gershwin
American
1935",Porgy and Bess
OPERA_0050,"Notable Operas
Porgy and Bess","George Gershwin
American
1935"
OPERA_0051,"Notable Operas
Benjamin Britten
British
1954",The Turn of the Screw
OPERA_0052,"Notable Operas
The Turn of the Screw","Benjamin Britten
British
1954"
OPERA_0053,"Notable Operas
Giuseppe Verdi
Italian
1871",Aida
OPERA_0054,"Notable Operas
Aida","Giuseppe Verdi
Italian
1871"
OPERA_0055,"Notable Operas
Wolfgang Amadeus Mozart
Austrian
1787",Don Giovanni
OPERA_0056,"Notable Operas
Don Giovanni","Wolfgang Amadeus Mozart
Austrian
1787"
OPERA_0057,"Notable Operas
Giacomo Puccini
Italian
1900",Tosca
OPERA_0058,"Notable Operas
Tosca","Giacomo Puccini
Italian
1900"
OPERA_0059,"Notable Operas
Ruggero Leoncavallo
Italian
1892",Pagliacci
OPERA_0060,"Notable Operas
Pagliacci","Ruggero Leoncavallo
Italian
1892"
OPERA_0061,"Notable Operas
Richard Wagner
German
1843",The Flying Dutchman
OPERA_0062,"Notable Operas
The Flying Dutchman","Richard Wagner
German
1843"
OPERA_0063,"Notable Operas
Gian Carlo Menotti
Italian
1951",Amahl and the Night Visitors
OPERA_0064,"Notable Operas
Amahl and the Night Visitors","Gian Carlo Menotti
Italian
1951"
OPERA_0065,"Notable Operas
Richard Strauss
German
1905",Salome
OPERA_0066,"Notable Operas
Salome","Richard Strauss
German
1905"
