OSCAR_BEST_ACTORS_0001,"Oscar Best Actors
1994","Tom Hanks (2/2)
Forrest Gump"
OSCAR_BEST_ACTORS_0002,"Oscar Best Actors
Tom Hanks (2/2)
Forrest Gump",1994
OSCAR_BEST_ACTORS_0003,"Oscar Best Actors
2023","Cillian Murphy
Oppenheimer"
OSCAR_BEST_ACTORS_0004,"Oscar Best Actors
Cillian Murphy
Oppenheimer",2023
OSCAR_BEST_ACTORS_0005,"Oscar Best Actors
1988","Dustin Hoffman (2/2)
Rain Man"
OSCAR_BEST_ACTORS_0006,"Oscar Best Actors
Dustin Hoffman (2/2)
Rain Man",1988
OSCAR_BEST_ACTORS_0007,"Oscar Best Actors
2016","Casey Affleck
Manchester by the Sea"
OSCAR_BEST_ACTORS_0008,"Oscar Best Actors
Casey Affleck
Manchester by the Sea",2016
OSCAR_BEST_ACTORS_0009,"Oscar Best Actors
2010","Colin Firth
The King's Speech"
OSCAR_BEST_ACTORS_0010,"Oscar Best Actors
Colin Firth
The King's Speech",2010
OSCAR_BEST_ACTORS_0011,"Oscar Best Actors
1982","Ben Kingsley
Gandhi"
OSCAR_BEST_ACTORS_0012,"Oscar Best Actors
Ben Kingsley
Gandhi",1982
OSCAR_BEST_ACTORS_0013,"Oscar Best Actors
1981","Henry Fonda
On Golden Pond"
OSCAR_BEST_ACTORS_0014,"Oscar Best Actors
Henry Fonda
On Golden Pond",1981
OSCAR_BEST_ACTORS_0015,"Oscar Best Actors
2018","Rami Malek
Bohemian Rhapsody"
OSCAR_BEST_ACTORS_0016,"Oscar Best Actors
Rami Malek
Bohemian Rhapsody",2018
OSCAR_BEST_ACTORS_0017,"Oscar Best Actors
2022","Brendan Fraser
The Whale"
OSCAR_BEST_ACTORS_0018,"Oscar Best Actors
Brendan Fraser
The Whale",2022
OSCAR_BEST_ACTORS_0019,"Oscar Best Actors
2020","Anthony Hopkins (2/2)
The Father"
OSCAR_BEST_ACTORS_0020,"Oscar Best Actors
Anthony Hopkins (2/2)
The Father",2020
OSCAR_BEST_ACTORS_0021,"Oscar Best Actors
1995","Nicholas Cage
Leaving Las Vegas"
OSCAR_BEST_ACTORS_0022,"Oscar Best Actors
Nicholas Cage
Leaving Las Vegas",1995
OSCAR_BEST_ACTORS_0023,"Oscar Best Actors
2000","Russell Crowe
Gladiator"
OSCAR_BEST_ACTORS_0024,"Oscar Best Actors
Russell Crowe
Gladiator",2000
OSCAR_BEST_ACTORS_0025,"Oscar Best Actors
1991","Anthony Hopkins (1/2)
The Silence of the Lambs"
OSCAR_BEST_ACTORS_0026,"Oscar Best Actors
Anthony Hopkins (1/2)
The Silence of the Lambs",1991
OSCAR_BEST_ACTORS_0027,"Oscar Best Actors
2015","Leonardo DiCaprio
The Revenant"
OSCAR_BEST_ACTORS_0028,"Oscar Best Actors
Leonardo DiCaprio
The Revenant",2015
OSCAR_BEST_ACTORS_0029,"Oscar Best Actors
2008","Sean Penn (2/2)
Milk"
OSCAR_BEST_ACTORS_0030,"Oscar Best Actors
Sean Penn (2/2)
Milk",2008
OSCAR_BEST_ACTORS_0031,"Oscar Best Actors
1984","F. Murray Abraham
Amadeus"
