OSCAR_BEST_ACTRESSES_0001,Best Actress: 2022,"Michelle Yeoh
Everything Everywhere All at Once"
OSCAR_BEST_ACTRESSES_0002,"Michelle Yeoh
Everything Everywhere All at Once",Best Actress: 2022
OSCAR_BEST_ACTRESSES_0003,Best Actress: 2004,"Hilary Swank (2/2)
Million Dollar Baby"
OSCAR_BEST_ACTRESSES_0004,"Hilary Swank (2/2)
Million Dollar Baby",Best Actress: 2004
OSCAR_BEST_ACTRESSES_0005,Best Actress: 2021,"Jessica Chastain
The Eyes of Tammy Faye"
OSCAR_BEST_ACTRESSES_0006,"Jessica Chastain
The Eyes of Tammy Faye",Best Actress: 2021
OSCAR_BEST_ACTRESSES_0007,Best Actress: 2009,"Sandra Bullock
The Blind Side"
OSCAR_BEST_ACTRESSES_0008,"Sandra Bullock
The Blind Side",Best Actress: 2009
OSCAR_BEST_ACTRESSES_0009,Best Actress: 2012,"Jennifer Lawrence
Silver Linings Playbook"
OSCAR_BEST_ACTRESSES_0010,"Jennifer Lawrence
Silver Linings Playbook",Best Actress: 2012
OSCAR_BEST_ACTRESSES_0011,Best Actress: 2003,"Charlize Theron
Monster"
OSCAR_BEST_ACTRESSES_0012,"Charlize Theron
Monster",Best Actress: 2003
OSCAR_BEST_ACTRESSES_0013,Best Actress: 2018,"Olivia Colman
The Favourite"
OSCAR_BEST_ACTRESSES_0014,"Olivia Colman
The Favourite",Best Actress: 2018
OSCAR_BEST_ACTRESSES_0015,Best Actress: 1986,"Marlee Matlin
Children of a Lesser God"
OSCAR_BEST_ACTRESSES_0016,"Marlee Matlin
Children of a Lesser God",Best Actress: 1986
OSCAR_BEST_ACTRESSES_0017,Best Actress: 2015,"Brie Larson
Room"
OSCAR_BEST_ACTRESSES_0018,"Brie Larson
Room",Best Actress: 2015
OSCAR_BEST_ACTRESSES_0019,Best Actress: 2000,"Julia Roberts
Erin Brockovich"
OSCAR_BEST_ACTRESSES_0020,"Julia Roberts
Erin Brockovich",Best Actress: 2000
OSCAR_BEST_ACTRESSES_0021,Best Actress: 1989,"Jessica Tandy
Driving Miss Daisy"
OSCAR_BEST_ACTRESSES_0022,"Jessica Tandy
Driving Miss Daisy",Best Actress: 1989
OSCAR_BEST_ACTRESSES_0023,Best Actress: 1997,"Helen Hunt
As Good as It Gets"
OSCAR_BEST_ACTRESSES_0024,"Helen Hunt
As Good as It Gets",Best Actress: 1997
OSCAR_BEST_ACTRESSES_0025,Best Actress: 2013,"Cate Blanchett
Blue Jasmine"
OSCAR_BEST_ACTRESSES_0026,"Cate Blanchett
Blue Jasmine",Best Actress: 2013
OSCAR_BEST_ACTRESSES_0027,Best Actress: 2017,"Frances McDormand (2/3)
Three Billboards Outside Ebbing, Missouri"
OSCAR_BEST_ACTRESSES_0028,"Frances McDormand (2/3)
Three Billboards Outside Ebbing, Missouri",Best Actress: 2017
OSCAR_BEST_ACTRESSES_0029,Best Actress: 2010,"Natalie Portman
Black Swan"
OSCAR_BEST_ACTRESSES_0030,"Natalie Portman
Black Swan",Best Actress: 2010
OSCAR_BEST_ACTRESSES_0031,Best Actress: 2023,"Emma Stone (2/2)
Poor Things"
OSCAR_BEST_ACTRESSES_0032,"Emma Stone (2/2)
Poor Things",Best Actress: 2023
OSCAR_BEST_ACTRESSES_0033,Best Actress: 1981,"Katharine Hepburn (4/4)
On Golden Pond"
OSCAR_BEST_ACTRESSES_0034,"Katharine Hepburn (4/4)
On Golden Pond",Best Actress: 1981
OSCAR_BEST_ACTRESSES_0035,Best Actress: 2001,"Halle Berry
Monster's Ball"
OSCAR_BEST_ACTRESSES_0036,"Halle Berry
Monster's Ball",Best Actress: 2001
OSCAR_BEST_ACTRESSES_0037,Best Actress: 1994,"Jessica Lange
Blue Sky"
OSCAR_BEST_ACTRESSES_0038,"Jessica Lange
Blue Sky",Best Actress: 1994
OSCAR_BEST_ACTRESSES_0039,Best Actress: 2019,"Renee Zellweger
Judy"
OSCAR_BEST_ACTRESSES_0040,"Renee Zellweger
Judy",Best Actress: 2019
OSCAR_BEST_ACTRESSES_0041,Best Actress: 2007,"Marion Cotillard
La Vie en Rose"
OSCAR_BEST_ACTRESSES_0042,"Marion Cotillard
La Vie en Rose",Best Actress: 2007
OSCAR_BEST_ACTRESSES_0043,Best Actress: 2005,"Reese Witherspoon
Walk the Line"
OSCAR_BEST_ACTRESSES_0044,"Reese Witherspoon
Walk the Line",Best Actress: 2005
OSCAR_BEST_ACTRESSES_0045,Best Actress: 2020,"Frances McDormand (3/3)
Nomadland"
OSCAR_BEST_ACTRESSES_0046,"Frances McDormand (3/3)
Nomadland",Best Actress: 2020
OSCAR_BEST_ACTRESSES_0047,Best Actress: 2011,"Meryl Streep (2/2)
The Iron Lady"
OSCAR_BEST_ACTRESSES_0048,"Meryl Streep (2/2)
The Iron Lady",Best Actress: 2011
OSCAR_BEST_ACTRESSES_0049,Best Actress: 2008,"Kate Winslet
The Reader"
OSCAR_BEST_ACTRESSES_0050,"Kate Winslet
The Reader",Best Actress: 2008
OSCAR_BEST_ACTRESSES_0051,Best Actress: 2006,"Helen Mirren
The Queen"
OSCAR_BEST_ACTRESSES_0052,"Helen Mirren
The Queen",Best Actress: 2006
OSCAR_BEST_ACTRESSES_0053,Best Actress: 2002,"Nicole Kidman
The Hours"
OSCAR_BEST_ACTRESSES_0054,"Nicole Kidman
The Hours",Best Actress: 2002
OSCAR_BEST_ACTRESSES_0055,Best Actress: 1995,"Susan Sarandon
Dean Man Walking"
OSCAR_BEST_ACTRESSES_0056,"Susan Sarandon
Dean Man Walking",Best Actress: 1995
OSCAR_BEST_ACTRESSES_0057,Best Actress: 1993,"Holly Hunter
The Piano"
