OSCAR_BEST_DIRECTORS_0001,"Oscar Best Directors
2024","Sean Baker
Anora"
OSCAR_BEST_DIRECTORS_0002,"Oscar Best Directors
Sean Baker
Anora",2024
OSCAR_BEST_DIRECTORS_0003,"Oscar Best Directors
2023","Christopher Nolan
Oppenheimer"
OSCAR_BEST_DIRECTORS_0004,"Oscar Best Directors
Christopher Nolan
Oppenheimer",2023
OSCAR_BEST_DIRECTORS_0005,"Oscar Best Directors
2022","Daniel Kwan & Daniel Scheinert
Everything Everywhere All at Once"
OSCAR_BEST_DIRECTORS_0006,"Oscar Best Directors
Daniel Kwan & Daniel Scheinert
Everything Everywhere All at Once",2022
OSCAR_BEST_DIRECTORS_0007,"Oscar Best Directors
2021","Jane Campion
The Power of the Dog"
OSCAR_BEST_DIRECTORS_0008,"Oscar Best Directors
Jane Campion
The Power of the Dog",2021
OSCAR_BEST_DIRECTORS_0009,"Oscar Best Directors
2020","Chloe Zhao
Nomadland"
OSCAR_BEST_DIRECTORS_0010,"Oscar Best Directors
Chloe Zhao
Nomadland",2020
OSCAR_BEST_DIRECTORS_0011,"Oscar Best Directors
2019","Bong Joon-ho
Parasite"
OSCAR_BEST_DIRECTORS_0012,"Oscar Best Directors
Bong Joon-ho
Parasite",2019
OSCAR_BEST_DIRECTORS_0013,"Oscar Best Directors
2018","Alfonso Cuaron (2/2)
Roma"
OSCAR_BEST_DIRECTORS_0014,"Oscar Best Directors
Alfonso Cuaron (2/2)
Roma",2018
OSCAR_BEST_DIRECTORS_0015,"Oscar Best Directors
2017","Guillermo del Toro
The Shape of Water"
OSCAR_BEST_DIRECTORS_0016,"Oscar Best Directors
Guillermo del Toro
The Shape of Water",2017
OSCAR_BEST_DIRECTORS_0017,"Oscar Best Directors
2016","Damien Chazelle
La La Land"
OSCAR_BEST_DIRECTORS_0018,"Oscar Best Directors
Damien Chazelle
La La Land",2016
OSCAR_BEST_DIRECTORS_0019,"Oscar Best Directors
2015","Alejandro G. Inarritu (2/2)
The Revenant"
OSCAR_BEST_DIRECTORS_0020,"Oscar Best Directors
Alejandro G. Inarritu (2/2)
The Revenant",2015
OSCAR_BEST_DIRECTORS_0021,"Oscar Best Directors
2014","Alejandro G. Inarritu (1/2)
Birdman"
OSCAR_BEST_DIRECTORS_0022,"Oscar Best Directors
Alejandro G. Inarritu (1/2)
Birdman",2014
