OSCAR_BEST_SUPPORTING_ACTORS_0001,Best Supporting Actor: 2024,"Kieran Culkin
A Real Pain"
OSCAR_BEST_SUPPORTING_ACTORS_0002,"Kieran Culkin
A Real Pain",Best Supporting Actor: 2024
OSCAR_BEST_SUPPORTING_ACTORS_0003,Best Supporting Actor: 2023,"Robert Downey Jr.
Oppenheimer"
OSCAR_BEST_SUPPORTING_ACTORS_0004,"Robert Downey Jr.
Oppenheimer",Best Supporting Actor: 2023
OSCAR_BEST_SUPPORTING_ACTORS_0005,Best Supporting Actor: 2022,"Ke Huy Quan 
Everything Everywhere All at Once"
OSCAR_BEST_SUPPORTING_ACTORS_0006,"Ke Huy Quan 
Everything Everywhere All at Once",Best Supporting Actor: 2022
OSCAR_BEST_SUPPORTING_ACTORS_0007,Best Supporting Actor: 2021,"Troy Kotsur
CODA"
OSCAR_BEST_SUPPORTING_ACTORS_0008,"Troy Kotsur
CODA",Best Supporting Actor: 2021
OSCAR_BEST_SUPPORTING_ACTORS_0009,Best Supporting Actor: 2020,"Daniel Kaluuya
Judas and the Black Messiah"
OSCAR_BEST_SUPPORTING_ACTORS_0010,"Daniel Kaluuya
Judas and the Black Messiah",Best Supporting Actor: 2020
OSCAR_BEST_SUPPORTING_ACTORS_0011,Best Supporting Actor: 2019,"Brad Pitt
Once Upon a Time in Hollywood"
OSCAR_BEST_SUPPORTING_ACTORS_0012,"Brad Pitt
Once Upon a Time in Hollywood",Best Supporting Actor: 2019
OSCAR_BEST_SUPPORTING_ACTORS_0013,Best Supporting Actor: 2018,"Mahershala Ali (2/2)
Green Book"
OSCAR_BEST_SUPPORTING_ACTORS_0014,"Mahershala Ali (2/2)
Green Book",Best Supporting Actor: 2018
OSCAR_BEST_SUPPORTING_ACTORS_0015,Best Supporting Actor: 2017,"Sam Rockwell
Three Billboards Outside Ebbing, Missouri"
OSCAR_BEST_SUPPORTING_ACTORS_0016,"Sam Rockwell
Three Billboards Outside Ebbing, Missouri",Best Supporting Actor: 2017
OSCAR_BEST_SUPPORTING_ACTORS_0017,Best Supporting Actor: 2016,"Mahershala Ali (1/2)
Moonlight"
OSCAR_BEST_SUPPORTING_ACTORS_0018,"Mahershala Ali (1/2)
Moonlight",Best Supporting Actor: 2016
OSCAR_BEST_SUPPORTING_ACTORS_0019,Best Supporting Actor: 2015,"Mark Rylance
Bridge of Spies"
OSCAR_BEST_SUPPORTING_ACTORS_0020,"Mark Rylance
Bridge of Spies",Best Supporting Actor: 2015
OSCAR_BEST_SUPPORTING_ACTORS_0021,Best Supporting Actor: 2025,"Sean Penn
One Battle After Another"
OSCAR_BEST_SUPPORTING_ACTORS_0022,"Sean Penn
One Battle After Another",Best Supporting Actor: 2025
