OSCAR_BEST_SUPPORTING_ACTRESSES_0001,Best Supporting Actress: 2024,"Zoe Saldaña
Emilia Pérez"
OSCAR_BEST_SUPPORTING_ACTRESSES_0002,"Zoe Saldaña
Emilia Pérez",Best Supporting Actress: 2024
OSCAR_BEST_SUPPORTING_ACTRESSES_0003,Best Supporting Actress: 2023,"Da'Vine Joy Randolph
The Holdovers"
OSCAR_BEST_SUPPORTING_ACTRESSES_0004,"Da'Vine Joy Randolph
The Holdovers",Best Supporting Actress: 2023
OSCAR_BEST_SUPPORTING_ACTRESSES_0005,Best Supporting Actress: 2022,"Jamie Lee Curtis
Everything Everywhere All at Once"
OSCAR_BEST_SUPPORTING_ACTRESSES_0006,"Jamie Lee Curtis
Everything Everywhere All at Once",Best Supporting Actress: 2022
OSCAR_BEST_SUPPORTING_ACTRESSES_0007,Best Supporting Actress: 2021,"Ariana DeBose
West Side Story"
OSCAR_BEST_SUPPORTING_ACTRESSES_0008,"Ariana DeBose
West Side Story",Best Supporting Actress: 2021
OSCAR_BEST_SUPPORTING_ACTRESSES_0009,Best Supporting Actress: 2020,"Yuh-jung Youn
Minari"
OSCAR_BEST_SUPPORTING_ACTRESSES_0010,"Yuh-jung Youn
Minari",Best Supporting Actress: 2020
OSCAR_BEST_SUPPORTING_ACTRESSES_0011,Best Supporting Actress: 2019,"Laura Dern
Marriage Story"
OSCAR_BEST_SUPPORTING_ACTRESSES_0012,"Laura Dern
Marriage Story",Best Supporting Actress: 2019
OSCAR_BEST_SUPPORTING_ACTRESSES_0013,Best Supporting Actress: 2018,"Regina King
If Beale Street Could Talk"
OSCAR_BEST_SUPPORTING_ACTRESSES_0014,"Regina King
If Beale Street Could Talk",Best Supporting Actress: 2018
OSCAR_BEST_SUPPORTING_ACTRESSES_0015,Best Supporting Actress: 2017,"Allison Janney
I, Tonya"
OSCAR_BEST_SUPPORTING_ACTRESSES_0016,"Allison Janney
I, Tonya",Best Supporting Actress: 2017
OSCAR_BEST_SUPPORTING_ACTRESSES_0017,Best Supporting Actress: 2016,"Viola Davis
Fences"
OSCAR_BEST_SUPPORTING_ACTRESSES_0018,"Viola Davis
Fences",Best Supporting Actress: 2016
OSCAR_BEST_SUPPORTING_ACTRESSES_0019,Best Supporting Actress: 2015,"Alicia Vikander
The Danish Girl"
OSCAR_BEST_SUPPORTING_ACTRESSES_0020,"Alicia Vikander
The Danish Girl",Best Supporting Actress: 2015
OSCAR_BEST_SUPPORTING_ACTRESSES_0021,Best Supporting Actress: 2025,"Amy Madigan
Weapons"
OSCAR_BEST_SUPPORTING_ACTRESSES_0022,"Amy Madigan
Weapons",Best Supporting Actress: 2025
