PRESIDENTS_AFFILIATIONS_BIRTHPLACES_0001,"George Washington
1789-1797","Affiliation: Virginia (1/5)
Birthplace: Virginia (1/8)"
PRESIDENTS_AFFILIATIONS_BIRTHPLACES_0002,"Affiliation: Virginia (1/5)
Birthplace: Virginia (1/8)","George Washington
1789-1797"
PRESIDENTS_AFFILIATIONS_BIRTHPLACES_0003,"John Adams
1797-1801","Affiliation: Massachusetts (1/4)
Birthplace: Massachusetts (1/4)"
PRESIDENTS_AFFILIATIONS_BIRTHPLACES_0004,"Affiliation: Massachusetts (1/4)
Birthplace: Massachusetts (1/4)","John Adams
1797-1801"
PRESIDENTS_AFFILIATIONS_BIRTHPLACES_0005,"Thomas Jefferson
1801-1809","Affiliation: Virginia (2/5)
Birthplace: Virginia (2/8)"
PRESIDENTS_AFFILIATIONS_BIRTHPLACES_0006,"Affiliation: Virginia (2/5)
Birthplace: Virginia (2/8)","Thomas Jefferson
1801-1809"
PRESIDENTS_AFFILIATIONS_BIRTHPLACES_0007,"James Madison
1809-1817","Affiliation: Virginia (3/5)
Birthplace: Virginia (3/8)"
PRESIDENTS_AFFILIATIONS_BIRTHPLACES_0008,"Affiliation: Virginia (3/5)
Birthplace: Virginia (3/8)","James Madison
1809-1817"
PRESIDENTS_AFFILIATIONS_BIRTHPLACES_0009,"James Monroe
1817-1825","Affiliation: Virginia (4/5)
Birthplace: Virginia (4/8)"
PRESIDENTS_AFFILIATIONS_BIRTHPLACES_0010,"Affiliation: Virginia (4/5)
Birthplace: Virginia (4/8)","James Monroe
1817-1825"
PRESIDENTS_AFFILIATIONS_BIRTHPLACES_0011,"John Quincy Adams
1825-1829","Affiliation: Massachusetts (2/4)
Birthplace: Massachusetts (2/4)"
PRESIDENTS_AFFILIATIONS_BIRTHPLACES_0012,"Affiliation: Massachusetts (2/4)
Birthplace: Massachusetts (2/4)","John Quincy Adams
1825-1829"
PRESIDENTS_AFFILIATIONS_BIRTHPLACES_0013,"Andrew Jackson
1829-1837","Affiliation: Tennessee (1/3)
Birthplace: South Carolina (1/1)"
PRESIDENTS_AFFILIATIONS_BIRTHPLACES_0014,"Affiliation: Tennessee (1/3)
Birthplace: South Carolina (1/1)","Andrew Jackson
1829-1837"
