SHAKESPEARE_WORKS_0001,"Shakespeare Works
Tragedy
1606-1607",Antony and Cleopatra
SHAKESPEARE_WORKS_0002,"Shakespeare Works
Antony and Cleopatra","Tragedy
1606-1607"
SHAKESPEARE_WORKS_0003,"Shakespeare Works
Tragedy
1607-1608 (1/2)",Coriolanus
SHAKESPEARE_WORKS_0004,"Shakespeare Works
Coriolanus","Tragedy
1607-1608 (1/2)"
SHAKESPEARE_WORKS_0005,"Shakespeare Works
Tragedy
1600-1601",Hamlet
SHAKESPEARE_WORKS_0006,"Shakespeare Works
Hamlet","Tragedy
1600-1601"
SHAKESPEARE_WORKS_0007,"Shakespeare Works
Tragedy
1599-1600",Julius Caesar
SHAKESPEARE_WORKS_0008,"Shakespeare Works
Julius Caesar","Tragedy
1599-1600"
SHAKESPEARE_WORKS_0009,"Shakespeare Works
Tragedy
1605-1606 (1/2)",King Lear
SHAKESPEARE_WORKS_0010,"Shakespeare Works
King Lear","Tragedy
1605-1606 (1/2)"
SHAKESPEARE_WORKS_0011,"Shakespeare Works
Tragedy
1605-1606 (2/2)",Macbeth
SHAKESPEARE_WORKS_0012,"Shakespeare Works
Macbeth","Tragedy
1605-1606 (2/2)"
SHAKESPEARE_WORKS_0013,"Shakespeare Works
Tragedy
1604-1605",Othello
SHAKESPEARE_WORKS_0014,"Shakespeare Works
Othello","Tragedy
1604-1605"
SHAKESPEARE_WORKS_0015,"Shakespeare Works
Tragedy
1594-1595",Romeo and Juliet
SHAKESPEARE_WORKS_0016,"Shakespeare Works
Romeo and Juliet","Tragedy
1594-1595"
SHAKESPEARE_WORKS_0017,"Shakespeare Works
Tragedy
1607-1608 (2/2)",Timon of Athens
SHAKESPEARE_WORKS_0018,"Shakespeare Works
Timon of Athens","Tragedy
1607-1608 (2/2)"
SHAKESPEARE_WORKS_0019,"Shakespeare Works
Tragedy
1593-1594",Titus Andronicus
SHAKESPEARE_WORKS_0020,"Shakespeare Works
Titus Andronicus","Tragedy
1593-1594"
SHAKESPEARE_WORKS_0021,"Shakespeare Works
Tragedy
1601-1602",Troilus and Cressida
SHAKESPEARE_WORKS_0022,"Shakespeare Works
Troilus and Cressida","Tragedy
1601-1602"
SHAKESPEARE_WORKS_0023,"Shakespeare Works
Comedy
1602-1603",All's Well That Ends Well
SHAKESPEARE_WORKS_0024,"Shakespeare Works
All's Well That Ends Well","Comedy
1602-1603"
SHAKESPEARE_WORKS_0025,"Shakespeare Works
Comedy
1599-1600 (1/2)",As You Like It
SHAKESPEARE_WORKS_0026,"Shakespeare Works
As You Like It","Comedy
1599-1600 (1/2)"
SHAKESPEARE_WORKS_0027,"Shakespeare Works
Comedy
1592-1593",The Comedy of Errors
SHAKESPEARE_WORKS_0028,"Shakespeare Works
The Comedy of Errors","Comedy
1592-1593"
SHAKESPEARE_WORKS_0029,"Shakespeare Works
Comedy
1609-1610",Cymbeline
SHAKESPEARE_WORKS_0030,"Shakespeare Works
Cymbeline","Comedy
1609-1610"
SHAKESPEARE_WORKS_0031,"Shakespeare Works
Comedy
1594-1595 (1/2)",Love's Labours Lost
SHAKESPEARE_WORKS_0032,"Shakespeare Works
Love's Labours Lost","Comedy
1594-1595 (1/2)"
SHAKESPEARE_WORKS_0033,"Shakespeare Works
Comedy
1604-1605",Measure for Measure
SHAKESPEARE_WORKS_0034,"Shakespeare Works
Measure for Measure","Comedy
1604-1605"
SHAKESPEARE_WORKS_0035,"Shakespeare Works
Comedy
1596-1597",The Merchant of Venice
SHAKESPEARE_WORKS_0036,"Shakespeare Works
The Merchant of Venice","Comedy
1596-1597"
SHAKESPEARE_WORKS_0037,"Shakespeare Works
Comedy
1600-1601",The Merry Wives of Windsor
SHAKESPEARE_WORKS_0038,"Shakespeare Works
The Merry Wives of Windsor","Comedy
1600-1601"
