SNL_CAST_MEMBERS_0001,"3 Years
1990-1993",Chris Rock
SNL_CAST_MEMBERS_0002,Chris Rock,"3 Years
1990-1993"
SNL_CAST_MEMBERS_0003,"8 Years
2014-2022",Pete Davidson
SNL_CAST_MEMBERS_0004,Pete Davidson,"8 Years
2014-2022"
SNL_CAST_MEMBERS_0005,"6 Years
2010-2016","Jay Pharoah "
SNL_CAST_MEMBERS_0006,"Jay Pharoah ","6 Years
2010-2016"
SNL_CAST_MEMBERS_0007,"23 Years
2003-Present",Keenan Thompson
SNL_CAST_MEMBERS_0008,Keenan Thompson,"23 Years
2003-Present"
SNL_CAST_MEMBERS_0009,"11 Years
2002-2013","Fred Armisen "
SNL_CAST_MEMBERS_0010,"Fred Armisen ","11 Years
2002-2013"
SNL_CAST_MEMBERS_0011,"10 Years
2012-2022",Aidy Bryant
SNL_CAST_MEMBERS_0012,Aidy Bryant,"10 Years
2012-2022"
SNL_CAST_MEMBERS_0013,"5 Years
1985-1990",Jon Lovitz
SNL_CAST_MEMBERS_0014,Jon Lovitz,"5 Years
1985-1990"
SNL_CAST_MEMBERS_0015,"5 Years
1993-1998","Norm Macdonald "
SNL_CAST_MEMBERS_0016,"Norm Macdonald ","5 Years
1993-1998"
SNL_CAST_MEMBERS_0017,"4 Years
1975-1979
(Not Dan Aykroyd)",John Belushi
SNL_CAST_MEMBERS_0018,John Belushi,"4 Years
1975-1979
(Not Dan Aykroyd)"
SNL_CAST_MEMBERS_0019,"4 Years
1980-1984",Eddie Murphy
SNL_CAST_MEMBERS_0020,Eddie Murphy,"4 Years
1980-1984"
SNL_CAST_MEMBERS_0021,"4 Years
1990-1994","Rob Schneider "
SNL_CAST_MEMBERS_0022,"Rob Schneider ","4 Years
1990-1994"
SNL_CAST_MEMBERS_0023,"13 Years
2001-2014",Seth Meyers
SNL_CAST_MEMBERS_0024,Seth Meyers,"13 Years
2001-2014"
SNL_CAST_MEMBERS_0025,"12 Years
2014-Present
(Not Colin Jost)",Michael Che
SNL_CAST_MEMBERS_0026,Michael Che,"12 Years
2014-Present
(Not Colin Jost)"
SNL_CAST_MEMBERS_0027,"11 Years
1977-1980, 1986, 1988-1995",Al Franken
SNL_CAST_MEMBERS_0028,Al Franken,"11 Years
1977-1980, 1986, 1988-1995"
SNL_CAST_MEMBERS_0029,"9 Years
2000-2007",Maya Rudolph
SNL_CAST_MEMBERS_0030,Maya Rudolph,"9 Years
2000-2007"
SNL_CAST_MEMBERS_0031,"7 Years
1996-2003",Tracy Morgan
SNL_CAST_MEMBERS_0032,Tracy Morgan,"7 Years
1996-2003"
SNL_CAST_MEMBERS_0033,"5 Years
1991-1995","Adam Sandler "
SNL_CAST_MEMBERS_0034,"Adam Sandler ","5 Years
1991-1995"
SNL_CAST_MEMBERS_0035,"13 Years
2014-Present
(Not Michael Che)",Colin Jost
SNL_CAST_MEMBERS_0036,Colin Jost,"13 Years
2014-Present
(Not Michael Che)"
SNL_CAST_MEMBERS_0037,"10 Years
1991-2000",Tim Meadows
SNL_CAST_MEMBERS_0038,Tim Meadows,"10 Years
1991-2000"
SNL_CAST_MEMBERS_0039,"8 Years
2013-2021",Beck Bennett
SNL_CAST_MEMBERS_0040,Beck Bennett,"8 Years
2013-2021"
SNL_CAST_MEMBERS_0041,"8 Years
1998-2006","Horatio Sanz "
SNL_CAST_MEMBERS_0042,"Horatio Sanz ","8 Years
1998-2006"
SNL_CAST_MEMBERS_0043,"7 Years
2005-2012
(Not Andy Samberg)","Kristen Wiig "
SNL_CAST_MEMBERS_0044,"Kristen Wiig ","7 Years
2005-2012
(Not Andy Samberg)"
SNL_CAST_MEMBERS_0045,"5 Years
1990-1995",Chris Farley
SNL_CAST_MEMBERS_0046,Chris Farley,"5 Years
1990-1995"
SNL_CAST_MEMBERS_0047,"4 Years
1975-1979
(Not John Belushi)",Dan Aykroyd
SNL_CAST_MEMBERS_0048,Dan Aykroyd,"4 Years
1975-1979
(Not John Belushi)"
SNL_CAST_MEMBERS_0049,"2 Years
1975-1976","Chevy Chase "
SNL_CAST_MEMBERS_0050,"Chevy Chase ","2 Years
1975-1976"
SNL_CAST_MEMBERS_0051,"1 Year
1984-1985
(Not Martin Short)","Billy Crystal "
SNL_CAST_MEMBERS_0052,"Billy Crystal ","1 Year
1984-1985
(Not Martin Short)"
SNL_CAST_MEMBERS_0053,"1 Year
1985-1986
(Not Robert Downey Jr.)",Joan Cusack
SNL_CAST_MEMBERS_0054,Joan Cusack,"1 Year
1985-1986
(Not Robert Downey Jr.)"
SNL_CAST_MEMBERS_0055,"1 Year 
1985-1986
(Not Joan Cusack)",Robert Downey Jr.
SNL_CAST_MEMBERS_0056,Robert Downey Jr.,"1 Year 
1985-1986
(Not Joan Cusack)"
SNL_CAST_MEMBERS_0057,"14 Years
1995-2009","Darrell Hammond "
SNL_CAST_MEMBERS_0058,"Darrell Hammond ","14 Years
1995-2009"
SNL_CAST_MEMBERS_0059,"11 Years
2012-2022
(Not Cecily Strong)",Kate McKinnon
SNL_CAST_MEMBERS_0060,Kate McKinnon,"11 Years
2012-2022
(Not Cecily Strong)"
SNL_CAST_MEMBERS_0061,"8 Years
2002-2010",Will Forte
SNL_CAST_MEMBERS_0062,Will Forte,"8 Years
2002-2010"
SNL_CAST_MEMBERS_0063,"5 Years
1975-1980",Gilda Radner
SNL_CAST_MEMBERS_0064,Gilda Radner,"5 Years
1975-1980"
SNL_CAST_MEMBERS_0065,"3 Years
1982-1985",Julia Louis-Dreyfus
SNL_CAST_MEMBERS_0066,Julia Louis-Dreyfus,"3 Years
1982-1985"
SNL_CAST_MEMBERS_0067,"1 Year
1989","Ben Stiller "
SNL_CAST_MEMBERS_0068,"Ben Stiller ","1 Year
1989"
SNL_CAST_MEMBERS_0069,"10 Years
2016-Present",Mikey Day
SNL_CAST_MEMBERS_0070,Mikey Day,"10 Years
2016-Present"
SNL_CAST_MEMBERS_0071,"7 Years
1986-1993",Dana Carvey
SNL_CAST_MEMBERS_0072,Dana Carvey,"7 Years
1986-1993"
SNL_CAST_MEMBERS_0073,"6 Years
2000-2006",Tina Fey
SNL_CAST_MEMBERS_0074,Tina Fey,"6 Years
2000-2006"
SNL_CAST_MEMBERS_0075,"1 Year 
1993-1994","Sarah Silverman "
SNL_CAST_MEMBERS_0076,"Sarah Silverman ","1 Year 
1993-1994"
SNL_CAST_MEMBERS_0077,"9 Years
2013-2022",Kyle Mooney
SNL_CAST_MEMBERS_0078,Kyle Mooney,"9 Years
2013-2022"
SNL_CAST_MEMBERS_0079,"9 Years
2008-2017","Bobby Moynihan "
SNL_CAST_MEMBERS_0080,"Bobby Moynihan ","9 Years
2008-2017"
SNL_CAST_MEMBERS_0081,"6 Years
1990-1996",David Spade
SNL_CAST_MEMBERS_0082,David Spade,"6 Years
1990-1996"
SNL_CAST_MEMBERS_0083,"1 Year
1984-1985
(Not Billy Crystal)",Martin Short
SNL_CAST_MEMBERS_0084,Martin Short,"1 Year
1984-1985
(Not Billy Crystal)"
SNL_CAST_MEMBERS_0085,"8 Years
2001-2008",Amy Poehler
SNL_CAST_MEMBERS_0086,Amy Poehler,"8 Years
2001-2008"
SNL_CAST_MEMBERS_0087,"7 Years
2005-2012
(Not Kristen Wiig)",Andy Samberg
SNL_CAST_MEMBERS_0088,Andy Samberg,"7 Years
2005-2012
(Not Kristen Wiig)"
SNL_CAST_MEMBERS_0089,"11 Years
2012-2022
(Not Kate McKinnon)","Cecily Strong "
SNL_CAST_MEMBERS_0090,"Cecily Strong ","11 Years
2012-2022
(Not Kate McKinnon)"
SNL_CAST_MEMBERS_0091,"8 Years
2005-2013",Bill Hader
SNL_CAST_MEMBERS_0092,Bill Hader,"8 Years
2005-2013"
SNL_CAST_MEMBERS_0093,"8 Years
1996-2003",Chris Kattan
SNL_CAST_MEMBERS_0094,Chris Kattan,"8 Years
1996-2003"
SNL_CAST_MEMBERS_0095,"6 Years
1998-2004",Jimmy Fallon
SNL_CAST_MEMBERS_0096,Jimmy Fallon,"6 Years
1998-2004"
SNL_CAST_MEMBERS_0097,"9 Years
1986-1995",Kevin Nealon
SNL_CAST_MEMBERS_0098,Kevin Nealon,"9 Years
1986-1995"
SNL_CAST_MEMBERS_0099,"8 Years
1998-2001, 2002-2006",Chris Parnell
SNL_CAST_MEMBERS_0100,Chris Parnell,"8 Years
1998-2001, 2002-2006"
SNL_CAST_MEMBERS_0101,"7 Years
1995-2002",Will Ferrell
SNL_CAST_MEMBERS_0102,Will Ferrell,"7 Years
1995-2002"
SNL_CAST_MEMBERS_0103,"9 Years
2005-2013",Jason Sudekis
SNL_CAST_MEMBERS_0104,Jason Sudekis,"9 Years
2005-2013"
SNL_CAST_MEMBERS_0105,"7 Years
1999-2006",Rachel Dratch
SNL_CAST_MEMBERS_0106,Rachel Dratch,"7 Years
1999-2006"
SNL_CAST_MEMBERS_0107,"7 Years
1995-2001",Molly Shannon
SNL_CAST_MEMBERS_0108,Molly Shannon,"7 Years
1995-2001"
SNL_CAST_MEMBERS_0109,"8 Years
1986-1994",Phil Hartman
SNL_CAST_MEMBERS_0110,Phil Hartman,"8 Years
1986-1994"
SNL_CAST_MEMBERS_0111,"7 Years
1989-1995",Mike Myers
SNL_CAST_MEMBERS_0112,Mike Myers,"7 Years
1989-1995"
SNL_CAST_MEMBERS_0113,"4 Years
1977-1980",Bill Murray
SNL_CAST_MEMBERS_0114,Bill Murray,"4 Years
1977-1980"
