UN_SECRETARIES_GENERAL_0001,"UN Secretaries-General
1946-1952","Trygve Lie
Norway"
UN_SECRETARIES_GENERAL_0002,"UN Secretaries-General
Trygve Lie
Norway",1946-1952
UN_SECRETARIES_GENERAL_0003,"UN Secretaries-General
1953-1961","Dag Hammarskjold
Sweden"
UN_SECRETARIES_GENERAL_0004,"UN Secretaries-General
Dag Hammarskjold
Sweden",1953-1961
UN_SECRETARIES_GENERAL_0005,"UN Secretaries-General
1961-1971","U Thant
Myanmar"
UN_SECRETARIES_GENERAL_0006,"UN Secretaries-General
U Thant
Myanmar",1961-1971
UN_SECRETARIES_GENERAL_0007,"UN Secretaries-General
1972-1981","Kurt Waldheim
Austria"
UN_SECRETARIES_GENERAL_0008,"UN Secretaries-General
Kurt Waldheim
Austria",1972-1981
UN_SECRETARIES_GENERAL_0009,"UN Secretaries-General
1982-1991","Javier Perez de Cuellar
Peru"
UN_SECRETARIES_GENERAL_0010,"UN Secretaries-General
Javier Perez de Cuellar
Peru",1982-1991
UN_SECRETARIES_GENERAL_0011,"UN Secretaries-General
1992-1996","Boutros Boutros-Ghali
Egypt"
UN_SECRETARIES_GENERAL_0012,"UN Secretaries-General
Boutros Boutros-Ghali
Egypt",1992-1996
UN_SECRETARIES_GENERAL_0013,"UN Secretaries-General
1997-2006","Kofi Annan
Ghana"
UN_SECRETARIES_GENERAL_0014,"UN Secretaries-General
Kofi Annan
Ghana",1997-2006
UN_SECRETARIES_GENERAL_0015,"UN Secretaries-General
2007-2016","Ban Ki-moon
Republic of Korea"
UN_SECRETARIES_GENERAL_0016,"UN Secretaries-General
Ban Ki-moon
Republic of Korea",2007-2016
UN_SECRETARIES_GENERAL_0017,"UN Secretaries-General
2017-Present","Antonio Guterres
Portugal"
UN_SECRETARIES_GENERAL_0018,"UN Secretaries-General
Antonio Guterres
Portugal",2017-Present
