US_MOST_POPULOUS_CITIES__2020_CENSUS__0001,"Most Populous US Cities (2020 Census)
New York City, NY",#1 · 8.8 million
US_MOST_POPULOUS_CITIES__2020_CENSUS__0002,"Most Populous US Cities (2020 Census)
#1","New York City, NY · 8.8 million"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0003,"Most Populous US Cities (2020 Census)
Los Angeles, CA",#2 · 3.9 million
US_MOST_POPULOUS_CITIES__2020_CENSUS__0004,"Most Populous US Cities (2020 Census)
#2","Los Angeles, CA · 3.9 million"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0005,"Most Populous US Cities (2020 Census)
Chicago, IL",#3 · 2.7 million
US_MOST_POPULOUS_CITIES__2020_CENSUS__0006,"Most Populous US Cities (2020 Census)
#3","Chicago, IL · 2.7 million"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0007,"Most Populous US Cities (2020 Census)
Houston, TX",#4 · 2.3 million
US_MOST_POPULOUS_CITIES__2020_CENSUS__0008,"Most Populous US Cities (2020 Census)
#4","Houston, TX · 2.3 million"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0009,"Most Populous US Cities (2020 Census)
Phoenix, AZ",#5 · 1.6 million
US_MOST_POPULOUS_CITIES__2020_CENSUS__0010,"Most Populous US Cities (2020 Census)
#5","Phoenix, AZ · 1.6 million"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0011,"Most Populous US Cities (2020 Census)
Philadelphia, PA",#6 · 1.6 million
US_MOST_POPULOUS_CITIES__2020_CENSUS__0012,"Most Populous US Cities (2020 Census)
#6","Philadelphia, PA · 1.6 million"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0013,"Most Populous US Cities (2020 Census)
San Antonio, TX",#7 · 1.4 million
US_MOST_POPULOUS_CITIES__2020_CENSUS__0014,"Most Populous US Cities (2020 Census)
#7","San Antonio, TX · 1.4 million"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0015,"Most Populous US Cities (2020 Census)
San Diego, CA",#8 · 1.4 million
US_MOST_POPULOUS_CITIES__2020_CENSUS__0016,"Most Populous US Cities (2020 Census)
#8","San Diego, CA · 1.4 million"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0017,"Most Populous US Cities (2020 Census)
Dallas, TX",#9 · 1.3 million
US_MOST_POPULOUS_CITIES__2020_CENSUS__0018,"Most Populous US Cities (2020 Census)
#9","Dallas, TX · 1.3 million"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0019,"Most Populous US Cities (2020 Census)
San Jose, CA",#10 · 1.0 million
US_MOST_POPULOUS_CITIES__2020_CENSUS__0020,"Most Populous US Cities (2020 Census)
#10","San Jose, CA · 1.0 million"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0021,"Most Populous US Cities (2020 Census)
Austin, TX","#11 · 960,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0022,"Most Populous US Cities (2020 Census)
#11","Austin, TX · 960,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0023,"Most Populous US Cities (2020 Census)
Jacksonville, FL","#12 · 950,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0024,"Most Populous US Cities (2020 Census)
#12","Jacksonville, FL · 950,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0025,"Most Populous US Cities (2020 Census)
Fort Worth, TX","#13 · 920,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0026,"Most Populous US Cities (2020 Census)
#13","Fort Worth, TX · 920,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0027,"Most Populous US Cities (2020 Census)
Columbus, OH","#14 · 910,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0028,"Most Populous US Cities (2020 Census)
#14","Columbus, OH · 910,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0029,"Most Populous US Cities (2020 Census)
Indianapolis, IN","#15 · 890,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0030,"Most Populous US Cities (2020 Census)
#15","Indianapolis, IN · 890,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0031,"Most Populous US Cities (2020 Census)
Charlotte, NC","#16 · 870,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0032,"Most Populous US Cities (2020 Census)
#16","Charlotte, NC · 870,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0033,"Most Populous US Cities (2020 Census)
San Francisco, CA","#17 · 870,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0034,"Most Populous US Cities (2020 Census)
#17","San Francisco, CA · 870,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0035,"Most Populous US Cities (2020 Census)
Seattle, WA","#18 · 740,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0036,"Most Populous US Cities (2020 Census)
#18","Seattle, WA · 740,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0037,"Most Populous US Cities (2020 Census)
Denver, CO","#19 · 720,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0038,"Most Populous US Cities (2020 Census)
#19","Denver, CO · 720,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0039,"Most Populous US Cities (2020 Census)
Washington, DC","#20 · 690,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0040,"Most Populous US Cities (2020 Census)
#20","Washington, DC · 690,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0041,"Most Populous US Cities (2020 Census)
Nashville, TN","#21 · 690,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0042,"Most Populous US Cities (2020 Census)
#21","Nashville, TN · 690,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0043,"Most Populous US Cities (2020 Census)
Oklahoma City, OK","#22 · 680,000"
US_MOST_POPULOUS_CITIES__2020_CENSUS__0044,"Most Populous US Cities (2020 Census)
#22","Oklahoma City, OK · 680,000"
