US_NATIONAL_PARKS_0001,"US National Parks
North Carolina, Tennessee
13m visitors (1st)",Great Smoky Mountains
US_NATIONAL_PARKS_0002,"US National Parks
Arizona (1/3)
4.7m visitors (2nd)",Grand Canyon
US_NATIONAL_PARKS_0003,"US National Parks
Utah (1/5)
4.7m visitors (3rd)",Zion
US_NATIONAL_PARKS_0004,"US National Parks
Colorado (1/4)
4.3m visitors (4th)",Rocky Mountain
US_NATIONAL_PARKS_0005,"US National Parks
Maine
4m visitors (5th)",Acadia
US_NATIONAL_PARKS_0006,"US National Parks
California (1/9)
3.7m visitors (6th)",Yosemite
US_NATIONAL_PARKS_0007,"US National Parks
Wyoming (1/2), Montana (1/2), Idaho
3.3m visitors (7th)",Yellowstone
US_NATIONAL_PARKS_0008,"US National Parks
California (2/9)
3.1m voters (8th)",Joshua Tree
US_NATIONAL_PARKS_0009,"US National Parks
Ohio
2.9m visitors (9th)",Cuyahoga Valley
US_NATIONAL_PARKS_0010,"US National Parks
Montana (2/2)
2.9m visitors (10th)",Glacier
US_NATIONAL_PARKS_0011,"US National Parks
Indiana
2.8m visitors (11th)",Indiana Dunes
US_NATIONAL_PARKS_0012,"US National Parks
Wyoming (2/2)
2.8m visitors (12th)",Grand Teton
US_NATIONAL_PARKS_0013,"US National Parks
Arkansas
2.6m visitors (13th)",Hot Springs
US_NATIONAL_PARKS_0014,"US National Parks
Washington (1/3)
2.4m visitors (14th)",Olympic
US_NATIONAL_PARKS_0015,"US National Parks
Utah (2/5)
2.4m visitors (15th)",Bryce Canyon
US_NATIONAL_PARKS_0016,"US National Parks
Washington (2/3)
1.6m visitors (16th)",Mount Rainier
US_NATIONAL_PARKS_0017,"US National Parks
Missouri
1.6m visitors (17th)",Gateway Arch
US_NATIONAL_PARKS_0018,"US National Parks
West Virginia
1.6m visitors (18th)",New River Gorge
US_NATIONAL_PARKS_0019,"US National Parks
Hawaii (1/2)
1.6m visitors (19th)",Hawai'i Volcanoes
US_NATIONAL_PARKS_0020,"US National Parks
Utah (3/5)
1.5m visitors (20th)",Arches
US_NATIONAL_PARKS_0021,"US National Parks
Virginia
1.4m visitors (21st)",Shenandoah
US_NATIONAL_PARKS_0022,"US National Parks
Utah (4/5)
1.2m visitors (22nd)",Capitol Reef
US_NATIONAL_PARKS_0023,"US National Parks
Florida (1/3)
1.2m visitors (23rd)",Everglades
US_NATIONAL_PARKS_0024,"US National Parks
California (3/9)
1.2m visitors (24th)",Sequoia
US_NATIONAL_PARKS_0025,"US National Parks
California (4/9), Nevada (1/2)
1.1m visitors (25th)",Death Valley
US_NATIONAL_PARKS_0026,"US National Parks
Hawaii (2/2)
1.1m visitors (26th)",Haleakala
US_NATIONAL_PARKS_0027,"US National Parks
South Dakota (1/2)
1m visitors (27th)",Badlands
US_NATIONAL_PARKS_0028,"US National Parks
Arizona (2/3)
900k visitors (28th)",Saguaro
US_NATIONAL_PARKS_0029,"US National Parks
Utah (5/5)
800k visitors (29th)",Canyonlands
US_NATIONAL_PARKS_0030,"US National Parks
New Mexico (1/2)
700k visitors (30th)",White Sands
US_NATIONAL_PARKS_0031,"US National Parks
Florida (2/3)
700k visitors (31st)",Biscayne
US_NATIONAL_PARKS_0032,"US National Parks
North Dakota
700k visitors (32nd)",Theodore Roosevelt
US_NATIONAL_PARKS_0033,"US National Parks
Kentucky
700k visitors (34rd)",Mammoth Cave
US_NATIONAL_PARKS_0034,"US National Parks
California (5/9)
600k visitors (34th)",Kings Canyon
US_NATIONAL_PARKS_0035,"US National Parks
South Dakota (2/2)
600k visitors (35th)",Wind Cave
US_NATIONAL_PARKS_0036,"US National Parks
Alaska (1/8)
500k visitors (36th)",Glacier Bay
US_NATIONAL_PARKS_0037,"US National Parks
Oregon
500k visitors (37th)",Crater Lake
US_NATIONAL_PARKS_0038,"US National Parks
Texas (1/2)
500k visitors (38th)",Big Bend
US_NATIONAL_PARKS_0039,"US National Parks
Arizona (3/3)
500k visitors (39th)",Petrified Forest
US_NATIONAL_PARKS_0040,"US National Parks
Colorado (2/4)
500k visitors (40th)",Mesa Verde
US_NATIONAL_PARKS_0041,"US National Parks
Colorado (3/4)
500k visitors (41st)",Great Sand Dunes
US_NATIONAL_PARKS_0042,"US National Parks
California (6/9)
500k visitors (42nd)",Redwood
US_NATIONAL_PARKS_0043,"US National Parks
California (7/9)
400k visitors (43rd)",Lassen Volcanic
US_NATIONAL_PARKS_0044,"US National Parks
Alaska (2/8)
400k visitors (44th)",Denali (Mount McKinley)
US_NATIONAL_PARKS_0045,"US National Parks
New Mexico (2/2)
400k visitors (45th)",Carlsbad Caverns
US_NATIONAL_PARKS_0046,"US National Parks
Alaska (3/8)
400k visitors (46th)",Kenai Fjords
US_NATIONAL_PARKS_0047,"US National Parks
California (8/9)
300k visitors (47th)",Channel Islands
US_NATIONAL_PARKS_0048,"US National Parks
Colorado (4/4)
300k visitors (48th)",Black Canyon of the Gunnison
US_NATIONAL_PARKS_0049,"US National Parks
California (9/9)
300k visitors (48th)",Pinnacles
US_NATIONAL_PARKS_0050,"US National Parks
Minnesota
200k visitors (50th)",Voyageurs
US_NATIONAL_PARKS_0051,"US National Parks
Texas (2/2)
200k visitors (51st)",Guadalupe Mountains
US_NATIONAL_PARKS_0052,"US National Parks
South Carolina
200k visitors (52nd)",Congaree
US_NATIONAL_PARKS_0053,"US National Parks
US Virgin Islands
200k visitors (53rd)",Virgin Islands
US_NATIONAL_PARKS_0054,"US National Parks
Nevada (2/2)
100k visitors (54th)",Great Basin
US_NATIONAL_PARKS_0055,"US National Parks
Florida (3/3)
80k visitors (55th)",Dry Tortugas
US_NATIONAL_PARKS_0056,"US National Parks
Alaska (4/8)
70k visitors (56th)",Wrangell-St. Elias
US_NATIONAL_PARKS_0057,"US National Parks
Alaska (5/8)
30k visitors (57th)",Katmai
US_NATIONAL_PARKS_0058,"US National Parks
Washington (3/3)
30k visitors (58th)",North Cascades
US_NATIONAL_PARKS_0059,"US National Parks
Michigan
30k visitors (59th)",Isle Royale
US_NATIONAL_PARKS_0060,"US National Parks
Alaska (6/8)
20k visitors (60th)",Lake Clark
