US_STATE_NICKNAMES_0001,Alabama (2) [Nickname],"The Yellowhammer State
The Cotton State"
US_STATE_NICKNAMES_0002,"The Yellowhammer State
The Cotton State",Alabama (2)
US_STATE_NICKNAMES_0003,Alaska [Nickname],The Last Frontier
US_STATE_NICKNAMES_0004,The Last Frontier,Alaska
US_STATE_NICKNAMES_0005,Arizona [Nickname],The Grand Canyon State
US_STATE_NICKNAMES_0006,The Grand Canyon State,Arizona
US_STATE_NICKNAMES_0007,Arkansas [Nickname],The Natural State
US_STATE_NICKNAMES_0008,The Natural State,Arkansas
US_STATE_NICKNAMES_0009,California [Nickname],The Golden State
US_STATE_NICKNAMES_0010,The Golden State,California
US_STATE_NICKNAMES_0011,Colorado [Nickname],The Centennial State
US_STATE_NICKNAMES_0012,The Centennial State,Colorado
US_STATE_NICKNAMES_0013,Connecticut (2) [Nickname],"The Constitution State
The Nutmeg State"
US_STATE_NICKNAMES_0014,"The Constitution State
The Nutmeg State",Connecticut (2)
US_STATE_NICKNAMES_0015,Delaware (2) [Nickname],"The First State
The Diamond State"
US_STATE_NICKNAMES_0016,"The First State
The Diamond State",Delaware (2)
US_STATE_NICKNAMES_0017,Florida [Nickname],The Sunshine State
US_STATE_NICKNAMES_0018,The Sunshine State,Florida
US_STATE_NICKNAMES_0019,Georgia (2) [Nickname],"The Peach State
The Empire State of the South"
US_STATE_NICKNAMES_0020,"The Peach State
The Empire State of the South",Georgia (2)
US_STATE_NICKNAMES_0021,Hawaii [Nickname],The Aloha State
US_STATE_NICKNAMES_0022,The Aloha State,Hawaii
US_STATE_NICKNAMES_0023,Idaho [Nickname],The Gem State
US_STATE_NICKNAMES_0024,The Gem State,Idaho
US_STATE_NICKNAMES_0025,Illinois (2) [Nickname],"The Prairie State
The Land of Lincoln"
US_STATE_NICKNAMES_0026,"The Prairie State
The Land of Lincoln",Illinois (2)
US_STATE_NICKNAMES_0027,Indiana [Nickname],The Hoosier State
US_STATE_NICKNAMES_0028,The Hoosier State,Indiana
US_STATE_NICKNAMES_0029,Iowa (2) [Nickname],"The Hawkeye State
The Corn State"
US_STATE_NICKNAMES_0030,"The Hawkeye State
The Corn State",Iowa (2)
US_STATE_NICKNAMES_0031,Kansas (2) [Nickname],"The Sunflower State
The Jayhawker State"
US_STATE_NICKNAMES_0032,"The Sunflower State
The Jayhawker State",Kansas (2)
US_STATE_NICKNAMES_0033,Kentucky [Nickname],The Bluegrass State
US_STATE_NICKNAMES_0034,The Bluegrass State,Kentucky
US_STATE_NICKNAMES_0035,Louisiana (3) [Nickname],"The Pelican State
The Creole State
The Sugar State"
US_STATE_NICKNAMES_0036,"The Pelican State
The Creole State
The Sugar State",Louisiana (3)
US_STATE_NICKNAMES_0037,Maine [Nickname],The Pine Tree State
US_STATE_NICKNAMES_0038,The Pine Tree State,Maine
US_STATE_NICKNAMES_0039,Maryland (2) [Nickname],"The Old Line State
The Free State"
US_STATE_NICKNAMES_0040,"The Old Line State
The Free State",Maryland (2)
US_STATE_NICKNAMES_0041,Massachusetts (2) [Nickname],"The Bay State
The Old Colony State"
US_STATE_NICKNAMES_0042,"The Bay State
The Old Colony State",Massachusetts (2)
US_STATE_NICKNAMES_0043,Michigan (2) [Nickname],"The Great Lake State
The Wolverine State"
US_STATE_NICKNAMES_0044,"The Great Lake State
The Wolverine State",Michigan (2)
US_STATE_NICKNAMES_0045,Minnesota (4) [Nickname],"The North Star State
The Gopher State
The Land of 10,000 Lakes
The Land of Sky-Blue Waters"
US_STATE_NICKNAMES_0046,"The North Star State
The Gopher State
The Land of 10,000 Lakes
The Land of Sky-Blue Waters",Minnesota (4)
US_STATE_NICKNAMES_0047,Mississippi [Nickname],The Magnolia State
US_STATE_NICKNAMES_0048,The Magnolia State,Mississippi
US_STATE_NICKNAMES_0049,Missouri [Nickname],The Show Me State
US_STATE_NICKNAMES_0050,The Show Me State,Missouri
US_STATE_NICKNAMES_0051,Montana (2) [Nickname],"The Treasure State
Big Sky Country"
US_STATE_NICKNAMES_0052,"The Treasure State
Big Sky Country",Montana (2)
US_STATE_NICKNAMES_0053,Nebraska (2) [Nickname],"The Cornhusker State
The Beef State"
US_STATE_NICKNAMES_0054,"The Cornhusker State
The Beef State",Nebraska (2)
US_STATE_NICKNAMES_0055,Nevada (3) [Nickname],"The Silver State
The Sagebrush State
The Battle Born State"
US_STATE_NICKNAMES_0056,"The Silver State
The Sagebrush State
The Battle Born State",Nevada (3)
US_STATE_NICKNAMES_0057,New Hampshire [Nickname],The Granite State
US_STATE_NICKNAMES_0058,The Granite State,New Hampshire
US_STATE_NICKNAMES_0059,New Jersey [Nickname],The Garden State
US_STATE_NICKNAMES_0060,The Garden State,New Jersey
US_STATE_NICKNAMES_0061,North Carolina (2) [Nickname],"The Tar Heel State
The Old North State"
US_STATE_NICKNAMES_0062,"The Tar Heel State
The Old North State",North Carolina (2)
