US_STATE_TERRITORY_CAPITALS_0001,Indiana,Indianapolis
US_STATE_TERRITORY_CAPITALS_0002,Indianapolis,Indiana
US_STATE_TERRITORY_CAPITALS_0003,Texas,Austin
US_STATE_TERRITORY_CAPITALS_0004,Austin,Texas
US_STATE_TERRITORY_CAPITALS_0005,Oklahoma,Oklahoma City
US_STATE_TERRITORY_CAPITALS_0006,Oklahoma City,Oklahoma
US_STATE_TERRITORY_CAPITALS_0007,Massachusetts,Boston
US_STATE_TERRITORY_CAPITALS_0008,Boston,Massachusetts
US_STATE_TERRITORY_CAPITALS_0009,Alaska,Juneau
US_STATE_TERRITORY_CAPITALS_0010,Juneau,Alaska
US_STATE_TERRITORY_CAPITALS_0011,Colorado,Denver
US_STATE_TERRITORY_CAPITALS_0012,Denver,Colorado
US_STATE_TERRITORY_CAPITALS_0013,Hawaii,Honolulu
US_STATE_TERRITORY_CAPITALS_0014,Honolulu,Hawaii
US_STATE_TERRITORY_CAPITALS_0015,Ohio,Columbus
US_STATE_TERRITORY_CAPITALS_0016,Columbus,Ohio
US_STATE_TERRITORY_CAPITALS_0017,Illinois,Springfield
US_STATE_TERRITORY_CAPITALS_0018,Springfield,Illinois
US_STATE_TERRITORY_CAPITALS_0019,Arkansas,Little Rock
US_STATE_TERRITORY_CAPITALS_0020,Little Rock,Arkansas
US_STATE_TERRITORY_CAPITALS_0021,Georgia,Atlanta
US_STATE_TERRITORY_CAPITALS_0022,Atlanta,Georgia
US_STATE_TERRITORY_CAPITALS_0023,Minnesota,Saint Paul
US_STATE_TERRITORY_CAPITALS_0024,Saint Paul,Minnesota
US_STATE_TERRITORY_CAPITALS_0025,Tennessee,Nashville
US_STATE_TERRITORY_CAPITALS_0026,Nashville,Tennessee
US_STATE_TERRITORY_CAPITALS_0027,New York,Albany
US_STATE_TERRITORY_CAPITALS_0028,Albany,New York
US_STATE_TERRITORY_CAPITALS_0029,Nevada,Carson City
US_STATE_TERRITORY_CAPITALS_0030,Carson City,Nevada
US_STATE_TERRITORY_CAPITALS_0031,North Carolina,Raleigh
US_STATE_TERRITORY_CAPITALS_0032,Raleigh,North Carolina
US_STATE_TERRITORY_CAPITALS_0033,West Virginia,Charleston
US_STATE_TERRITORY_CAPITALS_0034,Charleston,West Virginia
US_STATE_TERRITORY_CAPITALS_0035,Wyoming,Cheyenne
US_STATE_TERRITORY_CAPITALS_0036,Cheyenne,Wyoming
US_STATE_TERRITORY_CAPITALS_0037,Maine,Augusta
US_STATE_TERRITORY_CAPITALS_0038,Augusta,Maine
US_STATE_TERRITORY_CAPITALS_0039,California,Sacramento
US_STATE_TERRITORY_CAPITALS_0040,Sacramento,California
