US_STATES___POPULATION_EC_VOTES_0001,"US State Populations/Electoral College Votes
California","#1 - 40 million
Electoral Votes: 54"
US_STATES___POPULATION_EC_VOTES_0002,"US State Populations/Electoral College Votes
#1 - 40 million
Electoral Votes: 54",California
US_STATES___POPULATION_EC_VOTES_0003,"US State Populations/Electoral College Votes
Texas","#2 - 29 million
Electoral Votes: 40"
US_STATES___POPULATION_EC_VOTES_0004,"US State Populations/Electoral College Votes
#2 - 29 million
Electoral Votes: 40",Texas
US_STATES___POPULATION_EC_VOTES_0005,"US State Populations/Electoral College Votes
Florida","#3 - 22 million
Electoral Votes: 30"
US_STATES___POPULATION_EC_VOTES_0006,"US State Populations/Electoral College Votes
#3 - 22 million
Electoral Votes: 30",Florida
US_STATES___POPULATION_EC_VOTES_0007,"US State Populations/Electoral College Votes
New York","#4 - 20 million
Electoral Votes: 28"
US_STATES___POPULATION_EC_VOTES_0008,"US State Populations/Electoral College Votes
#4 - 20 million
Electoral Votes: 28",New York
US_STATES___POPULATION_EC_VOTES_0009,"US State Populations/Electoral College Votes
Pennsylvania","#5 - 13 million
Electoral Votes: 19"
US_STATES___POPULATION_EC_VOTES_0010,"US State Populations/Electoral College Votes
#5 - 13 million
Electoral Votes: 19",Pennsylvania
US_STATES___POPULATION_EC_VOTES_0011,"US State Populations/Electoral College Votes
Illinois","#6 - 13 million
Electoral Votes: 19"
US_STATES___POPULATION_EC_VOTES_0012,"US State Populations/Electoral College Votes
#6 - 13 million
Electoral Votes: 19",Illinois
US_STATES___POPULATION_EC_VOTES_0013,"US State Populations/Electoral College Votes
Ohio","#7 - 12 million
Electoral Votes: 17"
US_STATES___POPULATION_EC_VOTES_0014,"US State Populations/Electoral College Votes
#7 - 12 million
Electoral Votes: 17",Ohio
US_STATES___POPULATION_EC_VOTES_0015,"US State Populations/Electoral College Votes
Georgia","#8 - 11 million
Electoral Votes: 16"
US_STATES___POPULATION_EC_VOTES_0016,"US State Populations/Electoral College Votes
#8 - 11 million
Electoral Votes: 16",Georgia
US_STATES___POPULATION_EC_VOTES_0017,"US State Populations/Electoral College Votes
North Carolina","#9 - 10 million
Electoral Votes: 16"
US_STATES___POPULATION_EC_VOTES_0018,"US State Populations/Electoral College Votes
#9 - 10 million
Electoral Votes: 16",North Carolina
US_STATES___POPULATION_EC_VOTES_0019,"US State Populations/Electoral College Votes
Michigan","#10 - 10 million
Electoral Votes: 15"
US_STATES___POPULATION_EC_VOTES_0020,"US State Populations/Electoral College Votes
#10 - 10 million
Electoral Votes: 15",Michigan
US_STATES___POPULATION_EC_VOTES_0021,"US State Populations/Electoral College Votes
New Jersey","#11 - 9 million
Electoral Votes: 14"
US_STATES___POPULATION_EC_VOTES_0022,"US State Populations/Electoral College Votes
#11 - 9 million
Electoral Votes: 14",New Jersey
US_STATES___POPULATION_EC_VOTES_0023,"US State Populations/Electoral College Votes
Virginia","#12 - 9 million
Electoral Votes: 13"
US_STATES___POPULATION_EC_VOTES_0024,"US State Populations/Electoral College Votes
#12 - 9 million
Electoral Votes: 13",Virginia
US_STATES___POPULATION_EC_VOTES_0025,"US State Populations/Electoral College Votes
Washington","#13 - 8 million
Electoral Votes: 12"
US_STATES___POPULATION_EC_VOTES_0026,"US State Populations/Electoral College Votes
#13 - 8 million
Electoral Votes: 12",Washington
US_STATES___POPULATION_EC_VOTES_0027,"US State Populations/Electoral College Votes
Arizona","#14 - 7 million
Electoral Votes: 11"
US_STATES___POPULATION_EC_VOTES_0028,"US State Populations/Electoral College Votes
#14 - 7 million
Electoral Votes: 11",Arizona
US_STATES___POPULATION_EC_VOTES_0029,"US State Populations/Electoral College Votes
Massachusetts","#15 - 7 million
Electoral Votes: 11"
US_STATES___POPULATION_EC_VOTES_0030,"US State Populations/Electoral College Votes
#15 - 7 million
Electoral Votes: 11",Massachusetts
US_STATES___POPULATION_EC_VOTES_0031,"US State Populations/Electoral College Votes
Tennessee","#16 - 7 million
Electoral Votes: 11"
US_STATES___POPULATION_EC_VOTES_0032,"US State Populations/Electoral College Votes
#16 - 7 million
Electoral Votes: 11",Tennessee
US_STATES___POPULATION_EC_VOTES_0033,"US State Populations/Electoral College Votes
Indiana","#17 - 7 million
Electoral Votes: 11"
US_STATES___POPULATION_EC_VOTES_0034,"US State Populations/Electoral College Votes
#17 - 7 million
Electoral Votes: 11",Indiana
US_STATES___POPULATION_EC_VOTES_0035,"US State Populations/Electoral College Votes
Maryland","#18 - 6 million
Electoral Votes: 10"
US_STATES___POPULATION_EC_VOTES_0036,"US State Populations/Electoral College Votes
#18 - 6 million
Electoral Votes: 10",Maryland
US_STATES___POPULATION_EC_VOTES_0037,"US State Populations/Electoral College Votes
Missouri","#19 - 6 million
Electoral Votes: 10"
US_STATES___POPULATION_EC_VOTES_0038,"US State Populations/Electoral College Votes
#19 - 6 million
Electoral Votes: 10",Missouri
US_STATES___POPULATION_EC_VOTES_0039,"US State Populations/Electoral College Votes
Wisconsin","#20 - 6 million
Electoral Votes: 10"
US_STATES___POPULATION_EC_VOTES_0040,"US State Populations/Electoral College Votes
#20 - 6 million
Electoral Votes: 10",Wisconsin
US_STATES___POPULATION_EC_VOTES_0041,"US State Populations/Electoral College Votes
Colorado","#21 - 6 million
Electoral Votes: 10"
US_STATES___POPULATION_EC_VOTES_0042,"US State Populations/Electoral College Votes
#21 - 6 million
Electoral Votes: 10",Colorado
US_STATES___POPULATION_EC_VOTES_0043,"US State Populations/Electoral College Votes
Minnesota","#22 - 6 million
Electoral Votes: 10"
US_STATES___POPULATION_EC_VOTES_0044,"US State Populations/Electoral College Votes
#22 - 6 million
Electoral Votes: 10",Minnesota
US_STATES___POPULATION_EC_VOTES_0045,"US State Populations/Electoral College Votes
South Carolina","#23 - 5 million
Electoral Votes: 9"
US_STATES___POPULATION_EC_VOTES_0046,"US State Populations/Electoral College Votes
#23 - 5 million
Electoral Votes: 9",South Carolina
US_STATES___POPULATION_EC_VOTES_0047,"US State Populations/Electoral College Votes
Alabama","#24 - 5 million
Electoral Votes: 9"
US_STATES___POPULATION_EC_VOTES_0048,"US State Populations/Electoral College Votes
#24 - 5 million
Electoral Votes: 9",Alabama
US_STATES___POPULATION_EC_VOTES_0049,"US State Populations/Electoral College Votes
Louisiana","#25 - 5 million
Electoral Votes: 8"
US_STATES___POPULATION_EC_VOTES_0050,"US State Populations/Electoral College Votes
#25 - 5 million
Electoral Votes: 8",Louisiana
US_STATES___POPULATION_EC_VOTES_0051,"US State Populations/Electoral College Votes
Kentucky","#26 - 5 million
Electoral Votes: 8"
US_STATES___POPULATION_EC_VOTES_0052,"US State Populations/Electoral College Votes
#26 - 5 million
Electoral Votes: 8",Kentucky
US_STATES___POPULATION_EC_VOTES_0053,"US State Populations/Electoral College Votes
Oregon","#27 - 4 million
Electoral Votes: 8"
US_STATES___POPULATION_EC_VOTES_0054,"US State Populations/Electoral College Votes
#27 - 4 million
Electoral Votes: 8",Oregon
US_STATES___POPULATION_EC_VOTES_0055,"US State Populations/Electoral College Votes
Oklahoma","#28 - 4 million
Electoral Votes: 7"
US_STATES___POPULATION_EC_VOTES_0056,"US State Populations/Electoral College Votes
#28 - 4 million
Electoral Votes: 7",Oklahoma
US_STATES___POPULATION_EC_VOTES_0057,"US State Populations/Electoral College Votes
Connecticut","#29 - 4 million
Electoral Votes: 7"
US_STATES___POPULATION_EC_VOTES_0058,"US State Populations/Electoral College Votes
#29 - 4 million
Electoral Votes: 7",Connecticut
US_STATES___POPULATION_EC_VOTES_0059,"US State Populations/Electoral College Votes
Utah","#30 - 3 million
Electoral Votes: 6"
US_STATES___POPULATION_EC_VOTES_0060,"US State Populations/Electoral College Votes
#30 - 3 million
Electoral Votes: 6",Utah
US_STATES___POPULATION_EC_VOTES_0061,"US State Populations/Electoral College Votes
Iowa","#31 - 3 million
Electoral Votes: 6"
US_STATES___POPULATION_EC_VOTES_0062,"US State Populations/Electoral College Votes
#31 - 3 million
Electoral Votes: 6",Iowa
US_STATES___POPULATION_EC_VOTES_0063,"US State Populations/Electoral College Votes
Nevada","#32 - 3 million
Electoral Votes: 6"
US_STATES___POPULATION_EC_VOTES_0064,"US State Populations/Electoral College Votes
#32 - 3 million
Electoral Votes: 6",Nevada
US_STATES___POPULATION_EC_VOTES_0065,"US State Populations/Electoral College Votes
Arkansas","#33 - 3 million
Electoral Votes: 6"
US_STATES___POPULATION_EC_VOTES_0066,"US State Populations/Electoral College Votes
#33 - 3 million
Electoral Votes: 6",Arkansas
US_STATES___POPULATION_EC_VOTES_0067,"US State Populations/Electoral College Votes
Mississippi","#34 - 3 million
Electoral Votes: 6"
US_STATES___POPULATION_EC_VOTES_0068,"US State Populations/Electoral College Votes
#34 - 3 million
Electoral Votes: 6",Mississippi
US_STATES___POPULATION_EC_VOTES_0069,"US State Populations/Electoral College Votes
Kansas","#35 - 3 million
Electoral Votes: 6"
US_STATES___POPULATION_EC_VOTES_0070,"US State Populations/Electoral College Votes
#35 - 3 million
Electoral Votes: 6",Kansas
US_STATES___POPULATION_EC_VOTES_0071,"US State Populations/Electoral College Votes
New Mexico","#36 - 2 million
Electoral Votes: 5"
US_STATES___POPULATION_EC_VOTES_0072,"US State Populations/Electoral College Votes
#36 - 2 million
Electoral Votes: 5",New Mexico
US_STATES___POPULATION_EC_VOTES_0073,"US State Populations/Electoral College Votes
Nebraska","#37 - 2 million
Electoral Votes: 5"
US_STATES___POPULATION_EC_VOTES_0074,"US State Populations/Electoral College Votes
#37 - 2 million
Electoral Votes: 5",Nebraska
US_STATES___POPULATION_EC_VOTES_0075,"US State Populations/Electoral College Votes
Idaho","#38 - 2 million
Electoral Votes: 4"
US_STATES___POPULATION_EC_VOTES_0076,"US State Populations/Electoral College Votes
#38 - 2 million
Electoral Votes: 4",Idaho
US_STATES___POPULATION_EC_VOTES_0077,"US State Populations/Electoral College Votes
West Virginia","#39 - 2 million
Electoral Votes: 4"
US_STATES___POPULATION_EC_VOTES_0078,"US State Populations/Electoral College Votes
#39 - 2 million
Electoral Votes: 4",West Virginia
US_STATES___POPULATION_EC_VOTES_0079,"US State Populations/Electoral College Votes
Hawaii","#40 - 1 million
Electoral Votes: 4"
US_STATES___POPULATION_EC_VOTES_0080,"US State Populations/Electoral College Votes
#40 - 1 million
Electoral Votes: 4",Hawaii
US_STATES___POPULATION_EC_VOTES_0081,"US State Populations/Electoral College Votes
New Hampshire","#41 - 1 million
Electoral Votes: 4"
US_STATES___POPULATION_EC_VOTES_0082,"US State Populations/Electoral College Votes
#41 - 1 million
Electoral Votes: 4",New Hampshire
US_STATES___POPULATION_EC_VOTES_0083,"US State Populations/Electoral College Votes
Maine","#42 - 1 million
Electoral Votes: 4"
US_STATES___POPULATION_EC_VOTES_0084,"US State Populations/Electoral College Votes
#42 - 1 million
Electoral Votes: 4",Maine
US_STATES___POPULATION_EC_VOTES_0085,"US State Populations/Electoral College Votes
Rhode Island","#43 - 1 million
Electoral Votes: 4"
US_STATES___POPULATION_EC_VOTES_0086,"US State Populations/Electoral College Votes
#43 - 1 million
Electoral Votes: 4",Rhode Island
US_STATES___POPULATION_EC_VOTES_0087,"US State Populations/Electoral College Votes
Montana","#44 - 1 million
Electoral Votes: 4"
US_STATES___POPULATION_EC_VOTES_0088,"US State Populations/Electoral College Votes
#44 - 1 million
Electoral Votes: 4",Montana
US_STATES___POPULATION_EC_VOTES_0089,"US State Populations/Electoral College Votes
Delaware","#45 - 1 million
Electoral Votes: 3"
US_STATES___POPULATION_EC_VOTES_0090,"US State Populations/Electoral College Votes
#45 - 1 million
Electoral Votes: 3",Delaware
