"Year End: 2024
Release Year: 2023","Lose Control
Teddy Swims"
"Lose Control
Teddy Swims","Year End: 2024
Release Year: 2023"
"Year End: 2023
Release Year: 2023","Last Night
Morgan Wallen"
"Last Night
Morgan Wallen","Year End: 2023
Release Year: 2023"
"Year End: 2022
Release Year: 2020","Heat Waves
Glass Animals"
"Heat Waves
Glass Animals","Year End: 2022
Release Year: 2020"
"Year End: 2021
Release Year: 2020","Levitating
Dua Lipa"
"Levitating
Dua Lipa","Year End: 2021
Release Year: 2020"
"Year End: 2020
Release Year: 2019","Blinding Lights
The Weeknd"
"Blinding Lights
The Weeknd","Year End: 2020
Release Year: 2019"
"Year End: 2019
Release Year: 2018","Old Town Road
Lil Nas X (feat. Billy Ray Cyrus)"
"Old Town Road
Lil Nas X (feat. Billy Ray Cyrus)","Year End: 2019
Release Year: 2018"
"Year End: 2018
Release Year: 2018","God's Plan
Drake"
"God's Plan
Drake","Year End: 2018
Release Year: 2018"
"Year End: 2017
Release Year: 2017","Shape of You
Ed Sheeran"
"Shape of You
Ed Sheeran","Year End: 2017
Release Year: 2017"
"Year End: 2016
Release Year: 2015","Love Yourself
Justin Bieber"
"Love Yourself
Justin Bieber","Year End: 2016
Release Year: 2015"
"Year End: 2015
Release Year: 2014","Uptown Funk
Mark Ronson (feat. Bruno Mars)"
"Uptown Funk
Mark Ronson (feat. Bruno Mars)","Year End: 2015
Release Year: 2014"
"Year End: 2014
Release Year: 2013","Happy
Pharrell Williams"
"Happy
Pharrell Williams","Year End: 2014
Release Year: 2013"
"Year End: 2013
Release Year: 2012","Thrift Shop
Macklemore & Ryan Lewis (feat. Wanz)"
"Thrift Shop
Macklemore & Ryan Lewis (feat. Wanz)","Year End: 2013
Release Year: 2012"
"Year End: 2012
Release Year: 2011","Somebody That I Used To Know
Gotye (feat. Kimbra)"
"Somebody That I Used To Know
Gotye (feat. Kimbra)","Year End: 2012
Release Year: 2011"
"Year End: 2011
Release Year: 2010","Rolling in the Deep
Adele"
"Rolling in the Deep
Adele","Year End: 2011
Release Year: 2010"
"Year End: 2010
Release Year: 2009","Tik Tok
Ke$ha"
"Tik Tok
Ke$ha","Year End: 2010
Release Year: 2009"
"Year End: 2009
Release Year: 2009","Boom Boom Pow
The Black Eyes Peas"
"Boom Boom Pow
The Black Eyes Peas","Year End: 2009
Release Year: 2009"
"Year End: 2008
Release Year: 2007","Low
Flo Rida (feat. T-Pain)"
"Low
Flo Rida (feat. T-Pain)","Year End: 2008
Release Year: 2007"
"Year End: 2007
Release Year: 2006","Irreplaceable
Beyonce"
"Irreplaceable
Beyonce","Year End: 2007
Release Year: 2006"
"Year End: 2006
Release Year: 2005","Bad Day
Daniel Powter"
"Bad Day
Daniel Powter","Year End: 2006
Release Year: 2005"
"Year End: 2005
Release Year: 2005","We Belong Together
Mariah Carey"
"We Belong Together
Mariah Carey","Year End: 2005
Release Year: 2005"
"Year End: 2004
Release Year: 2004","Yeah!
Usher (feat. Lil Jon, Ludacris)"
"Yeah!
Usher (feat. Lil Jon, Ludacris)","Year End: 2004
Release Year: 2004"
"Year End: 2003
Release Year: 2003","In Da Club
50 Cent"
"In Da Club
50 Cent","Year End: 2003
Release Year: 2003"
"Year End: 2002
Release Year: 2001","How You Remind Me
Nickelback"
"How You Remind Me
Nickelback","Year End: 2002
Release Year: 2001"
"Year End: 2001
Release Year: 2000","Hanging by a Moment
Lifehouse"
"Hanging by a Moment
Lifehouse","Year End: 2001
Release Year: 2000"
"Year End: 2000
Release Year: 1999","Breathe
Faith Hill"
"Breathe
Faith Hill","Year End: 2000
Release Year: 1999"
"Year End: 2025
Release Year: 2024","Die with a Smile
Lady Gaga and Bruno Mars"
"Die with a Smile
Lady Gaga and Bruno Mars","Year End: 2025
Release Year: 2024"
