2024,"Kieran Culkin
A Real Pain"
"Kieran Culkin
A Real Pain",2024
2023,"Robert Downey Jr.
Oppenheimer"
"Robert Downey Jr.
Oppenheimer",2023
2022,"Ke Huy Quan 
Everything Everywhere All at Once"
"Ke Huy Quan 
Everything Everywhere All at Once",2022
2021,"Troy Kotsur
CODA"
"Troy Kotsur
CODA",2021
2020,"Daniel Kaluuya
Judas and the Black Messiah"
"Daniel Kaluuya
Judas and the Black Messiah",2020
2019,"Brad Pitt
Once Upon a Time in Hollywood"
"Brad Pitt
Once Upon a Time in Hollywood",2019
2018,"Mahershala Ali (2/2)
Green Book"
"Mahershala Ali (2/2)
Green Book",2018
2017,"Sam Rockwell
Three Billboards Outside Ebbing, Missouri"
"Sam Rockwell
Three Billboards Outside Ebbing, Missouri",2017
2016,"Mahershala Ali (1/2)
Moonlight"
"Mahershala Ali (1/2)
Moonlight",2016
2015,"Mark Rylance
Bridge of Spies"
"Mark Rylance
Bridge of Spies",2015
2025,"Sean Penn
One Battle After Another"
"Sean Penn
One Battle After Another",2025
