2024,"Zoe Saldaña
Emilia Pérez"
"Zoe Saldaña
Emilia Pérez",2024
2023,"Da'Vine Joy Randolph
The Holdovers"
"Da'Vine Joy Randolph
The Holdovers",2023
2022,"Jamie Lee Curtis
Everything Everywhere All at Once"
"Jamie Lee Curtis
Everything Everywhere All at Once",2022
2021,"Ariana DeBose
West Side Story"
"Ariana DeBose
West Side Story",2021
2020,"Yuh-jung Youn
Minari"
"Yuh-jung Youn
Minari",2020
2019,"Laura Dern
Marriage Story"
"Laura Dern
Marriage Story",2019
2018,"Regina King
If Beale Street Could Talk"
"Regina King
If Beale Street Could Talk",2018
2017,"Allison Janney
I, Tonya"
"Allison Janney
I, Tonya",2017
2016,"Viola Davis
Fences"
"Viola Davis
Fences",2016
2015,"Alicia Vikander
The Danish Girl"
"Alicia Vikander
The Danish Girl",2015
2025,"Amy Madigan
Weapons"
"Amy Madigan
Weapons",2025
