Western Australia (WA) [State],Perth
Perth,Western Australia (WA) [State]
Australian Capital Territory (ACT) [Territory],Canberra
Canberra,Australian Capital Territory (ACT) [Territory]
New South Wales (NSW) [State],Sydney
Sydney,New South Wales (NSW) [State]
South Australia (SA) [State],Adelaide
Adelaide,South Australia (SA) [State]
Queensland (QLD) [State],Brisbane
Brisbane,Queensland (QLD) [State]
Victoria (VIC) [State],Melbourne
Melbourne,Victoria (VIC) [State]
Tasmania (TAS) [State],Hobart
Hobart,Tasmania (TAS) [State]
Northern Territory (NT) [Territory],Darwin
Darwin,Northern Territory (NT) [Territory]
