King Edward VIII,"1936-1936
Windsor"
"1936-1936
Windsor",King Edward VIII
King George VI,"1936-1952
Windsor"
"1936-1952
Windsor",King George VI
King William IV,"1830-1837
Hanover"
"1830-1837
Hanover",King William IV
Queen Anne,"1707-1714
Stuart"
"1707-1714
Stuart",Queen Anne
King George II,"1727-1760
Hanover"
"1727-1760
Hanover",King George II
King George IV,"1820-1830
Hanover"
"1820-1830
Hanover",King George IV
Queen Elizabeth II,"1952-2022
Windsor"
"1952-2022
Windsor",Queen Elizabeth II
King Charles III,"2022-Present
Windsor"
"2022-Present
Windsor",King Charles III
Queen Victoria,"1837-1901
Hanover"
"1837-1901
Hanover",Queen Victoria
King George III,"1760-1820
Hanover"
"1760-1820
Hanover",King George III
King Edward VII,"1901-1910
Saxe-Coburg and Gotha"
"1901-1910
Saxe-Coburg and Gotha",King Edward VII
King George I,"1714-1727
Hanover"
"1714-1727
Hanover",King George I
King George V,"1910-1936
Windsor"
"1910-1936
Windsor",King George V
