"#3 - 11,200 Shows
1997-Present",The Lion King
The Lion King,"#3 - 11,200 Shows
1997-Present"
"#1 - 13,981 Shows
1988-2023",The Phantom of the Opera
The Phantom of the Opera,"#1 - 13,981 Shows
1988-2023"
"#2 - 11,600 Shows
1996-Present",Chicago (1996 Revival)
Chicago (1996 Revival),"#2 - 11,600 Shows
1996-Present"
"#4 - 8,800 Shows
2003-Present",Wicked
Wicked,"#4 - 8,800 Shows
2003-Present"
"#5 - 7,485 Shows
1982-2000",Cats
Cats,"#5 - 7,485 Shows
1982-2000"
"#6 - 6,680 Shows
1987-2003",Les Miserables
Les Miserables,"#6 - 6,680 Shows
1987-2003"
"#7 - 6,137 Shows
1975-1990",A Chorus Line 
A Chorus Line ,"#7 - 6,137 Shows
1975-1990"
"#8 - 5,959 Shows
1976-1989",Oh! Calcutta! (1976 Revival)
Oh! Calcutta! (1976 Revival),"#8 - 5,959 Shows
1976-1989"
"#9 - 5,758 Shows
2001-2015",Mama Mia!
Mama Mia!,"#9 - 5,758 Shows
2001-2015"
"#11 - 5,462 Shows
1994-2007",Beauty and the Beast
Beauty and the Beast,"#11 - 5,462 Shows
1994-2007"
"#12 - 5,100 Shows
1996-2008",Rent
Rent,"#12 - 5,100 Shows
1996-2008"
"#10 - 5,600 Shows
2011-Present",The Book of Mormon 
The Book of Mormon ,"#10 - 5,600 Shows
2011-Present"
"#13 - 4,600 Shows
2005-2017",Jersey Boys
Jersey Boys,"#13 - 4,600 Shows
2005-2017"
"#15 - 4,100 Shows
1991-2001",Miss Saigon
Miss Saigon,"#15 - 4,100 Shows
1991-2001"
"#14 - 4,400 Shows
2014-Present",Aladdin
Aladdin,"#14 - 4,400 Shows
2014-Present"
"#17 - 3,500 Shows
1980-1989",42nd Street
42nd Street,"#17 - 3,500 Shows
1980-1989"
"#18 - 3,400 Shows
1972-1980",Grease
Grease,"#18 - 3,400 Shows
1972-1980"
"#16 - 3,800 Shows
2015-Present",Hamilton
Hamilton,"#16 - 3,800 Shows
2015-Present"
"#19 - 3,200 Shows
1964-1972",Fiddler on the Roof
Fiddler on the Roof,"#19 - 3,200 Shows
1964-1972"
"#20 - 3,200 Shows 
1939-1947",Life with Father
Life with Father,"#20 - 3,200 Shows 
1939-1947"
