Hydrogen,"H
1"
"H
1",Hydrogen
Helium,"He
2"
"He
2",Helium
Lithium,"Li
3"
"Li
3",Lithium
Beryllium,"Be
4"
"Be
4",Beryllium
Boron,"B
5"
"B
5",Boron
Carbon,"C
6"
"C
6",Carbon
Nitrogen,"N
7"
"N
7",Nitrogen
Oxygen,"O
8"
"O
8",Oxygen
Fluorine,"F
9"
"F
9",Fluorine
Neon,"Ne
10"
"Ne
10",Neon
Sodium,"Na
11"
"Na
11",Sodium
Magnesium,"Mg
12"
"Mg
12",Magnesium
Aluminum,"Al
13"
"Al
13",Aluminum
Silicon,"Si
14"
"Si
14",Silicon
Phosphorus,"P
15"
"P
15",Phosphorus
Sulfur,"S
16"
"S
16",Sulfur
Chlorine,"Cl
17"
"Cl
17",Chlorine
Argon,"Ar 
18"
"Ar 
18",Argon
Potassium,"K
19"
"K
19",Potassium
Calcium,"Ca
20"
"Ca
20",Calcium
Scandium,"Sc
21"
"Sc
21",Scandium
Titanium,"Ti 
22"
"Ti 
22",Titanium
Vanadium,"V
23"
"V
23",Vanadium
Chromium,"Cr
24"
"Cr
24",Chromium
Manganese,"Mn 
25"
"Mn 
25",Manganese
Iron,"Fe
26"
"Fe
26",Iron
Cobalt,"Co
27"
"Co
27",Cobalt
Nickel,"Ni
28"
"Ni
28",Nickel
Copper,"Cu
29"
"Cu
29",Copper
Zinc,"Zn
30"
"Zn
30",Zinc
Gallium,"Ga
31"
"Ga
31",Gallium
Germanium,"Ge 
32"
"Ge 
32",Germanium
Arsenic,"As
33"
"As
33",Arsenic
Selenium,"Se
34"
"Se
34",Selenium
Bromine,"Br
35"
"Br
35",Bromine
Krypton,"Kr 
36"
"Kr 
36",Krypton
Rubidium,"Rb
37"
"Rb
37",Rubidium
Strontium,"Sr 
38"
"Sr 
38",Strontium
Yttrium,"Y
39"
"Y
39",Yttrium
Zirconium,"Zr
40"
"Zr
40",Zirconium
Niobium,"Nb 
41"
"Nb 
41",Niobium
Molybdenum,"Mo
42"
"Mo
42",Molybdenum
Technetium,"Tc
43"
"Tc
43",Technetium
Ruthenium,"Ru
44"
"Ru
44",Ruthenium
Rhodium,"Rh
45"
"Rh
45",Rhodium
Palladium,"Pd
46"
"Pd
46",Palladium
Silver,"Ag
47"
"Ag
47",Silver
Cadmium,"Cd
48"
"Cd
48",Cadmium
Indium,"In
49"
"In
49",Indium
Tin,"Sn
50"
"Sn
50",Tin
Antinomy,"Sb
51"
"Sb
51",Antinomy
Tellurium,"Te
52"
"Te
52",Tellurium
Iodine,"I
53"
"I
53",Iodine
Xenon,"Xe 
54"
"Xe 
54",Xenon
Cesium,"Cs
55"
"Cs
55",Cesium
Barium,"Ba
56"
"Ba
56",Barium
Lanthanum,"La
57"
"La
57",Lanthanum
Cerium,"Ce
58"
"Ce
58",Cerium
Praseodymium,"Pr
59"
"Pr
59",Praseodymium
Neodymium,"Nd
60"
"Nd
60",Neodymium
Promethium,"Pm
61"
"Pm
61",Promethium
Samarium,"Sm
62"
"Sm
62",Samarium
Europium,"Eu 
63"
"Eu 
63",Europium
Gadolinium,"Gd 
64"
"Gd 
64",Gadolinium
Terbium,"Tb 
65"
"Tb 
65",Terbium
Dysprosium,"Dy 
66"
"Dy 
66",Dysprosium
Holmium,"Ho
67"
"Ho
67",Holmium
Erbium,"Er 
68"
"Er 
68",Erbium
Thulium,"Tm
69"
"Tm
69",Thulium
Ytterbium,"Yb
70"
"Yb
70",Ytterbium
Lutetium,"Lu
71"
"Lu
71",Lutetium
Hafnium,"Hf
72"
"Hf
72",Hafnium
Tantalum,"Ta
73"
"Ta
73",Tantalum
Tungsten,"W
74"
"W
74",Tungsten
Rhenium,"Re
75"
"Re
75",Rhenium
Osmium,"Os 
76"
"Os 
76",Osmium
Iridium,"Ir 
77"
"Ir 
77",Iridium
Platinum,"Pt
78"
"Pt
78",Platinum
Gold,"Au 
79"
"Au 
79",Gold
Mercury,"Hg
80"
"Hg
80",Mercury
Thallium,"Tl 
81"
"Tl 
81",Thallium
Lead,"Pb 
82"
"Pb 
82",Lead
Bismuth,"Bi 
83"
"Bi 
83",Bismuth
Polonium,"Po 
84"
"Po 
84",Polonium
Astatine,"At
85"
"At
85",Astatine
Radon,"Rn
86"
"Rn
86",Radon
Francium,"Fr 
87"
"Fr 
87",Francium
Radium,"Ra
88"
"Ra
88",Radium
Actinium,"Ac
89"
"Ac
89",Actinium
Thorium,"Th
90"
"Th
90",Thorium
Protactinium,"Pa
91"
"Pa
91",Protactinium
Uranium,"U
92"
"U
92",Uranium
Neptunium,"Np
93"
"Np
93",Neptunium
Plutonium,"Pu
94"
"Pu
94",Plutonium
Americium,"Am
95"
"Am
95",Americium
Curium,"Cm
96"
"Cm
96",Curium
Berkelium,"Bk
97"
"Bk
97",Berkelium
Californium,"Cf
98"
"Cf
98",Californium
Einsteinium,"Es
99"
"Es
99",Einsteinium
Fermium,"Fm
100"
"Fm
100",Fermium
Mendelevium,"Md 
101"
"Md 
101",Mendelevium
Nobelium,"No
102"
"No
102",Nobelium
Lawrencium,"Lr
103"
"Lr
103",Lawrencium
Rutherfordium,"Rf
104"
"Rf
104",Rutherfordium
Dubnium,"Db 
105"
"Db 
105",Dubnium
Seaborgium,"Sg
106"
"Sg
106",Seaborgium
Bohrium,"Bh
107"
"Bh
107",Bohrium
Hassium,"Hs 
108"
"Hs 
108",Hassium
Meitnerium,"Mt
109"
"Mt
109",Meitnerium
Darmstadtium,"Ds
110"
"Ds
110",Darmstadtium
Roentgenium,"Rg
111"
"Rg
111",Roentgenium
Copernicium,"Cn
112"
"Cn
112",Copernicium
Nihonium,"Nh
113"
"Nh
113",Nihonium
Flerovium,"Fl
114"
"Fl
114",Flerovium
Moscovium,"Mc
115"
"Mc
115",Moscovium
Livermorium,"Lv
116"
"Lv
116",Livermorium
Tennessine,"Ts 
117"
"Ts 
117",Tennessine
Oganesson,"Og
118"
"Og
118",Oganesson
