"Freedom of religion, speech, press, assembly, and petition ","1
Ratified: 1791"
"1
Ratified: 1791","Freedom of religion, speech, press, assembly, and petition "
Right to keep and bear arms,"2
Ratified: 1791"
"2
Ratified: 1791",Right to keep and bear arms
Restricts quartering of soldiers in private homes,"3
Ratified: 1791"
"3
Ratified: 1791",Restricts quartering of soldiers in private homes
"Prohibits unreasonable searches and seizures, search warrants based on probable cause","4
Ratified: 1791"
"4
Ratified: 1791","Prohibits unreasonable searches and seizures, search warrants based on probable cause"
"Indictment by grand jury, eminent domain, due process, double jeopardy, self-incrimination","5
Ratified: 1791"
"5
Ratified: 1791","Indictment by grand jury, eminent domain, due process, double jeopardy, self-incrimination"
"Right to speedy trial by jury, witnesses, counsel","6
Ratified: 1791"
"6
Ratified: 1791","Right to speedy trial by jury, witnesses, counsel"
Jury trial in civil lawsuits,"7
Ratified: 1791"
"7
Ratified: 1791",Jury trial in civil lawsuits
"Excessive fines, cruel and unusual punishment","8
Ratified: 1791"
"8
Ratified: 1791","Excessive fines, cruel and unusual punishment"
Non-enumerated rights retained by people,"9
Ratified: 1791"
"9
Ratified: 1791",Non-enumerated rights retained by people
Rights reserved to states or people,"10
Ratified: 1791"
"10
Ratified: 1791",Rights reserved to states or people
"States immunized against suits, state sovereign immunity","11
Ratified: 1795"
"11
Ratified: 1795","States immunized against suits, state sovereign immunity"
"Vice President elected with President, not election runner-up","12
Ratified: 1804"
"12
Ratified: 1804","Vice President elected with President, not election runner-up"
Abolition of slavery and involuntary servitude,"13
Ratified: 1865"
"13
Ratified: 1865",Abolition of slavery and involuntary servitude
"Defines citizenship, Privileges or Immunities Clause, Due Process Clause, Equal Protection Clause, post–Civil War issues","14
Ratified: 1868"
"14
Ratified: 1868","Defines citizenship, Privileges or Immunities Clause, Due Process Clause, Equal Protection Clause, post–Civil War issues"
"Right to vote not denied by race, color, or previous condition of servitude","15
Ratified: 1870"
"15
Ratified: 1870","Right to vote not denied by race, color, or previous condition of servitude"
Congress can levy income tax,"16
Ratified: 1913"
"16
Ratified: 1913",Congress can levy income tax
Direct election of Senators by popular vote,"17
Ratified: 1913"
"17
Ratified: 1913",Direct election of Senators by popular vote
Prohibition of manufacturing and sale of alcohol,"18
Ratified: 1919"
"18
Ratified: 1919",Prohibition of manufacturing and sale of alcohol
Women's suffrage,"19
Ratified: 1920"
"19
Ratified: 1920",Women's suffrage
"Reduced lame duck period (President 1/20, Congress 1/3), president-elect succession","20
Ratified: 1933"
"20
Ratified: 1933","Reduced lame duck period (President 1/20, Congress 1/3), president-elect succession"
Repeal of 18th amendment (End of the prohibition of manufacturing and sale of alcohol),"21
Ratified: 1933"
"21
Ratified: 1933",Repeal of 18th amendment (End of the prohibition of manufacturing and sale of alcohol)
Two-term limit on Presidency,"22
Ratified: 1951"
"22
Ratified: 1951",Two-term limit on Presidency
D.C. electors in Electoral College (D.C. vote for president),"23
Ratified: 1961"
"23
Ratified: 1961",D.C. electors in Electoral College (D.C. vote for president)
Abolition of poll taxes (revoking voting rights based on failure to pay taxes),"24
Ratified: 1964"
"24
Ratified: 1964",Abolition of poll taxes (revoking voting rights based on failure to pay taxes)
Presidential disability and succession,"25
Ratified: 1967"
"25
Ratified: 1967",Presidential disability and succession
Lowers voting age to 18,"26
Ratified: 1971"
"26
Ratified: 1971",Lowers voting age to 18
Congressional compensation increase is delayed until the next Congress,"27
Ratified: 1992"
"27
Ratified: 1992",Congressional compensation increase is delayed until the next Congress
