2024,"Hacks
Season 3
HBO Max"
"Hacks
Season 3
HBO Max",2024
2023,"The Bear
Season 1
FX"
"The Bear
Season 1
FX",2023
2022,"Ted Lasso (2/2)
Season 2
Apple TV+"
"Ted Lasso (2/2)
Season 2
Apple TV+",2022
2021,"Ted Lasso (1/2)
Season 1
Apple TV+"
"Ted Lasso (1/2)
Season 1
Apple TV+",2021
2020,"Schitt's Creek
Season 6
Pop TV"
"Schitt's Creek
Season 6
Pop TV",2020
2019,"Fleabag
Season 2
Prime Video"
"Fleabag
Season 2
Prime Video",2019
2018,"The Marvelous Mrs. Maisel
Season 1
Prime Video"
"The Marvelous Mrs. Maisel
Season 1
Prime Video",2018
2017,"Veep (3/3)
Season 6
HBO"
"Veep (3/3)
Season 6
HBO",2017
2016,"Veep (2/3)
Season 5
HBO"
"Veep (2/3)
Season 5
HBO",2016
2015,"Veep (1/3)
Season 4
HBO"
"Veep (1/3)
Season 4
HBO",2015
2014,"Modern Family (5/5)
Season 5
ABC"
"Modern Family (5/5)
Season 5
ABC",2014
2013,"Modern Family (4/5)
Season 4
ABC"
"Modern Family (4/5)
Season 4
ABC",2013
2012,"Modern Family (3/5)
Season 3
ABC"
"Modern Family (3/5)
Season 3
ABC",2012
2011,"Modern Family (2/5)
Season 2
ABC"
"Modern Family (2/5)
Season 2
ABC",2011
2010,"Modern Family (1/5)
Season 1
ABC"
"Modern Family (1/5)
Season 1
ABC",2010
2009,"30 Rock (3/3)
Season 3
NBC"
"30 Rock (3/3)
Season 3
NBC",2009
2008,"30 Rock (2/3)
Season 2
NBC"
"30 Rock (2/3)
Season 2
NBC",2008
2007,"30 Rock (1/3)
Season 1
NBC"
"30 Rock (1/3)
Season 1
NBC",2007
2006,"The Office
Season 2
NBC"
"The Office
Season 2
NBC",2006
2005,"Everybody Loves Raymond (2/2)
Season 9
CBS"
"Everybody Loves Raymond (2/2)
Season 9
CBS",2005
2004,"Arrested Development 
Season 1
Fox"
"Arrested Development 
Season 1
Fox",2004
2003,"Everybody Loves Raymond (1/2)
Season 7
CBS"
"Everybody Loves Raymond (1/2)
Season 7
CBS",2003
2002,"Friends
Season 8
NBC"
"Friends
Season 8
NBC",2002
2001,"Sex and the City
Season 3
HBO"
"Sex and the City
Season 3
HBO",2001
2000,"Will & Grace 
Season 2
NBC"
"Will & Grace 
Season 2
NBC",2000
1999,"Ally McBeal
Season 2
Fox"
"Ally McBeal
Season 2
Fox",1999
1998,"Frasier (5/5)
Season 5
NBC"
"Frasier (5/5)
Season 5
NBC",1998
1997,"Frasier (4/5)
Season 4
NBC"
"Frasier (4/5)
Season 4
NBC",1997
1996,"Frasier (3/5)
Season 3
NBC"
"Frasier (3/5)
Season 3
NBC",1996
1995,"Frasier (2/5)
Season 2
NBC"
"Frasier (2/5)
Season 2
NBC",1995
1994,"Frasier (1/5)
Season 1
NBC"
"Frasier (1/5)
Season 1
NBC",1994
1993,"Seinfeld
Season 4
NBC"
"Seinfeld
Season 4
NBC",1993
1992,"Murphy Brown (2/2)
Season 4
CBS"
"Murphy Brown (2/2)
Season 4
CBS",1992
1991,"Cheers (4/4)
Season 9
NBC"
"Cheers (4/4)
Season 9
NBC",1991
1990,"Murphy Brown (1/2)
Season 2
CBS"
"Murphy Brown (1/2)
Season 2
CBS",1990
2025,"The Studio
Session 1
Apple TV+"
"The Studio
Session 1
Apple TV+",2025
