1981,Greece
Greece,1981
2004 (10/10),Slovenia
Slovenia,2004 (10/10)
2007 (1/2),Bulgaria
Bulgaria,2007 (1/2)
1952 - Founder (1/6),Belgium
Belgium,1952 - Founder (1/6)
1952 - Founder (6/6),Netherlands
Netherlands,1952 - Founder (6/6)
2004 (1/10),Cyprus
Cyprus,2004 (1/10)
2004 (5/10),Latvia
Latvia,2004 (5/10)
2004 (9/10),Slovakia
Slovakia,2004 (9/10)
1952 - Founder (2/6),France
France,1952 - Founder (2/6)
1952 - Founder (3/6),Germany
Germany,1952 - Founder (3/6)
1973 (2/3),Ireland
Ireland,1973 (2/3)
1995 (2/3),Finland 
Finland ,1995 (2/3)
2004 (3/10),Estonia
Estonia,2004 (3/10)
"1973 (3/3)
Left - 2020",United Kingdom 
United Kingdom ,"1973 (3/3)
Left - 2020"
2004 (7/10),Malta
Malta,2004 (7/10)
1952 - Founder (4/6),Italy
Italy,1952 - Founder (4/6)
1986 (1/2),Portugal 
Portugal ,1986 (1/2)
1952 - Founder (5/6),Luxembourg 
Luxembourg ,1952 - Founder (5/6)
1986 (2/2),Spain
Spain,1986 (2/2)
2004 (4/10),Hungary 
Hungary ,2004 (4/10)
1973 (1/3),Denmark
Denmark,1973 (1/3)
1995 (1/3),Austria 
Austria ,1995 (1/3)
2004 (2/10),Czechia
Czechia,2004 (2/10)
2013,Croatia
Croatia,2013
1995 (3/3),Sweden
Sweden,1995 (3/3)
2007 (2/2),Romania
Romania,2007 (2/2)
2004 (6/10),Lithuania
Lithuania,2004 (6/10)
2004 (8/10),Poland
Poland,2004 (8/10)
