2003 (2002 Album),"Come Away with Me
Norah Jones"
"Come Away with Me
Norah Jones",2003 (2002 Album)
2010 (2008 Album),"Fearless
Taylor Swift (1/4)"
"Fearless
Taylor Swift (1/4)",2010 (2008 Album)
2022 (2021 Album),"We Are
Jon Batiste "
"We Are
Jon Batiste ",2022 (2021 Album)
2020 (2019 Album),"When We All Fall Asleep, Where Do We Go?
Billie Eilish"
"When We All Fall Asleep, Where Do We Go?
Billie Eilish",2020 (2019 Album)
2011 (2010 Album),"The Suburbs
Arcade Fire"
"The Suburbs
Arcade Fire",2011 (2010 Album)
2018 (2016 Album),"24K Magic
Bruno Mars"
"24K Magic
Bruno Mars",2018 (2016 Album)
2016 (2014 Album),"1989
Taylor Swift (2/4)"
"1989
Taylor Swift (2/4)",2016 (2014 Album)
2012 (2011 Album),"21
Adele (1/2)"
"21
Adele (1/2)",2012 (2011 Album)
2007 (2006 Album),"Taking the Long Way
Dixie Chicks (The Chicks)"
"Taking the Long Way
Dixie Chicks (The Chicks)",2007 (2006 Album)
2014 (2013 Album),"Random Access Memories
Daft Punk "
"Random Access Memories
Daft Punk ",2014 (2013 Album)
2000 (1999 Album),"Supernatural 
Santana"
"Supernatural 
Santana",2000 (1999 Album)
2015 (2014 Album),"Morning Phase
Beck"
"Morning Phase
Beck",2015 (2014 Album)
2001 (2000 Album),"Two Against Nature
Steely Dan"
"Two Against Nature
Steely Dan",2001 (2000 Album)
2013 (2012 Album),"Babel
Mumford & Sons"
"Babel
Mumford & Sons",2013 (2012 Album)
2004 (2003 Album),"Speakerboxxx/The Love Below
OutKast"
"Speakerboxxx/The Love Below
OutKast",2004 (2003 Album)
2023 (2022 Album),"Harry's House
Harry Styles"
"Harry's House
Harry Styles",2023 (2022 Album)
2006 (2004 Album),"How to Dismantle an Atomic Bomb
U2 (2/2)"
"How to Dismantle an Atomic Bomb
U2 (2/2)",2006 (2004 Album)
2005 (2004 Album),"Genius Loves Company 
Ray Charles & Various Artists "
"Genius Loves Company 
Ray Charles & Various Artists ",2005 (2004 Album)
2002 (2000 Album),"O Brother, Where Art Thou? - Soundtrack 
Various Artists "
"O Brother, Where Art Thou? - Soundtrack 
Various Artists ",2002 (2000 Album)
2017 (2015 Album),"25
Adele (2/2)"
"25
Adele (2/2)",2017 (2015 Album)
2009 (2007 Album),"Raising Sand
Robert Plant & Alison Krauss"
"Raising Sand
Robert Plant & Alison Krauss",2009 (2007 Album)
2021 (2020 Album),"Folklore
Taylor Swift (3/4)"
"Folklore
Taylor Swift (3/4)",2021 (2020 Album)
2024 (2022 Album),"Midnights
Taylor Swift (4/4)"
"Midnights
Taylor Swift (4/4)",2024 (2022 Album)
2019 (2018 Album),"Golden Hour
Kacey Musgraves"
"Golden Hour
Kacey Musgraves",2019 (2018 Album)
2008 (2007 Album),"River: The Joni Letters
Herbie Hancock"
"River: The Joni Letters
Herbie Hancock",2008 (2007 Album)
1999 (1998 Album),"The Miseducation of Lauryn Hill
Lauryn Hill"
"The Miseducation of Lauryn Hill
Lauryn Hill",1999 (1998 Album)
1998 (1997 Album),"Time Out of Mind 
Bob Dylan"
"Time Out of Mind 
Bob Dylan",1998 (1997 Album)
1997 (1996 Album),"Falling into You
Celine Dion"
"Falling into You
Celine Dion",1997 (1996 Album)
1996 (1995 Album),"Jagged Little Pill
Alanis Morissette"
"Jagged Little Pill
Alanis Morissette",1996 (1995 Album)
1995 (1994 Album),"MTV Unplugged 
Tony Bennett "
"MTV Unplugged 
Tony Bennett ",1995 (1994 Album)
1994 (1992 Album),"The Bodyguard - Original Soundtrack Album
Whitney Houston"
"The Bodyguard - Original Soundtrack Album
Whitney Houston",1994 (1992 Album)
1993 (1992 Album),"Unplugged
Eric Clapton"
"Unplugged
Eric Clapton",1993 (1992 Album)
1992 (1991 Album),"Unforgettable... with Love 
Natalie Cole"
"Unforgettable... with Love 
Natalie Cole",1992 (1991 Album)
1991 (1989 Album),"Back on the Block
Quincy Jones"
"Back on the Block
Quincy Jones",1991 (1989 Album)
1990 (1989 Album),"Nick of Time
Bonnie Raitt"
"Nick of Time
Bonnie Raitt",1990 (1989 Album)
2025 (2024 Album),"Cowboy Carter
Beyonce"
"Cowboy Carter
Beyonce",2025 (2024 Album)
2026 (2025 Album),"Debí Tirar Más Fotos (I Should Have Taken More Photos)
Bad Bunny"
"Debí Tirar Más Fotos (I Should Have Taken More Photos)
Bad Bunny",2026 (2025 Album)
