2025 (2023 Album),"Hackney Diamonds
The Rolling Stones (2/2)"
"Hackney Diamonds
The Rolling Stones (2/2)",2025 (2023 Album)
2024 (2023 Album),"This Is Why
Paramore"
"This Is Why
Paramore",2024 (2023 Album)
2023 (2022 Album),"Patient Number 9
Ozzy Osbourne"
"Patient Number 9
Ozzy Osbourne",2023 (2022 Album)
2022 (2021 Album),"Medicine at Midnight
Foo Fighters (5/5)"
"Medicine at Midnight
Foo Fighters (5/5)",2022 (2021 Album)
2021 (2020 Album),"The New Abnormal
The Strokes "
"The New Abnormal
The Strokes ",2021 (2020 Album)
2020 (2019 Album),"Social Cues
Cage the Elephant (2/2)"
"Social Cues
Cage the Elephant (2/2)",2020 (2019 Album)
2019 (2017 Album),"From the Fires
Gretta Van Fleet"
"From the Fires
Gretta Van Fleet",2019 (2017 Album)
2018 (2017 Album),"A Deeper Understanding
The War on Drugs"
"A Deeper Understanding
The War on Drugs",2018 (2017 Album)
2017 (2015 Album),"Tell Me I'm Pretty
Cage the Elephant (1/2)"
"Tell Me I'm Pretty
Cage the Elephant (1/2)",2017 (2015 Album)
2016 (2015 Album),"Drones
Muse (2/2)"
"Drones
Muse (2/2)",2016 (2015 Album)
2015 (2014 Album),"Morning Phase
Beck"
"Morning Phase
Beck",2015 (2014 Album)
2014 (2012 Album),"Celebration Day
Led Zeppelin"
"Celebration Day
Led Zeppelin",2014 (2012 Album)
2013 (2011 Album),"El Camino
The Black Keys"
"El Camino
The Black Keys",2013 (2011 Album)
2012 (2011 Album),"Wasting Light
Foo Fighters (4/5)"
"Wasting Light
Foo Fighters (4/5)",2012 (2011 Album)
2011 (2009 Album),"The Resistance
Muse (1/2)"
"The Resistance
Muse (1/2)",2011 (2009 Album)
2010 (2009 Album),"21st Century Breakdown
Green Day (2/2)"
"21st Century Breakdown
Green Day (2/2)",2010 (2009 Album)
2009 (2008 Album),"Viva la Vida or Death and All His Friends
Coldplay "
"Viva la Vida or Death and All His Friends
Coldplay ",2009 (2008 Album)
2008 (2007 Album),"Echoes, Silence, Patience & Grace
Foo Fighters (3/5)"
"Echoes, Silence, Patience & Grace
Foo Fighters (3/5)",2008 (2007 Album)
2007 (2006 Album),"Stadium Arcadium
Red Hot Chili Peppers"
"Stadium Arcadium
Red Hot Chili Peppers",2007 (2006 Album)
2006 (2004 Album),"How to Dismantle an Atomic Bomb
U2 (2/2)"
"How to Dismantle an Atomic Bomb
U2 (2/2)",2006 (2004 Album)
2005 (2004 Album),"American Idiot
Green Day (1/2)"
"American Idiot
Green Day (1/2)",2005 (2004 Album)
2004 (2002 Album),"One by One
Foo Fighters (2/5)"
"One by One
Foo Fighters (2/5)",2004 (2002 Album)
2003 (2002 Album),"The Rising
Bruce Springsteen"
"The Rising
Bruce Springsteen",2003 (2002 Album)
2002 (2000 Album),"All That You Can't Leave Behind
U2 (1/2)"
"All That You Can't Leave Behind
U2 (1/2)",2002 (2000 Album)
2001 (1999 Album),"There Is Nothing Left to Lose
Foo Fighters (1/5)"
"There Is Nothing Left to Lose
Foo Fighters (1/5)",2001 (1999 Album)
2000 (1999 Album),"Supernatural
Santana"
"Supernatural
Santana",2000 (1999 Album)
1999 (1998 Album),"The Globe Sessions
Sheryl Crow (2/2)"
"The Globe Sessions
Sheryl Crow (2/2)",1999 (1998 Album)
1998 (1997 Album),"Blue Moon Swamp
John Fogerty"
"Blue Moon Swamp
John Fogerty",1998 (1997 Album)
1997 (1996 Album),"Sheryl Crow
Sheryl Crow (1/2)"
"Sheryl Crow
Sheryl Crow (1/2)",1997 (1996 Album)
1996 (1995 Album),"Jagged Little Pill
Alanis Morissette"
"Jagged Little Pill
Alanis Morissette",1996 (1995 Album)
1995 (1994 Album),"Voodoo Lounge
The Rolling Stones (1/2)"
"Voodoo Lounge
The Rolling Stones (1/2)",1995 (1994 Album)
2026 (2025 Album),"Never Enough
Turnstile"
"Never Enough
Turnstile",2026 (2025 Album)
