2024,"Travis Hunter (CB/WR)
Colorado (2/2)"
"Travis Hunter (CB/WR)
Colorado (2/2)",2024
2023,"Jayden Daniels (QB)
LSU (3/3)"
"Jayden Daniels (QB)
LSU (3/3)",2023
2022,"Caleb Williams (QB)
USC (8/8)"
"Caleb Williams (QB)
USC (8/8)",2022
2021,"Bryce Young (QB)
Alabama (4/4)"
"Bryce Young (QB)
Alabama (4/4)",2021
2020,"DeVonta Smith (WR)
Alabama (3/4)"
"DeVonta Smith (WR)
Alabama (3/4)",2020
2019,"Joe Burrow (QB)
LSU (2/3)"
"Joe Burrow (QB)
LSU (2/3)",2019
2018,"Kyler Murray (QB)
Oklahoma (7/7)"
"Kyler Murray (QB)
Oklahoma (7/7)",2018
2017,"Baker Mayfield (QB)
Oklahoma (6/7)"
"Baker Mayfield (QB)
Oklahoma (6/7)",2017
2016,"Lamar Jackson (QB)
Louisville (1/1)"
"Lamar Jackson (QB)
Louisville (1/1)",2016
2015,"Derrick Henry (RB)
Alabama (2/4)"
"Derrick Henry (RB)
Alabama (2/4)",2015
2014,"Marcus Mariota (QB)
Oregon (1/1)"
"Marcus Mariota (QB)
Oregon (1/1)",2014
2013,"Jameis Winston (QB)
Florida State (3/3)"
"Jameis Winston (QB)
Florida State (3/3)",2013
2012,"Johnny Manziel (QB)
Texas A&M (2/2)"
"Johnny Manziel (QB)
Texas A&M (2/2)",2012
2011,"Robert Griffin III (QB)
Baylor (1/1)"
"Robert Griffin III (QB)
Baylor (1/1)",2011
2010,"Cam Newton (QB)
Auburn (3/3)"
"Cam Newton (QB)
Auburn (3/3)",2010
2009,"Mark Ingram II (RB)
Alabama (1/4)"
"Mark Ingram II (RB)
Alabama (1/4)",2009
2008,"Sam Bradford (QB)
Oklahoma (5/7)"
"Sam Bradford (QB)
Oklahoma (5/7)",2008
2007,"Tim Tebow (QB)
Florida (3/3)"
"Tim Tebow (QB)
Florida (3/3)",2007
2006,"Troy Smith (QB)
Ohio State (7/7)"
"Troy Smith (QB)
Ohio State (7/7)",2006
2005,"Reggie Bush (RB)
USC (7/8)"
"Reggie Bush (RB)
USC (7/8)",2005
2004,"Matt Leinart (QB)
USC (6/8)"
"Matt Leinart (QB)
USC (6/8)",2004
2003,"Jason White (QB)
Oklahoma (4/7)"
"Jason White (QB)
Oklahoma (4/7)",2003
2002,"Carson Palmer (QB)
USC (5/8)"
"Carson Palmer (QB)
USC (5/8)",2002
2001,"Eric Crouch (QB/WR)
Nebraska (3/3)"
"Eric Crouch (QB/WR)
Nebraska (3/3)",2001
2000,"Chris Weinke (QB)
Florida State (2/3)"
"Chris Weinke (QB)
Florida State (2/3)",2000
2025,"Fernando Mendoza (QB)
Indiana (1/1)"
"Fernando Mendoza (QB)
Indiana (1/1)",2025
