6.6m sq mi,Russia
Russia,6.6m sq mi
3.9m sq mi,Canada
Canada,3.9m sq mi
3.7m sq mi,China
China,3.7m sq mi
3.6m sq mi,United States
United States,3.6m sq mi
3.3m sq mi,Brazil
Brazil,3.3m sq mi
3.0m sq mi,Australia
Australia,3.0m sq mi
1.3m sq mi,India
India,1.3m sq mi
1.1m sq mi,Argentina
Argentina,1.1m sq mi
1.1 m sq mi,Kazakhstan
Kazakhstan,1.1 m sq mi
920k sq mi,Algeria
Algeria,920k sq mi
910k sq mi,Democratic Republic of the Congo
Democratic Republic of the Congo,910k sq mi
840k sq mi,Greenland
Greenland,840k sq mi
830k sq mi,Saudi Arabia
Saudi Arabia,830k sq mi
760k sq mi,Mexico
Mexico,760k sq mi
740k sq mi,Indonesia
Indonesia,740k sq mi
730k sq mi,Sudan
Sudan,730k sq mi
680k sq mi,Libya
Libya,680k sq mi
640k sq mi,Iran
Iran,640k sq mi
600k sq mi,Mongolia
Mongolia,600k sq mi
500k sq mi,Peru
Peru,500k sq mi
