0 Degrees Latitude - Equator (1/13),Ecuador (Latitude)
Ecuador (Latitude),0 Degrees Latitude - Equator (1/13)
0 Degrees Latitude - Equator (2/13),Colombia (Latitude)
Colombia (Latitude),0 Degrees Latitude - Equator (2/13)
0 Degrees Latitude - Equator (3/13),Brazil (Latitude) (1/2)
Brazil (Latitude) (1/2),0 Degrees Latitude - Equator (3/13)
0 Degrees Latitude - Equator (4/13),Sao Tome and Principe (Latitude)
Sao Tome and Principe (Latitude),0 Degrees Latitude - Equator (4/13)
0 Degrees Latitude - Equator (5/13),Gabon (Latitude)
Gabon (Latitude),0 Degrees Latitude - Equator (5/13)
0 Degrees Latitude - Equator (6/13),Republic of the Congo (Latitude)
Republic of the Congo (Latitude),0 Degrees Latitude - Equator (6/13)
0 Degrees Latitude - Equator (7/13),Democratic Republic of the Congo (Latitude)
Democratic Republic of the Congo (Latitude),0 Degrees Latitude - Equator (7/13)
0 Degrees Latitude - Equator (8/13),Uganda (Latitude)
Uganda (Latitude),0 Degrees Latitude - Equator (8/13)
0 Degrees Latitude - Equator (9/13),Kenya (Latitude)
Kenya (Latitude),0 Degrees Latitude - Equator (9/13)
0 Degrees Latitude - Equator (10/13),Somalia (Latitude)
Somalia (Latitude),0 Degrees Latitude - Equator (10/13)
0 Degrees Latitude - Equator (11/13),Maldives (Latitude)
Maldives (Latitude),0 Degrees Latitude - Equator (11/13)
0 Degrees Latitude - Equator (12/13),Indonesia (Latitude)
Indonesia (Latitude),0 Degrees Latitude - Equator (12/13)
0 Degrees Latitude - Equator (13/13),Kiribati (Latitude)
Kiribati (Latitude),0 Degrees Latitude - Equator (13/13)
0 Degrees Longitude - Prime Meridian (1/8),United Kingdom (Longitude)
United Kingdom (Longitude),0 Degrees Longitude - Prime Meridian (1/8)
0 Degrees Longitude - Prime Meridian (2/8),France (Longitude)
France (Longitude),0 Degrees Longitude - Prime Meridian (2/8)
0 Degrees Longitude - Prime Meridian (3/8),Spain (Longitude)
Spain (Longitude),0 Degrees Longitude - Prime Meridian (3/8)
0 Degrees Longitude - Prime Meridian (4/8),Algeria (Longitude)
Algeria (Longitude),0 Degrees Longitude - Prime Meridian (4/8)
0 Degrees Longitude - Prime Meridian (5/8),Mali (Longitude)
Mali (Longitude),0 Degrees Longitude - Prime Meridian (5/8)
0 Degrees Longitude - Prime Meridian (6/8),Burkina Faso (Longitude)
Burkina Faso (Longitude),0 Degrees Longitude - Prime Meridian (6/8)
0 Degrees Longitude - Prime Meridian (7/8),Togo (Longitude)
Togo (Longitude),0 Degrees Longitude - Prime Meridian (7/8)
0 Degrees Longitude - Prime Meridian (8/8),Ghana (Longitude)
Ghana (Longitude),0 Degrees Longitude - Prime Meridian (8/8)
180 Degrees Longitude - International Date Line (1/2),Russia (Longitude) (4/4)
Russia (Longitude) (4/4),180 Degrees Longitude - International Date Line (1/2)
180 Degrees Longitude - International Date Line (2/2),Fiji
Fiji,180 Degrees Longitude - International Date Line (2/2)
23.5 Degrees N Latitude - Tropic of Cancer (1/17),Mexico (Latitude)
Mexico (Latitude),23.5 Degrees N Latitude - Tropic of Cancer (1/17)
23.5 Degrees N Latitude - Tropic of Cancer (2/17),Bahamas (Latitude)
Bahamas (Latitude),23.5 Degrees N Latitude - Tropic of Cancer (2/17)
23.5 Degrees N Latitude - Tropic of Cancer (3/17),Western Sahara (Latitude)
Western Sahara (Latitude),23.5 Degrees N Latitude - Tropic of Cancer (3/17)
23.5 Degrees N Latitude - Tropic of Cancer (4/17),Mauritania (Latitude)
Mauritania (Latitude),23.5 Degrees N Latitude - Tropic of Cancer (4/17)
23.5 Degrees N Latitude - Tropic of Cancer (5/17),Mali (Latitude)
Mali (Latitude),23.5 Degrees N Latitude - Tropic of Cancer (5/17)
23.5 Degrees N Latitude - Tropic of Cancer (6/17),Algeria (Latitude)
Algeria (Latitude),23.5 Degrees N Latitude - Tropic of Cancer (6/17)
23.5 Degrees N Latitude - Tropic of Cancer (7/17),Niger (Latitude)
Niger (Latitude),23.5 Degrees N Latitude - Tropic of Cancer (7/17)
23.5 Degrees N Latitude - Tropic of Cancer (8/17),Libya (Latitude)
Libya (Latitude),23.5 Degrees N Latitude - Tropic of Cancer (8/17)
23.5 Degrees N Latitude - Tropic of Cancer (9/17),Egypt (Latitude)
Egypt (Latitude),23.5 Degrees N Latitude - Tropic of Cancer (9/17)
23.5 Degrees N Latitude - Tropic of Cancer (10/17),Saudi Arabia (Latitude)
Saudi Arabia (Latitude),23.5 Degrees N Latitude - Tropic of Cancer (10/17)
23.5 Degrees N Latitude - Tropic of Cancer (11/17),United Arab Emirates (Latitude)
United Arab Emirates (Latitude),23.5 Degrees N Latitude - Tropic of Cancer (11/17)
23.5 Degrees N Latitude - Tropic of Cancer (12/17),Oman (Latitude)
Oman (Latitude),23.5 Degrees N Latitude - Tropic of Cancer (12/17)
23.5 Degrees N Latitude - Tropic of Cancer (13/17),India (Latitude)
India (Latitude),23.5 Degrees N Latitude - Tropic of Cancer (13/17)
