"Herman Melville
1851",Moby Dick
Moby Dick,"Herman Melville
1851"
"John Steinbeck
1939",The Grapes of Wrath
The Grapes of Wrath,"John Steinbeck
1939"
"Ralph Ellison 
1952",Invisible Man
Invisible Man,"Ralph Ellison 
1952"
"John Milton
1667",Paradise Lost
Paradise Lost,"John Milton
1667"
"Evelyn Waugh 
1945",Brideshead Revisited
Brideshead Revisited,"Evelyn Waugh 
1945"
"Miguel de Cervantes 
1615",Don Quixote 
Don Quixote ,"Miguel de Cervantes 
1615"
"James Joyce
1922",Ulysses
Ulysses,"James Joyce
1922"
"F. Scott Fitzgerald 
1925",The Great Gatsby
The Great Gatsby,"F. Scott Fitzgerald 
1925"
"James Joyce
1916",A Portrait of the Artist as a Young Man
A Portrait of the Artist as a Young Man,"James Joyce
1916"
"Richard Wright
1940",Native Son
Native Son,"Richard Wright
1940"
"William Golding 
1954",Lord of the Flies 
Lord of the Flies ,"William Golding 
1954"
"Virginia Woolf
1927",To the Lighthouse
To the Lighthouse,"Virginia Woolf
1927"
"Theodore Dreiser
1925",An American Tragedy
An American Tragedy,"Theodore Dreiser
1925"
"Kurt Vonnegut
1969",Slaughterhouse-Five
Slaughterhouse-Five,"Kurt Vonnegut
1969"
"Jack Kerouac
1957",On the Road
On the Road,"Jack Kerouac
1957"
"Gabriel Garcia Marquez
1967",One Hundred Years of Solitude
One Hundred Years of Solitude,"Gabriel Garcia Marquez
1967"
"D.H. Lawrence
1913",Sons and Lovers 
Sons and Lovers ,"D.H. Lawrence
1913"
"George Orwell
1949",1984
1984,"George Orwell
1949"
"Robert Graves
1934","I, Claudius"
"I, Claudius","Robert Graves
1934"
"Saul Bellow
1953",The Adventures of Augie March
The Adventures of Augie March,"Saul Bellow
1953"
"Edith Wharton
1920",The Age of Innocence
The Age of Innocence,"Edith Wharton
1920"
"Anthony Burgess
1962",A Clockwork Orange
A Clockwork Orange,"Anthony Burgess
1962"
"Joseph Conrad 
1899",Heart of Darkness
Heart of Darkness,"Joseph Conrad 
1899"
"James Joyce
1939",Finnegans Wake
Finnegans Wake,"James Joyce
1939"
"Joseph Conrad
1900",Lord Jim 
Lord Jim ,"Joseph Conrad
1900"
"Marcel Proust
1927",In Search of Lost Time
In Search of Lost Time,"Marcel Proust
1927"
"Fyodor Dostoyevsky 
1866",Crime and Punishment
Crime and Punishment,"Fyodor Dostoyevsky 
1866"
"Emily Bronte
1847",Wuthering Heights
Wuthering Heights,"Emily Bronte
1847"
"William Faulkner 
1929",The Sound and the Fury
The Sound and the Fury,"William Faulkner 
1929"
"Robert Penn Warren 
1946",All the King's Men
All the King's Men,"Robert Penn Warren 
1946"
"Rudyard Kipling
1901",Kim
Kim,"Rudyard Kipling
1901"
"Salman Rushdie
1981",Midnight's Children
Midnight's Children,"Salman Rushdie
1981"
"Aldous Huxley 
1932",Brave New World
Brave New World,"Aldous Huxley 
1932"
"Judy Blume
1970","Are You There God? It's Me, Margaret"
"Are You There God? It's Me, Margaret","Judy Blume
1970"
"Ernest Hemingway
1926",The Sun Also Rises
The Sun Also Rises,"Ernest Hemingway
1926"
"Sinclair Lewis
1920",Main Street
Main Street,"Sinclair Lewis
1920"
"Edith Wharton
1905",The House of Mirth 
The House of Mirth ,"Edith Wharton
1905"
"Leo Tolstoy
1869",War and Peace 
War and Peace ,"Leo Tolstoy
1869"
"Charlotte Bronte
1847",Jane Eyre
Jane Eyre,"Charlotte Bronte
1847"
"Vladimir Nabokov
1955",Lolita
Lolita,"Vladimir Nabokov
1955"
"Joseph Heller
1961",Catch-22
Catch-22,"Joseph Heller
1961"
"E.M. Forster
1924",A Passage to India
A Passage to India,"E.M. Forster
1924"
"William Faulkner
1930",As I Lay Dying
As I Lay Dying,"William Faulkner
1930"
"J.D. Salinger 
1951",The Catcher in the Rye
The Catcher in the Rye,"J.D. Salinger 
1951"
"E.M. Forster
1908",A Room With a View
A Room With a View,"E.M. Forster
1908"
"George Orwell
1945",Animal Farm
Animal Farm,"George Orwell
1945"
"Ernest Hemingway 
1929",A Farewell to Arms 
A Farewell to Arms ,"Ernest Hemingway 
1929"
"Jane Austen
1813",Pride and Prejudice
Pride and Prejudice,"Jane Austen
1813"
"Leo Tolstoy
1878",Anna Karenina
Anna Karenina,"Leo Tolstoy
1878"
"Lewis Carroll
1865",Alice's Adventures in Wonderland 
Alice's Adventures in Wonderland ,"Lewis Carroll
1865"
"George Eliot
1871",Middlemarch
Middlemarch,"George Eliot
1871"
"Jonathan Swift 
1726",Gulliver's Travels
Gulliver's Travels,"Jonathan Swift 
1726"
"Albert Camus
1942",The Stranger
The Stranger,"Albert Camus
1942"
"Virgil
30-19 BCE",The Aeneid 
The Aeneid ,"Virgil
30-19 BCE"
"Virginia Woolf 
1925",Mrs. Dalloway
Mrs. Dalloway,"Virginia Woolf 
1925"
"Voltaire
1759",Candide
Candide,"Voltaire
1759"
"Thomas Mann
1924",The Magic Mountain
The Magic Mountain,"Thomas Mann
1924"
"Fyodor Dostoyevsky
1880",The Brothers Karamazov
The Brothers Karamazov,"Fyodor Dostoyevsky
1880"
"William Faulkner 
1936","Absalom, Absalom"
"Absalom, Absalom","William Faulkner 
1936"
"Walt Whitman
1855",Leaves of Grass
Leaves of Grass,"Walt Whitman
1855"
"David Foster Wallace
1996",Infinite Jest
Infinite Jest,"David Foster Wallace
1996"
"Samuel Beckett
1978",Waiting for Godot
Waiting for Godot,"Samuel Beckett
1978"
"D.H. Lawrence 
1928",Lady Chatterley's Lover
Lady Chatterley's Lover,"D.H. Lawrence 
1928"
"Agatha Christie 
1939",And Then There Were None
And Then There Were None,"Agatha Christie 
1939"
"Ivan Turgenev
1862",Fathers and Sons
Fathers and Sons,"Ivan Turgenev
1862"
"Anton Chekov
1904",The Cherry Orchard
The Cherry Orchard,"Anton Chekov
1904"
"Margaret Mitchell 
1936",Gone with the Wind
Gone with the Wind,"Margaret Mitchell 
1936"
"John Updike
1960","Rabbit, Run"
"Rabbit, Run","John Updike
1960"
"Johann Wolfgang von Goethe
1831",Faust
Faust,"Johann Wolfgang von Goethe
1831"
"Mark Twain
1884",The Adventures of Huckleberry Finn
The Adventures of Huckleberry Finn,"Mark Twain
1884"
"Toni Morrison
1987",Beloved
Beloved,"Toni Morrison
1987"
"Franz Kafka 
1925",The Trial
The Trial,"Franz Kafka 
1925"
"Chinua Achebe
1958",Things Fall Apart
Things Fall Apart,"Chinua Achebe
1958"
"Thomas Pynchon
1973",Gravity's Rainbow
Gravity's Rainbow,"Thomas Pynchon
1973"
"Ernest Hemingway 
1940",For Whom the Bell Tolls
For Whom the Bell Tolls,"Ernest Hemingway 
1940"
"Gustave Flaubert
1856",Madame Bovary
Madame Bovary,"Gustave Flaubert
1856"
"Dante Alighieri
1320",The Divine Comedy
The Divine Comedy,"Dante Alighieri
1320"
"Harper Lee
1960",To Kill a Mockingbird 
To Kill a Mockingbird ,"Harper Lee
1960"
"Charles Dickens
1850",David Copperfield 
David Copperfield ,"Charles Dickens
1850"
"Alice Walker
1982",The Color Purple
The Color Purple,"Alice Walker
1982"
"Charles Dickens
1861",Great Expectations 
Great Expectations ,"Charles Dickens
1861"
"William Faulkner 
1932",Light in August
Light in August,"William Faulkner 
1932"
"Johann Wolfgang von Goethe
1774",The Sorrows of Young Werther
The Sorrows of Young Werther,"Johann Wolfgang von Goethe
1774"
"John Bunyan
1678",The Pilgrim's Progress 
The Pilgrim's Progress ,"John Bunyan
1678"
"Homer 
800 BCE",The Odyssey
The Odyssey,"Homer 
800 BCE"
"Salman Rushdie
1988",The Satanic Verses
The Satanic Verses,"Salman Rushdie
1988"
"Ayn Rand
1957",Atlas Shrugged
Atlas Shrugged,"Ayn Rand
1957"
"Ayn Rand
1943",The Fountainhead
The Fountainhead,"Ayn Rand
1943"
"Gabriel Garcia Marquez
1985",Love in the Time of Cholera
Love in the Time of Cholera,"Gabriel Garcia Marquez
1985"
"Isabel Allende
1982",The House of the Spirits
The House of the Spirits,"Isabel Allende
1982"
"Charles Dickens
1859",A Tale of Two Cities
A Tale of Two Cities,"Charles Dickens
1859"
"Franz Kafka
1915",The Metamorphosis
The Metamorphosis,"Franz Kafka
1915"
"Anna Sewell
1877",Black Beauty
Black Beauty,"Anna Sewell
1877"
"George Eliot
1861",Silas Marner
Silas Marner,"George Eliot
1861"
"Jane Austen
1815",Emma
Emma,"Jane Austen
1815"
"Jane Austen
1811",Sense and Sensibility
Sense and Sensibility,"Jane Austen
1811"
"Harriet Beecher Stowe
1852",Uncle Tom's Cabin
Uncle Tom's Cabin,"Harriet Beecher Stowe
1852"
"Upton Sinclair
1906",The Jungle
The Jungle,"Upton Sinclair
1906"
"Sir Walter Scott
1819",Ivanhoe
Ivanhoe,"Sir Walter Scott
1819"
"Donna Tartt
2013",The Goldfinch
The Goldfinch,"Donna Tartt
2013"
"Zora Neale Hurston
1937",Their Eyes Were Watching God
Their Eyes Were Watching God,"Zora Neale Hurston
1937"
"Daphne du Maurier
1938",Rebecca
Rebecca,"Daphne du Maurier
1938"
"James Joyce
1914",Dubliners
Dubliners,"James Joyce
1914"
"Daniel Defoe
1719",Robinson Crusoe
Robinson Crusoe,"Daniel Defoe
1719"
"Rachel Carson
1962",Silent Spring
Silent Spring,"Rachel Carson
1962"
