Mediterranean Avenue,"Purple/Brown
$60 (1/2)"
"Purple/Brown
$60 (1/2)",Mediterranean Avenue
Baltic Avenue,"Purple/Brown 
$60 (2/2)"
"Purple/Brown 
$60 (2/2)",Baltic Avenue
Oriental Avenue,"Light Blue
$100 (1/2)"
"Light Blue
$100 (1/2)",Oriental Avenue
Vermont Avenue,"Light Blue
$100 (2/2)"
"Light Blue
$100 (2/2)",Vermont Avenue
Connecticut Avenue,"Light Blue 
$120"
"Light Blue 
$120",Connecticut Avenue
St. Charles Place,"Pink
$140 (1/2)"
"Pink
$140 (1/2)",St. Charles Place
States Avenue,"Pink
$140 (2/2)"
"Pink
$140 (2/2)",States Avenue
Virginia Avenue,"Pink
$160"
"Pink
$160",Virginia Avenue
St. James Place,"Orange
$180 (1/2)"
"Orange
$180 (1/2)",St. James Place
Tennessee Avenue ,"Orange
$180 (2/2)"
"Orange
$180 (2/2)",Tennessee Avenue 
New York Avenue,"Orange
$200"
"Orange
$200",New York Avenue
Kentucky Avenue,"Red
$220 (1/2)"
"Red
$220 (1/2)",Kentucky Avenue
 Indiana Avenue,"Red
$220 (2/2)"
"Red
$220 (2/2)", Indiana Avenue
Illinois Avenue,"Red 
$240"
"Red 
$240",Illinois Avenue
Atlantic Avenue,"Yellow
$260 (1/2)"
"Yellow
$260 (1/2)",Atlantic Avenue
Ventnor Avenue,"Yellow
$260 (2/2)"
"Yellow
$260 (2/2)",Ventnor Avenue
Marvin Gardens,"Yellow
$280"
"Yellow
$280",Marvin Gardens
Pacific Avenue,"Green
$300 (1/2)"
"Green
$300 (1/2)",Pacific Avenue
North Carolina Avenue,"Green
$300 (2/2)"
"Green
$300 (2/2)",North Carolina Avenue
Pennsylvania Avenue,"Green
$320"
"Green
$320",Pennsylvania Avenue
Park Place,"Blue
$350"
"Blue
$350",Park Place
Boardwalk,"Blue
$400"
"Blue
$400",Boardwalk
Reading,"Railroad (1/4)
$200"
"Railroad (1/4)
$200",Reading
Pennsylvania,"Railroad (2/4)
$200"
"Railroad (2/4)
$200",Pennsylvania
B&O,"Railroad (3/4)
$200"
"Railroad (3/4)
$200",B&O
Short Line,"Railroad (4/4)
$200"
"Railroad (4/4)
$200",Short Line
Income Tax,"Tax (1/2)
10% or $200"
"Tax (1/2)
10% or $200",Income Tax
Electric Company ,"Utility (1/2)
$150"
"Utility (1/2)
$150",Electric Company 
Water Works,"Utility (2/2)
$150"
"Utility (2/2)
$150",Water Works
Luxury Tax,"Tax (2/2)
$75"
"Tax (2/2)
$75",Luxury Tax
Starting Amount of Money,"$1500
2: $500, $100, $50
6: $20
5: $10, $5, $1"
"$1500
2: $500, $100, $50
6: $20
5: $10, $5, $1",Starting Amount of Money
Roll Doubles,"Roll Again
3X: Go to Jail "
"Roll Again
3X: Go to Jail ",Roll Doubles
