1.45 billion,India
India,1.45 billion
1.42 billion,China
China,1.42 billion
345 million,United States
United States,345 million
283 million,Indonesia 
Indonesia ,283 million
251 million,Pakistan 
Pakistan ,251 million
233 million,Nigeria
Nigeria,233 million
212 million,Brazil
Brazil,212 million
174 million,Bangladesh
Bangladesh,174 million
145 million,Russia
Russia,145 million
132 million,Ethiopia
Ethiopia,132 million
131 million,Mexico
Mexico,131 million
124 million,Japan
Japan,124 million
117 million,Egypt
Egypt,117 million
116 million,Philippines
Philippines,116 million
109 million,Democratic Republic of the Congo
Democratic Republic of the Congo,109 million
101 million,Vietnam
Vietnam,101 million
92 million,Iran
Iran,92 million
87 million,Turkey
Turkey,87 million
85 million,Germany
Germany,85 million
72 million,Thailand
Thailand,72 million
