"Goddess of beauty, love, desire, pleasure (Olympian)
Greek/Roman","Greek: Aphrodite
Roman: Venus"
"God of music, art, knowledge, poetry, archery (Olympian)
Greek/Roman","Greek: Apollo
Roman: Apollo"
"God of courage, war, bloodshed, violence (Olympian)
Greek/Roman","Greek: Ares
Roman: Mars"
"Virgin goddess of the hunt, wilderness, animals, moon (Olympian)
Greek/Roman","Greek: Artemis
Roman: Diana"
"Goddess of reason, wisdom, intelligence, peace, warfare (Olympian)
Greek/Roman","Greek: Athena
Roman: Minerva"
"Goddess of grain, agriculture, harvest, growth (Olympian)
Greek/Roman","Greek: Demeter
Roman: Ceres"
"God of wine, parties, madness, drunkenness, ecstacy (Olympian)
Greek/Roman","Greek: Dionysus
Roman: Bacchus"
"King of the underworld/dead, god of wealth
Greek/Roman","Greek: Hades
Roman: Pluto"
"God of fire, metalworking, crafts (Olympian)
Greek/Roman","Greek: Hephaestus
Roman: Vulcan"
"Queen of the gods, goddess of women, marriage, childbirth, kings (Olympian)
Greek/Roman","Greek: Hera
Roman: Juno"
"Messenger god of travel, communication, writing, thieves (Olympian)
Greek/Roman","Greek: Hermes
Roman: Mercury"
"Virgin goddess of hearth, home, domesticity, chastity
Greek/Roman","Greek: Hestia
Roman: Vesta"
"Queen of the Underworld, goddess of spring
Greek/Roman","Greek: Persephone
Roman: Prosperina"
"God of sea, rivers, floods, droughts, earthquakes (Olympian)
Greek/Roman","Greek: Poseidon
Roman: Neptune"
"King of the gods, god of sky, thunder, lightning, justice (Olympian)
Greek/Roman","Greek: Zeus
Roman: Jupiter"
"Allfather, king of the gods, god of wisdom, war, death, and magic, sacrificed eye for knowledge
Norse",Odin
"God of thunder, storms, and strength, protects gods and humans from giants, Odin's son
Norse",Thor
"Thor's hammer 
Norse",Mjolnir
"Eight-legged horse of Odin
Norse",Sleipnir
"Trickster god, father of Fenrir (wolf)
Norse",Loki
"Goddess of love, beauty, fertility, war, death, sister of Freyr
Norse",Freyja
"God of fertility, prosperity, peace, pleasure, brother of Freyja
Norse",Freyr
"God of war and justice, sacrificed hand to Fenrir (wolf)
Norse",Tyr
"God of light and purity, Odin's son, death triggers Ragnarok (end of the world)
Norse",Baldur
"Watchman of the gods, guards Bifrost (rainbow bridge), sounds horn at Ragnarok
Norse",Heimdall
"Sun god, king of gods. Travels across sky in solar barque. Often depicted with falcon head and sun disk. Creator deity.
Egyptian",Ra (Re)
"God of death, afterlife, resurrection, agriculture. Murdered by brother Set, resurrected by Isis. Judge of the dead. Green-skinned, mummified
Egyptian ",Osiris
"Goddess of magic, motherhood, healing, protection. Wife of Osiris, mother of Horus. Known for powerful magic and devotion.
Egyptian ",Isis
"God of sky, kingship, protection. Falcon-headed. Son of Osiris and Isis. Avenged father's death against Set. Associated with pharaohs.
Egyptian ",Horus
"God of chaos, storms, desert, violence, foreigners. Murdered Osiris. Battles Horus. Red-haired, animal-headed (unidentified creature).
Egyptian ",Set (Seth)
"God of mummification, death, afterlife. Jackal-headed. Guides souls to judgment. Protects graves and embalming process.
Egyptian ",Anubis
"God of wisdom, writing, knowledge, moon, magic. Ibis or baboon-headed. Scribe of gods. Inventor of hieroglyphs.
Egyptian ",Thoth
"Goddess of home, fertility, cats, protection, joy. Cat-headed or depicted as a cat. Protector deity, daughter of Ra.
Egyptian",Bastet
"Goddess of love, beauty, music, motherhood, joy. Cow-headed or woman with cow horns. Sky goddess, associated with fertility.
Egyptian ",Hathor 
