"2024 (2023-2024 Season)
Defeated the Dallas Mavericks","Boston Celtics (18/18)
MVP: Jaylen Brown"
"Boston Celtics (18/18)
MVP: Jaylen Brown","2024 (2023-2024 Season)
Defeated the Dallas Mavericks"
"2023 (2022-2023 Season)
Defeated the Miami Heat","Denver Nuggets (1/1)
MVP: Nikola Jokic"
"Denver Nuggets (1/1)
MVP: Nikola Jokic","2023 (2022-2023 Season)
Defeated the Miami Heat"
"2022 (2021-2022 Season)
Defeated the Boston Celtics","Golden State Warriors (7/7)
MVP: Stephen Curry"
"Golden State Warriors (7/7)
MVP: Stephen Curry","2022 (2021-2022 Season)
Defeated the Boston Celtics"
"2021 (2020-2021 Season)
Defeated the Phoenix Suns","Milwaukee Bucks (2/2)
MVP: Giannis Antetokounmpo"
"Milwaukee Bucks (2/2)
MVP: Giannis Antetokounmpo","2021 (2020-2021 Season)
Defeated the Phoenix Suns"
"2020 (2019-2020 Season)
Defeated the Miami Heat","Los Angeles Lakers (17/17)
MVP: LeBron James (4/4)"
"Los Angeles Lakers (17/17)
MVP: LeBron James (4/4)","2020 (2019-2020 Season)
Defeated the Miami Heat"
"2019 (2018-2019 Season)
Defeated the Golden State Warriors","Toronto Raptors (1/1)
MVP: Kawhi Leonard (2/2)"
"Toronto Raptors (1/1)
MVP: Kawhi Leonard (2/2)","2019 (2018-2019 Season)
Defeated the Golden State Warriors"
"2018 (2017-2018 Season)
Defeated the Cleveland Cavaliers","Golden State Warriors (6/7)
MVP: Kevin Durant (2/2)"
"Golden State Warriors (6/7)
MVP: Kevin Durant (2/2)","2018 (2017-2018 Season)
Defeated the Cleveland Cavaliers"
"2017 (2016-2017 Season)
Defeated the Cleveland Cavaliers","Golden State Warriors (5/7)
MVP: Kevin Durant (1/2)"
"Golden State Warriors (5/7)
MVP: Kevin Durant (1/2)","2017 (2016-2017 Season)
Defeated the Cleveland Cavaliers"
"2016 (2015-2016 Season)
Defeated the Golden State Warriors","Cleveland Cavaliers (1/1)
MVP: LeBron James (3/4)"
"Cleveland Cavaliers (1/1)
MVP: LeBron James (3/4)","2016 (2015-2016 Season)
Defeated the Golden State Warriors"
"2015 (2014-2015 Season)
Defeated the Cleveland Cavaliers","Golden State Warriors (4/7)
MVP: Andre Iguodala"
"Golden State Warriors (4/7)
MVP: Andre Iguodala","2015 (2014-2015 Season)
Defeated the Cleveland Cavaliers"
"2014 (2013-2014 Season)
Defeated the Miami Heat","San Antonio Spurs (5/5)
MVP: Kawhi Leonard (1/2)"
"San Antonio Spurs (5/5)
MVP: Kawhi Leonard (1/2)","2014 (2013-2014 Season)
Defeated the Miami Heat"
