"2020
Summer","Tokyo, Japan (2/2)"
"Tokyo, Japan (2/2)","2020
Summer"
"2024
Summer","Paris, France (3/3)"
"Paris, France (3/3)","2024
Summer"
"2022
Winter","Beijing, China (2/2)"
"Beijing, China (2/2)","2022
Winter"
"2018
Winter","PyeongChang, South Korea"
"PyeongChang, South Korea","2018
Winter"
"2008
Summer","Beijing, China (1/2)"
"Beijing, China (1/2)","2008
Summer"
"1994
Winter ","Lillehammer, Norway "
"Lillehammer, Norway ","1994
Winter "
"1992
Winter","Albertville, France"
"Albertville, France","1992
Winter"
"1998
Winter","Nagano, Japan"
"Nagano, Japan","1998
Winter"
"1992
Summer","Barcelona, Spain"
"Barcelona, Spain","1992
Summer"
"2004
Summer","Athens, Greece (2/2)"
"Athens, Greece (2/2)","2004
Summer"
"2014
Winter","Sochi, Russia"
"Sochi, Russia","2014
Winter"
"2002
Winter","Salt Lake City, United States (1/2)"
"Salt Lake City, United States (1/2)","2002
Winter"
"2000
Summer","Sydney, Australia"
"Sydney, Australia","2000
Summer"
"2012
Summer","London, United Kingdom (3/3)"
"London, United Kingdom (3/3)","2012
Summer"
"1996
Summer","Atlanta, United States "
"Atlanta, United States ","1996
Summer"
"2016
Summer","Rio de Janeiro, Brazil"
"Rio de Janeiro, Brazil","2016
Summer"
"2010
Winter","Vancouver, Canada"
"Vancouver, Canada","2010
Winter"
"2006
Winter","Turin, Italy (1/2)"
"Turin, Italy (1/2)","2006
Winter"
"1984
Winter ","Sarajevo, Yugoslavia (Bosnia and Herzegovina)"
"Sarajevo, Yugoslavia (Bosnia and Herzegovina)","1984
Winter "
"1988
Winter","Calgary, Canada"
"Calgary, Canada","1988
Winter"
"1984
Summer ","Los Angeles, United States (2/3)"
"Los Angeles, United States (2/3)","1984
Summer "
"1980
Winter","Lake Placid, United States (2/2)"
"Lake Placid, United States (2/2)","1980
Winter"
"1980
Summer","Moscow, Soviet Union (Russia)"
"Moscow, Soviet Union (Russia)","1980
Summer"
"1988
Summer","Seoul, South Korea"
"Seoul, South Korea","1988
Summer"
"1976
Summer","Montreal, Canada"
"Montreal, Canada","1976
Summer"
"1976
Winter","Innsbruck, Austria (2/2)"
"Innsbruck, Austria (2/2)","1976
Winter"
"1972
Summer","Munich, West Germany"
"Munich, West Germany","1972
Summer"
"1972
Winter","Sapporo, Japan"
"Sapporo, Japan","1972
Winter"
"1968
Summer","Mexico City, Mexico"
"Mexico City, Mexico","1968
Summer"
"1968
Winter","Grenoble, France"
"Grenoble, France","1968
Winter"
"1964
Summer","Tokyo, Japan (1/2)"
"Tokyo, Japan (1/2)","1964
Summer"
"1964
Winter","Innsbruck, Austria (1/2)"
"Innsbruck, Austria (1/2)","1964
Winter"
"1960
Summer","Rome, Italy"
"Rome, Italy","1960
Summer"
"1960
Winter","Squaw Valley, United States"
"Squaw Valley, United States","1960
Winter"
"1956
Summer","Melbourne, Australia"
"Melbourne, Australia","1956
Summer"
"1956
Winter","Cortina d'Ampezzo, Italy (1/2)"
"Cortina d'Ampezzo, Italy (1/2)","1956
Winter"
"1952
Summer","Helsinki, Finland"
"Helsinki, Finland","1952
Summer"
"1952
Winter","Oslo, Norway"
"Oslo, Norway","1952
Winter"
"1948
Summer","London, United Kingdom (2/3)"
"London, United Kingdom (2/3)","1948
Summer"
"1948
Winter","St. Moritz, Switzerland (2/2)"
"St. Moritz, Switzerland (2/2)","1948
Winter"
"1936
Summer","Berlin, Germany"
"Berlin, Germany","1936
Summer"
"1936
Winter","Garmisch-Partenkirchen, Germany"
"Garmisch-Partenkirchen, Germany","1936
Winter"
"1932
Winter","Lake Placid, United States (1/2)"
"Lake Placid, United States (1/2)","1932
Winter"
"1932
Summer","Los Angeles, United States (1/3)"
"Los Angeles, United States (1/3)","1932
Summer"
"1928
Summer","Amsterdam, Netherlands"
"Amsterdam, Netherlands","1928
Summer"
"1928
Winter","St. Moritz, Switzerland (1/2)"
"St. Moritz, Switzerland (1/2)","1928
Winter"
"1924
Summer","Paris, France (2/3)"
"Paris, France (2/3)","1924
Summer"
"1924
Winter","Chamonix, France"
"Chamonix, France","1924
Winter"
"1920
Summer","Antwerp, Belgium "
"Antwerp, Belgium ","1920
Summer"
"1912
Summer","Stockholm, Sweden"
"Stockholm, Sweden","1912
Summer"
"1908
Summer","London, United Kingdom (1/3)"
"London, United Kingdom (1/3)","1908
Summer"
"1904
Summer","St. Louis, United States "
"St. Louis, United States ","1904
Summer"
"1900
Summer","Paris, France (1/3)"
"Paris, France (1/3)","1900
Summer"
"1896
Summer","Athens, Greece (1/2)"
"Athens, Greece (1/2)","1896
Summer"
"2026
Winter","Milan, Italy 
Cortina d'Ampezzo, Italy (2/2)"
"Milan, Italy 
Cortina d'Ampezzo, Italy (2/2)","2026
Winter"
"2028
Summer","Los Angeles, United States (3/3)"
"Los Angeles, United States (3/3)","2028
Summer"
"2030 
Winter","French Alps, France
Turin, Italy (2/2)"
"French Alps, France
Turin, Italy (2/2)","2030 
Winter"
"2032
Summer","Brisbane, Australia"
"Brisbane, Australia","2032
Summer"
"2034
Winter","Salt Lake City, United States (2/2)"
"Salt Lake City, United States (2/2)","2034
Winter"
