"Claudio Monteverdi (Italian)
1607",L'Orfeo
L'Orfeo,"Claudio Monteverdi (Italian)
1607"
"Henry Purcell (British)
1689",Dido and Aeneas 
Dido and Aeneas ,"Henry Purcell (British)
1689"
"George Frideric Handel (German)
1724",Julius Caesar 
Julius Caesar ,"George Frideric Handel (German)
1724"
"Christoph Willibald Gluck (German)
1762",Orpheus and Eurydice 
Orpheus and Eurydice ,"Christoph Willibald Gluck (German)
1762"
"Wolfgang Amadeus Mozart (Austrian)
1786",The Marriage of Figaro
The Marriage of Figaro,"Wolfgang Amadeus Mozart (Austrian)
1786"
"Wolfgang Amadeus Mozart (Austrian)
1791",The Magic Flute
The Magic Flute,"Wolfgang Amadeus Mozart (Austrian)
1791"
"Gioachino Rossini (Italian)
1816",The Barber of Seville
The Barber of Seville,"Gioachino Rossini (Italian)
1816"
"Gioachino Rossini (Italian)
1829",William Tell
William Tell,"Gioachino Rossini (Italian)
1829"
"Giuseppe Verdi (Italian)
1851",Rigoletto
Rigoletto,"Giuseppe Verdi (Italian)
1851"
"Giuseppe Verdi (Italian)
1853",La Traviata
La Traviata,"Giuseppe Verdi (Italian)
1853"
"Giuseppe Verdi (Italian)
1867",Don Carlos
Don Carlos,"Giuseppe Verdi (Italian)
1867"
"Giuseppe Verdi (Italian)
1893",Falstaff
Falstaff,"Giuseppe Verdi (Italian)
1893"
"Giacomo Puccini (Italian)
1896",La Boheme
La Boheme,"Giacomo Puccini (Italian)
1896"
"Giacomo Puccini (Italian)
1904",Madama Butterfly 
Madama Butterfly ,"Giacomo Puccini (Italian)
1904"
"Giacomo Puccini (Italian)
1926",Turandot
Turandot,"Giacomo Puccini (Italian)
1926"
"Ludwig van Beethoven (German)
1805",Fidelio
Fidelio,"Ludwig van Beethoven (German)
1805"
"Richard Wagner (German)
1850",Lohengrin
Lohengrin,"Richard Wagner (German)
1850"
"Richard Wagner (German)
1865",Tristan and Isolde
Tristan and Isolde,"Richard Wagner (German)
1865"
"Richard Wagner (German)
1876",The Ring of the Nibelungen
The Ring of the Nibelungen,"Richard Wagner (German)
1876"
"Georges Bizet (French)
1875",Carmen
Carmen,"Georges Bizet (French)
1875"
"Modest Mussorgsky (Russian)
1874",Boris Gudunov
Boris Gudunov,"Modest Mussorgsky (Russian)
1874"
"Pyotr Ilych Tchaikovsky (Russian)
1879",Eugene Onegin
Eugene Onegin,"Pyotr Ilych Tchaikovsky (Russian)
1879"
"Sergei Prokofiev (Russian)
1944",War and Peace
War and Peace,"Sergei Prokofiev (Russian)
1944"
"Igor Stravinsky (Russian)
1951",The Rake's Progress
The Rake's Progress,"Igor Stravinsky (Russian)
1951"
"George Gershwin (American)
1935",Porgy and Bess 
Porgy and Bess ,"George Gershwin (American)
1935"
"Benjamin Britten (British)
1954",The Turn of the Screw
The Turn of the Screw,"Benjamin Britten (British)
1954"
"Giuseppe Verdi (Italian)
1871",Aida
Aida,"Giuseppe Verdi (Italian)
1871"
"Wolfgang Amadeus Mozart (Austrian)
1787",Don Giovanni
Don Giovanni,"Wolfgang Amadeus Mozart (Austrian)
1787"
"Giacomo Puccini (Italian)
1900",Tosca
Tosca,"Giacomo Puccini (Italian)
1900"
"Ruggero Leoncavallo (Italian)
1892",Pagliacci
Pagliacci,"Ruggero Leoncavallo (Italian)
1892"
"Richard Wagner (German)
1843",The Flying Dutchman
The Flying Dutchman,"Richard Wagner (German)
1843"
"Gian Carlo Menotti (Italian)
1951",Amahl and the Night Visitors
Amahl and the Night Visitors,"Gian Carlo Menotti (Italian)
1951"
"Richard Strauss (German)
1905",Salome
Salome,"Richard Strauss (German)
1905"
"Kurt Weill (German)
1928",The Threepenny Opera
The Threepenny Opera,"Kurt Weill (German)
1928"
