Best Actor: 1994,"Tom Hanks (2/2)
Forrest Gump"
"Tom Hanks (2/2)
Forrest Gump",Best Actor: 1994
Best Actor: 2023,"Cillian Murphy
Oppenheimer"
"Cillian Murphy
Oppenheimer",Best Actor: 2023
Best Actor: 1988,"Dustin Hoffman (2/2)
Rain Man"
"Dustin Hoffman (2/2)
Rain Man",Best Actor: 1988
Best Actor: 2016,"Casey Affleck
Manchester by the Sea"
"Casey Affleck
Manchester by the Sea",Best Actor: 2016
Best Actor: 2010,"Colin Firth
The King's Speech"
"Colin Firth
The King's Speech",Best Actor: 2010
Best Actor: 1982,"Ben Kingsley
Gandhi"
"Ben Kingsley
Gandhi",Best Actor: 1982
Best Actor: 1981,"Henry Fonda
On Golden Pond"
"Henry Fonda
On Golden Pond",Best Actor: 1981
Best Actor: 2018,"Rami Malek
Bohemian Rhapsody"
"Rami Malek
Bohemian Rhapsody",Best Actor: 2018
Best Actor: 2022,"Brendan Fraser
The Whale"
"Brendan Fraser
The Whale",Best Actor: 2022
Best Actor: 2020,"Anthony Hopkins (2/2)
The Father"
"Anthony Hopkins (2/2)
The Father",Best Actor: 2020
Best Actor: 1995,"Nicholas Cage
Leaving Las Vegas"
"Nicholas Cage
Leaving Las Vegas",Best Actor: 1995
Best Actor: 2000,"Russell Crowe
Gladiator"
"Russell Crowe
Gladiator",Best Actor: 2000
Best Actor: 1991,"Anthony Hopkins (1/2)
The Silence of the Lambs"
"Anthony Hopkins (1/2)
The Silence of the Lambs",Best Actor: 1991
Best Actor: 2015,"Leonardo DiCaprio
The Revenant"
"Leonardo DiCaprio
The Revenant",Best Actor: 2015
Best Actor: 2008,"Sean Penn (2/2)
Milk"
"Sean Penn (2/2)
Milk",Best Actor: 2008
Best Actor: 1984,"F. Murray Abraham
Amadeus"
"F. Murray Abraham
Amadeus",Best Actor: 1984
Best Actor: 1999,"Kevin Spacey
American Beauty"
"Kevin Spacey
American Beauty",Best Actor: 1999
Best Actor: 2021,"Will Smith
King Richard"
"Will Smith
King Richard",Best Actor: 2021
Best Actor: 2013,"Matthew McConaughey
Dallas Buyers Club"
"Matthew McConaughey
Dallas Buyers Club",Best Actor: 2013
Best Actor: 2011,"Jean Dujardin
The Artist"
"Jean Dujardin
The Artist",Best Actor: 2011
Best Actor: 1993,"Tom Hanks (1/2)
Philadelphia"
"Tom Hanks (1/2)
Philadelphia",Best Actor: 1993
Best Actor: 2004,"Jamie Foxx
Ray"
"Jamie Foxx
Ray",Best Actor: 2004
Best Actor: 1989,"Daniel Day-Lewis (1/3)
My Left Foot"
"Daniel Day-Lewis (1/3)
My Left Foot",Best Actor: 1989
Best Actor: 1980,"Robert De Niro
Raging Bull"
"Robert De Niro
Raging Bull",Best Actor: 1980
Best Actor: 1992,"Al Pacino
Scent of a Woman"
"Al Pacino
Scent of a Woman",Best Actor: 1992
Best Actor: 2001,"Denzel Washington
Training Day"
"Denzel Washington
Training Day",Best Actor: 2001
Best Actor: 2012,"Daniel Day-Lewis (3/3)
Lincoln"
"Daniel Day-Lewis (3/3)
Lincoln",Best Actor: 2012
Best Actor: 1996,"Geoffrey Rush
Shine"
"Geoffrey Rush
Shine",Best Actor: 1996
Best Actor: 2019,"Joaquin Phoenix
Joker"
"Joaquin Phoenix
Joker",Best Actor: 2019
Best Actor: 1997,"Jack Nicholson (2/2)
As Good as It Gets"
"Jack Nicholson (2/2)
As Good as It Gets",Best Actor: 1997
Best Actor: 1983,"Robert Duvall
Tender Mercies"
"Robert Duvall
Tender Mercies",Best Actor: 1983
Best Actor: 2009,"Jeff Bridges
Crazy Heart"
"Jeff Bridges
Crazy Heart",Best Actor: 2009
Best Actor: 1998,"Roberto Benigni
Life is Beautiful"
"Roberto Benigni
Life is Beautiful",Best Actor: 1998
Best Actor: 2017,"Gary Oldman
Darkest Hour"
"Gary Oldman
Darkest Hour",Best Actor: 2017
Best Actor: 2014,"Eddie Redmayne
The Theory of Everything"
"Eddie Redmayne
The Theory of Everything",Best Actor: 2014
Best Actor: 1985,"William Hurt
Kiss of the Spider Woman"
"William Hurt
Kiss of the Spider Woman",Best Actor: 1985
Best Actor: 1990,"Jeremy Irons
Reversal of Fortune"
"Jeremy Irons
Reversal of Fortune",Best Actor: 1990
Best Actor: 1987,"Michael Douglas
Wall Street"
"Michael Douglas
Wall Street",Best Actor: 1987
Best Actor: 1986,"Paul Newman
The Color of Money"
"Paul Newman
The Color of Money",Best Actor: 1986
Best Actor: 2007,"Daniel Day-Lewis (2/3)
There Will Be Blood"
"Daniel Day-Lewis (2/3)
There Will Be Blood",Best Actor: 2007
Best Actor: 2006,"Forest Whitaker
The Last King of Scotland"
"Forest Whitaker
The Last King of Scotland",Best Actor: 2006
Best Actor: 2005,"Philip Seymour Hoffman
Capote"
"Philip Seymour Hoffman
Capote",Best Actor: 2005
Best Actor: 2003,"Sean Penn (1/2)
Mystic River"
"Sean Penn (1/2)
Mystic River",Best Actor: 2003
Best Actor: 2002,"Adrian Brody (1/2)
The Pianist"
"Adrian Brody (1/2)
The Pianist",Best Actor: 2002
Best Actor: 2024,"Adrian Brody (2/2)
The Brutalist"
"Adrian Brody (2/2)
The Brutalist",Best Actor: 2024
Best Actor: 1979,"Dustin Hoffman (1/2)
Kramer vs. Kramer"
