2022,"Michelle Yeoh
Everything Everywhere All at Once"
"Michelle Yeoh
Everything Everywhere All at Once",2022
2004,"Hilary Swank (2/2)
Million Dollar Baby"
"Hilary Swank (2/2)
Million Dollar Baby",2004
"2021
","Jessica Chastain
The Eyes of Tammy Faye"
"Jessica Chastain
The Eyes of Tammy Faye","2021
"
2009,"Sandra Bullock
The Blind Side"
"Sandra Bullock
The Blind Side",2009
2012,"Jennifer Lawrence
Silver Linings Playbook"
"Jennifer Lawrence
Silver Linings Playbook",2012
2003,"Charlize Theron
Monster"
"Charlize Theron
Monster",2003
2018,"Olivia Colman
The Favourite"
"Olivia Colman
The Favourite",2018
1986,"Marlee Matlin
Children of a Lesser God"
"Marlee Matlin
Children of a Lesser God",1986
2015,"Brie Larson
Room"
"Brie Larson
Room",2015
2000,"Julia Roberts
Erin Brockovich"
"Julia Roberts
Erin Brockovich",2000
1989,"Jessica Tandy
Driving Miss Daisy"
"Jessica Tandy
Driving Miss Daisy",1989
1997,"Helen Hunt
As Good as It Gets"
"Helen Hunt
As Good as It Gets",1997
2013,"Cate Blanchett
Blue Jasmine"
"Cate Blanchett
Blue Jasmine",2013
2017,"Frances McDormand (2/3)
Three Billboards Outside Ebbing, Missouri"
"Frances McDormand (2/3)
Three Billboards Outside Ebbing, Missouri",2017
2010,"Natalie Portman
Black Swan"
"Natalie Portman
Black Swan",2010
2023,"Emma Stone (2/2)
Poor Things"
"Emma Stone (2/2)
Poor Things",2023
1981,"Katharine Hepburn (4/4)
On Golden Pond"
"Katharine Hepburn (4/4)
On Golden Pond",1981
2001,"Halle Berry
Monster's Ball"
"Halle Berry
Monster's Ball",2001
1994,"Jessica Lange
Blue Sky"
"Jessica Lange
Blue Sky",1994
2019,"Renee Zellweger
Judy"
"Renee Zellweger
Judy",2019
2007,"Marion Cotillard
La Vie en Rose"
"Marion Cotillard
La Vie en Rose",2007
2005,"Reese Witherspoon
Walk the Line"
"Reese Witherspoon
Walk the Line",2005
2020,"Frances McDormand (3/3)
Nomadland"
"Frances McDormand (3/3)
Nomadland",2020
2011,"Meryl Streep (2/2)
The Iron Lady"
"Meryl Streep (2/2)
The Iron Lady",2011
2008,"Kate Winslet
The Reader"
"Kate Winslet
The Reader",2008
2006,"Helen Mirren
The Queen"
"Helen Mirren
The Queen",2006
2002,"Nicole Kidman
The Hours"
"Nicole Kidman
The Hours",2002
1995,"Susan Sarandon
Dean Man Walking"
"Susan Sarandon
Dean Man Walking",1995
1993,"Holly Hunter
The Piano"
"Holly Hunter
The Piano",1993
1984,"Sally Field (2/2)
Places in the Heart"
"Sally Field (2/2)
Places in the Heart",1984
2014,"Julianne Moore
Still Alice"
"Julianne Moore
Still Alice",2014
1999,"Hilary Swank (1/2)
Boys Don't Cry"
"Hilary Swank (1/2)
Boys Don't Cry",1999
1998,"Gwyneth Paltrow
Shakespeare in Love"
"Gwyneth Paltrow
Shakespeare in Love",1998
1996,"Frances McDormand (1/3)
Fargo"
"Frances McDormand (1/3)
Fargo",1996
1992,"Emma Thompson
Howards End"
"Emma Thompson
Howards End",1992
1990,"Kathy Bates
Misery"
"Kathy Bates
Misery",1990
1988,"Jodie Foster (1/2)
The Accused"
"Jodie Foster (1/2)
The Accused",1988
1987,"Cher
Moonstruck"
"Cher
Moonstruck",1987
1985,"Geraldine Page
The Trip to Bountiful"
"Geraldine Page
The Trip to Bountiful",1985
1983,"Shirley MacLaine
Terms of Endearment"
"Shirley MacLaine
Terms of Endearment",1983
1982,"Meryl Streep (1/2)
Sophie's Choice"
"Meryl Streep (1/2)
Sophie's Choice",1982
1980,"Sissy Spacek
Coal Miner's Daughter"
"Sissy Spacek
Coal Miner's Daughter",1980
2016,"Emma Stone (1/2)
La La Land"
"Emma Stone (1/2)
La La Land",2016
1991,"Jodie Foster (2/2)
The Silence of the Lambs"
"Jodie Foster (2/2)
The Silence of the Lambs",1991
2024,"Mikey Madison
Anora"
"Mikey Madison
Anora",2024
1979,"Sally Field (1/2)
Norma Rae"
"Sally Field (1/2)
Norma Rae",1979
1978,"Jane Fonda (2/2)
Coming Home"
"Jane Fonda (2/2)
Coming Home",1978
1977,"Diane Keaton
Annie Hall"
"Diane Keaton
Annie Hall",1977
1976,"Faye Dunaway
Network"
"Faye Dunaway
Network",1976
1975,"Louise Fletcher
One Flew Over the Cuckoo's Nest"
"Louise Fletcher
One Flew Over the Cuckoo's Nest",1975
1974,"Ellen Burstyn
Alice Doesn't Live Here Anymore"
"Ellen Burstyn
Alice Doesn't Live Here Anymore",1974
1973,"Glenda Jackson (2/2)
A Touch of Class"
"Glenda Jackson (2/2)
A Touch of Class",1973
1972,"Liza Minelli
Cabaret"
"Liza Minelli
Cabaret",1972
1971,"Jane Fonda (1/2)
Klute"
"Jane Fonda (1/2)
Klute",1971
1970,"Glenda Jackson (1/2)
Women in Love"
"Glenda Jackson (1/2)
Women in Love",1970
2025,"Jessie Buckley
Hamnet"
"Jessie Buckley
Hamnet",2025
