2024,"Sean Baker
Anora"
"Sean Baker
Anora",2024
2023,"Christopher Nolan
Oppenheimer"
"Christopher Nolan
Oppenheimer",2023
2022,"Daniel Kwan & Daniel Scheinert
Everything Everywhere All at Once"
"Daniel Kwan & Daniel Scheinert
Everything Everywhere All at Once",2022
2021,"Jane Campion
The Power of the Dog"
"Jane Campion
The Power of the Dog",2021
2020,"Chloe Zhao
Nomadland"
"Chloe Zhao
Nomadland",2020
2019,"Bong Joon-ho
Parasite"
"Bong Joon-ho
Parasite",2019
2018,"Alfonso Cuaron (2/2)
Roma"
"Alfonso Cuaron (2/2)
Roma",2018
2017,"Guillermo del Toro
The Shape of Water"
"Guillermo del Toro
The Shape of Water",2017
2016,"Damien Chazelle
La La Land"
"Damien Chazelle
La La Land",2016
2015,"Alejandro G. Inarritu (2/2)
The Revenant"
"Alejandro G. Inarritu (2/2)
The Revenant",2015
2014,"Alejandro G. Inarritu (1/2)
Birdman"
"Alejandro G. Inarritu (1/2)
Birdman",2014
2013,"Anfonso Cuaron (1/2)
Gravity"
"Anfonso Cuaron (1/2)
Gravity",2013
2012,"Ang Lee (2/2)
Life of Pi"
"Ang Lee (2/2)
Life of Pi",2012
2011,"Michel Hazanavicius
The Artist"
"Michel Hazanavicius
The Artist",2011
2010,"Tom Hooper
The King's Speech"
"Tom Hooper
The King's Speech",2010
2009,"Kathryn Bigelow
The Hurt Locker"
"Kathryn Bigelow
The Hurt Locker",2009
2008,"Danny Boyle
Slumdog Millionaire"
"Danny Boyle
Slumdog Millionaire",2008
2007,"Joel Coen & Ethan Coen
No Country for Old Men"
"Joel Coen & Ethan Coen
No Country for Old Men",2007
2006,"Martin Scorsese
The Departed"
"Martin Scorsese
The Departed",2006
2005,"Ang Lee (1/2)
Brokeback Mountain"
"Ang Lee (1/2)
Brokeback Mountain",2005
2004,"Clint Eastwood (2/2)
Million Dollar Baby"
"Clint Eastwood (2/2)
Million Dollar Baby",2004
2003,"Peter Jackson
The Lord of the Rings: The Return of the King"
"Peter Jackson
The Lord of the Rings: The Return of the King",2003
2002,"Roman Polanski
The Pianist"
"Roman Polanski
The Pianist",2002
2001,"Ron Howard
A Beautiful Mind"
"Ron Howard
A Beautiful Mind",2001
2000,"Steven Soderbergh
Traffic"
"Steven Soderbergh
Traffic",2000
1999,"Sam Mendes
American Beauty"
"Sam Mendes
American Beauty",1999
1998,"Steven Spielberg (2/2)
Saving Private Ryan"
"Steven Spielberg (2/2)
Saving Private Ryan",1998
1997,"James Cameron
Titanic"
"James Cameron
Titanic",1997
1996,"Anthony Minghella
The English Patient"
"Anthony Minghella
The English Patient",1996
1995,"Mel Gibson
Braveheart"
"Mel Gibson
Braveheart",1995
1994,"Robert Zemeckis
Forrest Gump"
"Robert Zemeckis
Forrest Gump",1994
1993,"Steven Spielberg (1/2)
Schindler's List"
"Steven Spielberg (1/2)
Schindler's List",1993
1992,"Clint Eastwood (1/2)
Unforgiven"
"Clint Eastwood (1/2)
Unforgiven",1992
1991,"Jonathan Demme
The Silence of the Lambs"
"Jonathan Demme
The Silence of the Lambs",1991
1990,"Kevin Costner
Dances With Wolves"
"Kevin Costner
Dances With Wolves",1990
1989,"Oliver Stone (2/2)
Born on the Fourth of July"
"Oliver Stone (2/2)
Born on the Fourth of July",1989
1988,"Barry Levinson
Rain Man"
"Barry Levinson
Rain Man",1988
1987,"Bernardo Bertolucci 
The Last Emperor"
"Bernardo Bertolucci 
The Last Emperor",1987
1986,"Oliver Stone (1/2)
Platoon"
"Oliver Stone (1/2)
Platoon",1986
1985,"Sydney Pollack
Out of Africa"
"Sydney Pollack
Out of Africa",1985
1984,"Milos Forman (2/2)
Amadeus"
"Milos Forman (2/2)
Amadeus",1984
1983,"James L. Brooks
Terms of Endearment"
"James L. Brooks
Terms of Endearment",1983
1982,"Richard Attenborough
Gandhi"
"Richard Attenborough
Gandhi",1982
1981,"Warren Beatty
Reds"
"Warren Beatty
Reds",1981
1980,"Robert Redford
Ordinary People"
"Robert Redford
Ordinary People",1980
2025,"Paul Thomas Anderson
One Battle After Another"
"Paul Thomas Anderson
One Battle After Another",2025
