"Atomic Number: 10
Period: 2
Group: 18
Type: Noble Gas ",Neon (Ne)
Neon (Ne),"Atomic Number: 10
Period: 2
Group: 18
Type: Noble Gas "
"Atomic Number: 12
Period: 3
Group: 2
Type: Alkali Earth Metal ",Magnesium (Mg)
Magnesium (Mg),"Atomic Number: 12
Period: 3
Group: 2
Type: Alkali Earth Metal "
"Atomic Number: 18
Period: 3
Group: 18
Type: Noble Gas ",Argon (Ar)
Argon (Ar),"Atomic Number: 18
Period: 3
Group: 18
Type: Noble Gas "
"Atomic Number: 16
Period: 3
Group: 16
Type: Reactive Nonmetal ",Sulfur (S)
Sulfur (S),"Atomic Number: 16
Period: 3
Group: 16
Type: Reactive Nonmetal "
"Atomic Number: 1
Period: 1
Group: 1
Type: Reactive Nonmetal",Hydrogen (H)
Hydrogen (H),"Atomic Number: 1
Period: 1
Group: 1
Type: Reactive Nonmetal"
"Atomic Number: 3
Period: 2
Group: 1
Type: Alkali Metal",Lithium (Li)
Lithium (Li),"Atomic Number: 3
Period: 2
Group: 1
Type: Alkali Metal"
"Atomic Number: 4
Period: 2
Group: 2
Type: Alkali Earth Metal",Beryllium (Be)
Beryllium (Be),"Atomic Number: 4
Period: 2
Group: 2
Type: Alkali Earth Metal"
"Atomic Number: 20
Period: 4
Group: 2
Type: Alkali Earth Metal ",Calcium (Ca)
Calcium (Ca),"Atomic Number: 20
Period: 4
Group: 2
Type: Alkali Earth Metal "
"Atomic Number: 2
Period: 1
Group: 18
Type: Noble Gas",Helium (He)
Helium (He),"Atomic Number: 2
Period: 1
Group: 18
Type: Noble Gas"
"Atomic Number: 5
Period: 2
Group: 13
Type: Metalloid",Boron (B)
Boron (B),"Atomic Number: 5
Period: 2
Group: 13
Type: Metalloid"
"Atomic Number: 6
Period: 2
Group: 14
Type: Reactive Nonmetal ",Carbon (C)
Carbon (C),"Atomic Number: 6
Period: 2
Group: 14
Type: Reactive Nonmetal "
"Atomic Number: 7
Period: 2
Group: 15
Type: Reactive Nonmetal",Nitrogen (N)
Nitrogen (N),"Atomic Number: 7
Period: 2
Group: 15
Type: Reactive Nonmetal"
"Atomic Number: 8
Period: 2
Group: 16
Type: Reactive Nonmetal",Oxygen (O)
Oxygen (O),"Atomic Number: 8
Period: 2
Group: 16
Type: Reactive Nonmetal"
"Atomic Number: 9
Period: 2
Group: 17
Type: Reactive Nonmetal",Fluorine (F)
Fluorine (F),"Atomic Number: 9
Period: 2
Group: 17
Type: Reactive Nonmetal"
"Atomic Number: 11
Period: 3
Group: 1
Type: Alkali Metal",Sodium (Na)
Sodium (Na),"Atomic Number: 11
Period: 3
Group: 1
Type: Alkali Metal"
"Atomic Number: 13
Period: 3
Group: 13
Type: Post-Transition Metal",Aluminum (Al)
Aluminum (Al),"Atomic Number: 13
Period: 3
Group: 13
Type: Post-Transition Metal"
"Atomic Number: 14
Period: 3
Group: 14
Type: Metalloid",Silicon (Si)
Silicon (Si),"Atomic Number: 14
Period: 3
Group: 14
Type: Metalloid"
"Atomic Number: 15
Period: 3
Group: 15
Type: Reactive Nonmetal ",Phosphorus (P)
Phosphorus (P),"Atomic Number: 15
Period: 3
Group: 15
Type: Reactive Nonmetal "
"Atomic Number: 17
Period: 3
Group: 17
Type: Reactive Nonmetal ",Chlorine (Cl)
Chlorine (Cl),"Atomic Number: 17
Period: 3
Group: 17
Type: Reactive Nonmetal "
"Atomic Number: 19
Period: 4
Group: 1
Type: Alkali Metal ",Potassium (K)
Potassium (K),"Atomic Number: 19
Period: 4
Group: 1
Type: Alkali Metal "
