"George Washington
1789-1797","Affiliation: Virginia (1/5)
Birthplace: Virginia (1/8)"
"Affiliation: Virginia (1/5)
Birthplace: Virginia (1/8)","George Washington
1789-1797"
"John Adams
1797-1801","Affiliation: Massachusetts (1/4)
Birthplace: Massachusetts (1/4)"
"Affiliation: Massachusetts (1/4)
Birthplace: Massachusetts (1/4)","John Adams
1797-1801"
"Thomas Jefferson
1801-1809","Affiliation: Virginia (2/5)
Birthplace: Virginia (2/8)"
"Affiliation: Virginia (2/5)
Birthplace: Virginia (2/8)","Thomas Jefferson
1801-1809"
"James Madison
1809-1817","Affiliation: Virginia (3/5)
Birthplace: Virginia (3/8)"
"Affiliation: Virginia (3/5)
Birthplace: Virginia (3/8)","James Madison
1809-1817"
"James Monroe
1817-1825","Affiliation: Virginia (4/5)
Birthplace: Virginia (4/8)"
"Affiliation: Virginia (4/5)
Birthplace: Virginia (4/8)","James Monroe
1817-1825"
"John Quincy Adams
1825-1829","Affiliation: Massachusetts (2/4)
Birthplace: Massachusetts (2/4)"
"Affiliation: Massachusetts (2/4)
Birthplace: Massachusetts (2/4)","John Quincy Adams
1825-1829"
"Andrew Jackson
1829-1837","Affiliation: Tennessee (1/3)
Birthplace: South Carolina (1/1)"
"Affiliation: Tennessee (1/3)
Birthplace: South Carolina (1/1)","Andrew Jackson
1829-1837"
"Martin Van Buren
1837-1841","Affiliation: New York (1/7)
Birthplace: New York (1/5)"
"Affiliation: New York (1/7)
Birthplace: New York (1/5)","Martin Van Buren
1837-1841"
"William Henry Harrison
1841-1841","Affiliation: Ohio (1/6)
Birthplace: Virginia (5/8)"
"Affiliation: Ohio (1/6)
Birthplace: Virginia (5/8)","William Henry Harrison
1841-1841"
"John Tyler
1841-1845","Affiliation: Virginia (5/5)
Birthplace: Virginia (6/8)"
"Affiliation: Virginia (5/5)
Birthplace: Virginia (6/8)","John Tyler
1841-1845"
"James K. Polk
1845-1849","Affiliation: Tennessee (2/3)
Birthplace: North Carolina (1/2)"
"Affiliation: Tennessee (2/3)
Birthplace: North Carolina (1/2)","James K. Polk
1845-1849"
"Zachary Taylor
1849-1850","Affiliation: Kentucky (1/1)
Birthplace: Virginia (7/8)"
"Affiliation: Kentucky (1/1)
Birthplace: Virginia (7/8)","Zachary Taylor
1849-1850"
