"Tragedy
1606-1607",Antony and Cleopatra
Antony and Cleopatra,"Tragedy
1606-1607"
"Tragedy
1607-1608 (1/2)",Coriolanus
Coriolanus,"Tragedy
1607-1608 (1/2)"
"Tragedy
1600-1601",Hamlet
Hamlet,"Tragedy
1600-1601"
"Tragedy
1599-1600",Julius Caesar
Julius Caesar,"Tragedy
1599-1600"
"Tragedy
1605-1606 (1/2)",King Lear
King Lear,"Tragedy
1605-1606 (1/2)"
"Tragedy
1605-1606 (2/2)",Macbeth
Macbeth,"Tragedy
1605-1606 (2/2)"
"Tragedy
1604-1605",Othello
Othello,"Tragedy
1604-1605"
"Tragedy
1594-1595",Romeo and Juliet
Romeo and Juliet,"Tragedy
1594-1595"
"Tragedy
1607-1608 (2/2)",Timon of Athens
Timon of Athens,"Tragedy
1607-1608 (2/2)"
"Tragedy
1593-1594",Titus Andronicus
Titus Andronicus,"Tragedy
1593-1594"
"Tragedy
1601-1602",Troilus and Cressida
Troilus and Cressida,"Tragedy
1601-1602"
"Comedy
1602-1603",All's Well That Ends Well
All's Well That Ends Well,"Comedy
1602-1603"
"Comedy
1599-1600 (1/2)",As You Like It
As You Like It,"Comedy
1599-1600 (1/2)"
"Comedy
1592-1593",The Comedy of Errors
The Comedy of Errors,"Comedy
1592-1593"
"Comedy
1609-1610",Cymbeline
Cymbeline,"Comedy
1609-1610"
"Comedy
1594-1595 (1/2)",Love's Labours Lost
Love's Labours Lost,"Comedy
1594-1595 (1/2)"
"Comedy
1604-1605",Measure for Measure
Measure for Measure,"Comedy
1604-1605"
"Comedy
1596-1597",The Merchant of Venice
The Merchant of Venice,"Comedy
1596-1597"
"Comedy
1600-1601",The Merry Wives of Windsor
The Merry Wives of Windsor,"Comedy
1600-1601"
"Comedy
1595-1596",A Midsummer Night's Dream
A Midsummer Night's Dream,"Comedy
1595-1596"
"Comedy
1598-1599",Much Ado About Nothing
Much Ado About Nothing,"Comedy
1598-1599"
"Comedy
1608-1609","Pericles, Prince of Tyre"
"Pericles, Prince of Tyre","Comedy
1608-1609"
"Comedy
1593-1594",The Taming of the Shrew
The Taming of the Shrew,"Comedy
1593-1594"
"Comedy
1611-1612",The Tempest
The Tempest,"Comedy
1611-1612"
"Comedy
1599-1600 (2/2)",Twelfth Night
Twelfth Night,"Comedy
1599-1600 (2/2)"
"Comedy
1594-1595 (2/2)",Two Gentlemen of Verona
Two Gentlemen of Verona,"Comedy
1594-1595 (2/2)"
"Comedy
1612-1613",The Two Noble Kinsmen
The Two Noble Kinsmen,"Comedy
1612-1613"
"Comedy
1610-1611",The Winter's Tale
The Winter's Tale,"Comedy
1610-1611"
"History
1597-1598 (1/2)","Henry IV, Part 1"
"Henry IV, Part 1","History
1597-1598 (1/2)"
"History
1597-1598 (2/2)","Henry IV, Part 2"
"Henry IV, Part 2","History
1597-1598 (2/2)"
"History
1598-1599",Henry V
Henry V,"History
1598-1599"
"History
1591-1592 (1/3)","Henry VI, Part 1"
"Henry VI, Part 1","History
1591-1592 (1/3)"
"History
1591-1592 (2/3)","Henry VI, Part 2"
"Henry VI, Part 2","History
1591-1592 (2/3)"
"History
1591-1592 (3/3)","Henry VI, Part 3"
"Henry VI, Part 3","History
1591-1592 (3/3)"
"History
1612-1613",Henry VIII
Henry VIII,"History
1612-1613"
"History
1596-1597",King John
King John,"History
1596-1597"
"History
1595-1596",Richard II
Richard II,"History
1595-1596"
"History
1592-1593",Richard III
Richard III,"History
1592-1593"
"History
1592-1594",Edward III
Edward III,"History
1592-1594"
