"3 Years
1990-1993",Chris Rock
Chris Rock,"3 Years
1990-1993"
"8 Years
2014-2022",Pete Davidson
Pete Davidson,"8 Years
2014-2022"
"6 Years
2010-2016",Jay Pharoah 
Jay Pharoah ,"6 Years
2010-2016"
"23 Years
2003-Present",Keenan Thompson
Keenan Thompson,"23 Years
2003-Present"
"11 Years
2002-2013",Fred Armisen 
Fred Armisen ,"11 Years
2002-2013"
"10 Years
2012-2022",Aidy Bryant
Aidy Bryant,"10 Years
2012-2022"
"5 Years
1985-1990",Jon Lovitz
Jon Lovitz,"5 Years
1985-1990"
"5 Years
1993-1998",Norm Macdonald 
Norm Macdonald ,"5 Years
1993-1998"
"4 Years
1975-1979
(Not Dan Aykroyd)",John Belushi
John Belushi,"4 Years
1975-1979
(Not Dan Aykroyd)"
"4 Years
1980-1984",Eddie Murphy
Eddie Murphy,"4 Years
1980-1984"
"4 Years
1990-1994",Rob Schneider 
Rob Schneider ,"4 Years
1990-1994"
"13 Years
2001-2014",Seth Meyers
Seth Meyers,"13 Years
2001-2014"
"12 Years
2014-Present
(Not Colin Jost)",Michael Che
Michael Che,"12 Years
2014-Present
(Not Colin Jost)"
"11 Years
1977-1980, 1986, 1988-1995",Al Franken
Al Franken,"11 Years
1977-1980, 1986, 1988-1995"
"9 Years
2000-2007",Maya Rudolph
Maya Rudolph,"9 Years
2000-2007"
"7 Years
1996-2003",Tracy Morgan
Tracy Morgan,"7 Years
1996-2003"
"5 Years
1991-1995",Adam Sandler 
Adam Sandler ,"5 Years
1991-1995"
"13 Years
2014-Present
(Not Michael Che)",Colin Jost
Colin Jost,"13 Years
2014-Present
(Not Michael Che)"
"10 Years
1991-2000",Tim Meadows
Tim Meadows,"10 Years
1991-2000"
"8 Years
2013-2021",Beck Bennett
Beck Bennett,"8 Years
2013-2021"
"8 Years
1998-2006",Horatio Sanz 
Horatio Sanz ,"8 Years
1998-2006"
"7 Years
2005-2012
(Not Andy Samberg)",Kristen Wiig 
Kristen Wiig ,"7 Years
2005-2012
(Not Andy Samberg)"
"5 Years
1990-1995",Chris Farley
Chris Farley,"5 Years
1990-1995"
"4 Years
1975-1979
(Not John Belushi)",Dan Aykroyd
Dan Aykroyd,"4 Years
1975-1979
(Not John Belushi)"
"2 Years
1975-1976",Chevy Chase 
Chevy Chase ,"2 Years
1975-1976"
"1 Year
1984-1985
(Not Martin Short)",Billy Crystal 
Billy Crystal ,"1 Year
1984-1985
(Not Martin Short)"
"1 Year
1985-1986
(Not Robert Downey Jr.)",Joan Cusack
Joan Cusack,"1 Year
1985-1986
(Not Robert Downey Jr.)"
"1 Year 
1985-1986
(Not Joan Cusack)",Robert Downey Jr.
Robert Downey Jr.,"1 Year 
1985-1986
(Not Joan Cusack)"
"14 Years
1995-2009",Darrell Hammond 
Darrell Hammond ,"14 Years
1995-2009"
"11 Years
2012-2022
(Not Cecily Strong)",Kate McKinnon
Kate McKinnon,"11 Years
2012-2022
(Not Cecily Strong)"
"8 Years
2002-2010",Will Forte
Will Forte,"8 Years
2002-2010"
"5 Years
1975-1980",Gilda Radner
Gilda Radner,"5 Years
1975-1980"
"3 Years
1982-1985",Julia Louis-Dreyfus
Julia Louis-Dreyfus,"3 Years
1982-1985"
"1 Year
1989",Ben Stiller 
Ben Stiller ,"1 Year
1989"
"10 Years
2016-Present",Mikey Day
Mikey Day,"10 Years
2016-Present"
"7 Years
1986-1993",Dana Carvey
Dana Carvey,"7 Years
1986-1993"
"6 Years
2000-2006",Tina Fey
Tina Fey,"6 Years
2000-2006"
"1 Year 
1993-1994",Sarah Silverman 
Sarah Silverman ,"1 Year 
1993-1994"
"9 Years
2013-2022",Kyle Mooney
Kyle Mooney,"9 Years
2013-2022"
"9 Years
2008-2017",Bobby Moynihan 
Bobby Moynihan ,"9 Years
2008-2017"
"6 Years
1990-1996",David Spade
David Spade,"6 Years
1990-1996"
"1 Year
1984-1985
(Not Billy Crystal)",Martin Short
Martin Short,"1 Year
1984-1985
(Not Billy Crystal)"
"8 Years
2001-2008",Amy Poehler
Amy Poehler,"8 Years
2001-2008"
"7 Years
2005-2012
(Not Kristen Wiig)",Andy Samberg
Andy Samberg,"7 Years
2005-2012
(Not Kristen Wiig)"
"11 Years
2012-2022
(Not Kate McKinnon)",Cecily Strong 
Cecily Strong ,"11 Years
2012-2022
(Not Kate McKinnon)"
"8 Years
2005-2013",Bill Hader
Bill Hader,"8 Years
2005-2013"
"8 Years
1996-2003",Chris Kattan
Chris Kattan,"8 Years
1996-2003"
"6 Years
1998-2004",Jimmy Fallon
Jimmy Fallon,"6 Years
1998-2004"
"9 Years
1986-1995",Kevin Nealon
Kevin Nealon,"9 Years
1986-1995"
"8 Years
1998-2001, 2002-2006",Chris Parnell
Chris Parnell,"8 Years
1998-2001, 2002-2006"
"7 Years
1995-2002",Will Ferrell
Will Ferrell,"7 Years
1995-2002"
"9 Years
2005-2013",Jason Sudekis
Jason Sudekis,"9 Years
2005-2013"
"7 Years
1999-2006",Rachel Dratch
Rachel Dratch,"7 Years
1999-2006"
"7 Years
1995-2001",Molly Shannon
Molly Shannon,"7 Years
1995-2001"
"8 Years
1986-1994",Phil Hartman
Phil Hartman,"8 Years
1986-1994"
"7 Years
1989-1995",Mike Myers
Mike Myers,"7 Years
1989-1995"
"4 Years
1977-1980",Bill Murray
Bill Murray,"4 Years
1977-1980"
