"10 Times
1976-1980",Buck Henry
Buck Henry,"10 Times
1976-1980"
"17 Times
1990-2017",Alec Baldwin
Alec Baldwin,"17 Times
1990-2017"
"5 Times
2018-2022",John Mulaney
John Mulaney,"5 Times
2018-2022"
"5 Times
1989-2023",Woody Harrelson
Woody Harrelson,"5 Times
1989-2023"
"6 Times
2008-2018",Tina Fey
Tina Fey,"6 Times
2008-2018"
"5 Times
2000-2017",Dwayne Johnson
Dwayne Johnson,"5 Times
2000-2017"
"5 Times
2008-2018",Jonah Hill
Jonah Hill,"5 Times
2008-2018"
"10 Times
1985-2020",Tom Hanks
Tom Hanks,"10 Times
1985-2020"
"13 Times
1989-2013",John Goodman
John Goodman,"13 Times
1989-2013"
"5 Times
2000-2013",Ben Affleck 
Ben Affleck ,"5 Times
2000-2013"
"8 Times
1978-1997",Chevy Chase
Chevy Chase,"8 Times
1978-1997"
"16 Times
1976-2022",Steve Martin
Steve Martin,"16 Times
1976-2022"
"4 Times
1975-1987",Paul Simon
Paul Simon,"4 Times
1975-1987"
"6 Times
1982-1999",Danny DeVito
Danny DeVito,"6 Times
1982-1999"
"5 Times
1981-1999",Bill Murray
Bill Murray,"5 Times
1981-1999"
"6 Times
2006-2018",Scarlett Johansson
Scarlett Johansson,"6 Times
2006-2018"
"5 Times
2010-2023",Emma Stone
Emma Stone,"5 Times
2010-2023"
"5 Times
2013-2024",Kristen Wiig
Kristen Wiig,"5 Times
2013-2024"
"7 Times
1990-2008",Christopher Walken
Christopher Walken,"7 Times
1990-2008"
"6 Times
1982-2009",Drew Barrymore
Drew Barrymore,"6 Times
1982-2009"
"5 Times
2011-2017",Melissa McCarthy 
Melissa McCarthy ,"5 Times
2011-2017"
"5 Times
2008-2021",Paul Rudd
Paul Rudd,"5 Times
2008-2021"
"6 Times 
1976-1980",Elliot Gould
Elliot Gould,"6 Times 
1976-1980"
"5 Times
1975-1990",Candice Bergen
Candice Bergen,"5 Times
1975-1990"
"5 Times
2003-2013",Justin Timberlake 
Justin Timberlake ,"5 Times
2003-2013"
"5 Times
2005-2019",Will Ferrell
Will Ferrell,"5 Times
2005-2019"
"5 Times
1986-2024",Martin Short
Martin Short,"5 Times
1986-2024"
