1946-1952,"Trygve Lie
Norway"
"Trygve Lie
Norway",1946-1952
1953-1961,"Dag Hammarskjold
Sweden"
"Dag Hammarskjold
Sweden",1953-1961
1961-1971,"U Thant
Myanmar"
"U Thant
Myanmar",1961-1971
1972-1981,"Kurt Waldheim
Austria"
"Kurt Waldheim
Austria",1972-1981
1982-1991,"Javier Perez de Cuellar
Peru"
"Javier Perez de Cuellar
Peru",1982-1991
1992-1996,"Boutros Boutros-Ghali
Egypt"
"Boutros Boutros-Ghali
Egypt",1992-1996
1997-2006,"Kofi Annan
Ghana"
"Kofi Annan
Ghana",1997-2006
2007-2016,"Ban Ki-moon
Republic of Korea"
"Ban Ki-moon
Republic of Korea",2007-2016
2017-Present,"Antonio Guterres
Portugal"
"Antonio Guterres
Portugal",2017-Present
