"Illinois
2.7 million
Most Populous",Chicago
Chicago,"Illinois
2.7 million
Most Populous"
"California
3.8 million
Most Populous",Los Angeles
Los Angeles,"California
3.8 million
Most Populous"
"Kansas
400,000
Most Populous",Wichita
Wichita,"Kansas
400,000
Most Populous"
"Oklahoma
700,000
Most Populous + Capital",Oklahoma City 
Oklahoma City ,"Oklahoma
700,000
Most Populous + Capital"
"Maryland
570,000
Most Populous",Baltimore
Baltimore,"Maryland
570,000
Most Populous"
"Minnesota
430,000
Most Populous",Minneapolis 
Minneapolis ,"Minnesota
430,000
Most Populous"
"Texas
2.3 million
Most Populous",Houston
Houston,"Texas
2.3 million
Most Populous"
"New York
8.3 million
Most Populous",New York City 
New York City ,"New York
8.3 million
Most Populous"
"Pennsylvania
1.6 million
Most Populous",Philadelphia
Philadelphia,"Pennsylvania
1.6 million
Most Populous"
"Arizona
1.7 million
Most Populous + Capital",Phoenix
Phoenix,"Arizona
1.7 million
Most Populous + Capital"
"Colorado
720,000
Most Populous + Capital",Denver
Denver,"Colorado
720,000
Most Populous + Capital"
"Indiana
880,000
Most Populous + Capital",Indianapolis
Indianapolis,"Indiana
880,000
Most Populous + Capital"
"Massachusetts
700,000
Most Populous + Capital",Boston
Boston,"Massachusetts
700,000
Most Populous + Capital"
"Puerto Rico
340,000
Most Populous + Capital",San Juan
San Juan,"Puerto Rico
340,000
Most Populous + Capital"
"Vermont
45,000
Most Populous",Burlington
Burlington,"Vermont
45,000
Most Populous"
"District of Columbia
680,000
Most Populous + Capital","Washington, D.C."
"Washington, D.C.","District of Columbia
680,000
Most Populous + Capital"
"Ohio
910,000
Most Populous + Capital",Columbus 
Columbus ,"Ohio
910,000
Most Populous + Capital"
"Wisconsin
560,000
Most Populous",Milwaukee 
Milwaukee ,"Wisconsin
560,000
Most Populous"
"Alaska
290,000
Most Populous",Anchorage
Anchorage,"Alaska
290,000
Most Populous"
"Guam
45,000
Most Populous",Dededo
Dededo,"Guam
45,000
Most Populous"
"Hawaii
350,000
Most Populous + Capital",Honolulu
Honolulu,"Hawaii
350,000
Most Populous + Capital"
"Idaho
240,000
Most Populous + Capital",Boise
Boise,"Idaho
240,000
Most Populous + Capital"
"Kentucky
620,000
Most Populous",Louisville 
Louisville ,"Kentucky
620,000
Most Populous"
"Missouri
510,000
Most Populous",Kansas City
Kansas City,"Missouri
510,000
Most Populous"
"New Jersey
300,000
Most Populous",Newark
Newark,"New Jersey
300,000
Most Populous"
"New Mexico
560,000
Most Populous",Albuquerque 
Albuquerque ,"New Mexico
560,000
Most Populous"
"Rhode Island
190,000
Most Populous + Capital",Providence
Providence,"Rhode Island
190,000
Most Populous + Capital"
"South Carolina
150,000
Most Populous",Charleston (Larger)
Charleston (Larger),"South Carolina
150,000
Most Populous"
"South Dakota
200,000
Most Populous",Sioux Falls
Sioux Falls,"South Dakota
200,000
Most Populous"
"Wyoming
65,000
Most Populous + Capital",Cheyenne
Cheyenne,"Wyoming
65,000
Most Populous + Capital"
"Arkansas
200,000
Most Populous + Capital",Little Rock
Little Rock,"Arkansas
200,000
Most Populous + Capital"
"Delaware
70,000
Most Populous",Wilmington 
Wilmington ,"Delaware
70,000
Most Populous"
"Georgia
500,000
Most Populous + Capital",Atlanta
Atlanta,"Georgia
500,000
Most Populous + Capital"
"Louisiana
370,000
Most Populous",New Orleans 
New Orleans ,"Louisiana
370,000
Most Populous"
"Maine
70,000
Most Populous",Portland (Smaller)
Portland (Smaller),"Maine
70,000
Most Populous"
"Nebraska
480,000
Most Populous",Omaha
Omaha,"Nebraska
480,000
Most Populous"
"Nevada
650,000
Most Populous",Las Vegas
Las Vegas,"Nevada
650,000
Most Populous"
"New Hampshire
120,000
Most Populous",Manchester
Manchester,"New Hampshire
120,000
Most Populous"
"North Carolina
940,000
Most Populous",Charlotte
Charlotte,"North Carolina
940,000
Most Populous"
"North Dakota
130,000
Most Populous",Fargo 
Fargo ,"North Dakota
130,000
Most Populous"
"Northern Mariana Islands
48,000
Most Populous + Capital",Saipan
Saipan,"Northern Mariana Islands
48,000
Most Populous + Capital"
"Tennessee
690,000
Most Populous + Capital",Nashville
Nashville,"Tennessee
690,000
Most Populous + Capital"
"Virgin Islands (U.S.)
18,000
Most Populous + Capital",Charlotte Amalie
Charlotte Amalie,"Virgin Islands (U.S.)
18,000
Most Populous + Capital"
"Virginia
450,000
Most Populous",Virginia Beach 
Virginia Beach ,"Virginia
450,000
Most Populous"
"Washington
780,000
Most Populous",Seattle
Seattle,"Washington
780,000
Most Populous"
"West Virginia
50,000
Most Populous + Capital",Charleston (Smaller)
Charleston (Smaller),"West Virginia
50,000
Most Populous + Capital"
"Alabama
215,000
Most Populous",Huntsville 
Huntsville ,"Alabama
215,000
Most Populous"
"American Samoa
8,000 
Most Populous",Tafuna
Tafuna,"American Samoa
8,000 
Most Populous"
"Connecticut
150,000
Most Populous",Bridgeport 
Bridgeport ,"Connecticut
150,000
Most Populous"
"Florida
990,000
Most Populous",Jacksonville
Jacksonville,"Florida
990,000
Most Populous"
"Iowa
210,000
Most Populous + Capital",Des Moines
Des Moines,"Iowa
210,000
Most Populous + Capital"
"Michigan
620,000
Most Populous",Detroit
Detroit,"Michigan
620,000
Most Populous"
"Mississippi
150,000
Most Populous + Capital",Jackson
Jackson,"Mississippi
150,000
Most Populous + Capital"
"Montana
120,000
Most Populous",Billings
Billings,"Montana
120,000
Most Populous"
"Oregon
630,000
Most Populous",Portland (Larger)
Portland (Larger),"Oregon
630,000
Most Populous"
"Utah
200,000
Most Populous + Capital",Salt Lake City
Salt Lake City,"Utah
200,000
Most Populous + Capital"
"Alaska 
30,000
Capital",Juneau
Juneau,"Alaska 
30,000
Capital"
"California
520,000
Capital",Sacramento 
Sacramento ,"California
520,000
Capital"
"Connecticut 
120,000
Capital",Hartford
Hartford,"Connecticut 
120,000
Capital"
"Delaware 
40,000
Capital",Dover
Dover,"Delaware 
40,000
Capital"
"Florida
200,000
Capital",Tallahassee
Tallahassee,"Florida
200,000
Capital"
"Illinois
110,000
Capital",Springfield
Springfield,"Illinois
110,000
Capital"
"Kansas
130,000
Capital",Topeka
Topeka,"Kansas
130,000
Capital"
"Kentucky
30,000
Capital",Frankfort
Frankfort,"Kentucky
30,000
Capital"
"Louisiana
230,000
Capital",Baton Rouge 
Baton Rouge ,"Louisiana
230,000
Capital"
"Maine
20,000
Capital",Augusta 
Augusta ,"Maine
20,000
Capital"
"Maryland
40,000
Capital",Annapolis 
Annapolis ,"Maryland
40,000
Capital"
"Michigan
110,000
Capital",Lansing
Lansing,"Michigan
110,000
Capital"
"Minnesota
310,000
Capital",Saint Paul
Saint Paul,"Minnesota
310,000
Capital"
"Missouri
40,000
Capital",Jefferson City
Jefferson City,"Missouri
40,000
Capital"
"Montana
30,000
Capital",Helena
Helena,"Montana
30,000
Capital"
"Nebraska
290,000
Capital",Lincoln
Lincoln,"Nebraska
290,000
Capital"
"Nevada
60,000
Capital",Carson City
Carson City,"Nevada
60,000
Capital"
"New Hampshire 
40,000
Capital",Concord
Concord,"New Hampshire 
40,000
Capital"
"New Jersey
90,000
Capital",Trenton
Trenton,"New Jersey
90,000
Capital"
"New York 
100,000
Capital",Albany
Albany,"New York 
100,000
Capital"
"North Carolina
470,000
Capital",Raleigh
Raleigh,"North Carolina
470,000
Capital"
"North Dakota 
70,000
Capital",Bismarck
Bismarck,"North Dakota 
70,000
Capital"
"Oregon
180,000
Capital",Salem
Salem,"Oregon
180,000
Capital"
"Pennsylvania 
50,000
Capital ",Harrisburg 
Harrisburg ,"Pennsylvania 
50,000
Capital "
"South Carolina 
140,000
Capital",Columbia 
Columbia ,"South Carolina 
140,000
Capital"
"South Dakota 
15,000
Capital",Pierre
Pierre,"South Dakota 
15,000
Capital"
"Texas
960,000
Capital",Austin
Austin,"Texas
960,000
Capital"
"Vermont
10,000
Capital ",Montpelier 
Montpelier ,"Vermont
10,000
Capital "
"Virginia 
230,000
Capital ",Richmond 
Richmond ,"Virginia 
230,000
Capital "
"Washington 
60,000
Capital ",Olympia
Olympia,"Washington 
60,000
Capital "
"Wisconsin
270,000
Capital ",Madison 
Madison ,"Wisconsin
270,000
Capital "
"American Samoa
3,000 
Capital",Pago Pago
Pago Pago,"American Samoa
3,000 
Capital"
"Guam
1,000
Capital",Hagatna
Hagatna,"Guam
1,000
Capital"
